"LONGITUDE","LATITUDE","p_avg","SOC","MAT","MAP","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","GEO3major"
147.5,70.6667,470,14,-13.67083359,209,46,15,56,14,1,6275,1097,4,26,"Europe"
161.563751,68.739197,1202,11,-12.28333282,180,27,12,55,14,11,2097,2458,20,348,"Europe"
161.563751,68.739197,3005,11,-12.28333282,180,27,12,55,14,11,2097,2458,20,348,"Europe"
161.56375,68.739194,1388,11,-12.28333282,180,27,12,55,14,11,2097,2458,20,348,"Europe"
161.505833,68.737222,467,18,-11.59166622,170,23,15,55,14,11,4726,2293,4,90,"Europe"
161.505829,68.737221,350,18,-11.59166622,170,23,15,55,14,11,4726,2293,4,90,"Europe"
161.563415,68.736114,1020,35,-12.28333282,180,33,10,51,14,11,3528,2458,12,302,"Europe"
161.563415,68.736114,1633,35,-12.28333282,180,33,10,51,14,11,3528,2458,12,302,"Europe"
161.563417,68.736111,1020,35,-12.28333282,180,33,10,51,14,11,3528,2458,12,302,"Europe"
161.530278,68.732222,329,16,-11.6916666,173,18,18,57,14,11,4774,2289,6,134,"Europe"
161.542778,68.731111,375,20,-11.83749962,179,23,17,55,14,11,4813,2385,10,178,"Europe"
161.54277,68.73111,338,20,-11.83749962,179,23,17,55,14,11,4813,2385,10,178,"Europe"
21.777405,68.176542,1190,23,-2.241666794,470,54,5,45,1,11,2492,2361,2,381,"Europe"
21.919833,68.07521,3700,23,-2.220833302,481,56,7,46,1,3,1434,4201,5,411,"Europe"
20.478912,67.981705,1750,19,-1.270833492,496,55,5,46,10,11,1890,4036,7,430,"Europe"
20.797765,67.94437,1800,33,-1.287500024,507,49,6,48,1,11,2380,3799,3,327,"Europe"
64.1667,67.9167,899,10,-6.154166698,589,47,12,54,13,1,4639,1815,1,207,"Europe"
23.211463,67.873577,3330,23,-1.016666532,519,61,8,47,1,11,2123,4123,5,321,"Europe"
20.508985,67.833333,1200,24,-1.029166698,498,54,4,47,2,11,2191,3620,0,383,"Europe"
23.468342,67.817317,6850,25,-0.920833409,511,48,9,45,1,3,2385,3691,4,205,"Europe"
22.358868,67.806077,4880,24,-1.333333373,528,56,8,46,1,11,2655,3692,2,327,"Europe"
23.152287,67.76729,2400,33,-0.695833385,526,72,5,47,1,11,3169,2756,1,263,"Europe"
20.856028,67.75747,1570,23,-1.212499976,527,51,6,50,3,3,2775,4135,4,353,"Europe"
23.336442,67.753495,7080,27,-0.754166722,517,59,5,49,1,3,2550,3672,2,214,"Europe"
20.994627,67.748928,2080,25,-1.424999952,538,51,5,48,4,11,2367,4248,9,327,"Europe"
22.174777,67.726797,7780,19,-1.349999905,520,57,6,46,1,3,2693,3299,1,322,"Europe"
22.074625,67.62333,1030,36,-1.141666651,516,61,5,47,1,3,2774,4011,3,286,"Europe"
22.927325,67.617953,8980,56,-0.512499928,543,63,4,44,1,3,2494,3915,2,304,"Europe"
20.88351,67.6091,6530,33,-1.200000048,540,55,10,49,4,3,2981,3613,1,382,"Europe"
23.475579,67.576727,1780,44,-0.845833182,536,62,4,47,1,11,2711,3639,2,208,"Europe"
22.093591,67.566822,2450,36,-0.858333349,517,67,3,44,1,11,2788,3673,3,263,"Europe"
22.651515,67.545945,4030,25,-0.283333361,519,61,4,47,1,3,2499,3820,3,249,"Europe"
22.404712,67.526738,3070,23,-0.495833397,528,59,10,47,10,11,2477,3676,1,246,"Europe"
22.733563,67.521543,1540,20,-0.258333355,521,60,4,44,1,3,2540,3519,0,240,"Europe"
21.118115,67.502718,3350,32,-1.325000048,547,57,3,47,1,3,2895,3384,1,382,"Europe"
21.529672,67.476182,2770,23,-1.512499928,509,70,4,48,1,3,2594,3522,1,348,"Europe"
21.812175,67.475745,1380,32,-1.429166675,527,53,7,47,1,11,2068,4184,3,343,"Europe"
22.22249,67.447573,3990,49,-0.554166615,529,55,6,45,1,3,3109,3994,1,235,"Europe"
21.421387,67.44654,1720,27,-1.324999928,517,68,5,47,1,3,2062,2804,1,354,"Europe"
20.994141,67.437195,8620,28,-1.137499928,555,56,5,47,1,11,2309,3631,1,416,"Europe"
23.633327,67.435297,2640,36,-0.758333266,547,52,11,49,10,11,2526,3640,1,161,"Europe"
23.01411,67.42724,2520,15,-0.287499994,538,63,6,44,13,11,2413,3774,2,244,"Europe"
21.122875,67.410722,1080,30,-1.175000072,553,61,4,44,1,11,2388,3512,6,404,"Europe"
23.331723,67.403263,5020,20,-0.516666532,534,57,10,49,10,11,3095,3331,1,181,"Europe"
21.723415,67.389865,6520,50,-1.229166746,522,60,8,46,1,11,2346,3725,0,353,"Europe"
21.325778,67.342632,1820,48,-1.008333206,518,59,4,44,1,3,2053,3726,1,341,"Europe"
23.644057,67.28673,4180,20,-0.541666687,556,38,13,48,10,11,2883,3799,0,147,"Europe"
