"LONGITUDE","LATITUDE","p_avg","SOC","MAT","MAP","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","GEO3major"
33.22447,34.99894,500,2,17.20000076,592,44,19,73,1,9,613,9219,2,522,"Europe"
33.61068,34.99236,1400,0,19.48749924,385,33,26,80,5,12,196,3980,2,72,"Europe"
33.83823,34.98872,11600,2,19.17499924,398,37,36,78,13,9,541,6591,0,54,"Europe"
32.39372,34.96551,500,3,15.5625,567,40,27,78,5,9,240,8109,15,597,"Europe"
33.44055,34.96172,500,2,18.94166565,429,51,21,71,1,9,352,4916,10,235,"Europe"
33.1177,34.95137,500,4,15.71249962,686,57,16,69,1,10,648,10078,33,776,"Europe"
33.48261,34.95075,1200,2,18.72916603,448,33,27,78,5,9,605,4446,13,216,"Europe"
32.43043,34.93766,2500,4,15.85000038,558,29,29,76,13,9,432,6361,3,553,"Europe"
32.81609,34.93452,500,5,13.32499981,760,56,15,61,1,10,675,12516,10,978,"Europe"
33.29163,34.9253,500,3,17.15833282,625,49,20,70,1,9,594,8576,12,545,"Europe"
33.15414,34.92325,21900,4,14.48333359,777,55,17,69,1,10,454,9822,17,842,"Europe"
33.45016,34.92167,500,2,18.82500076,445,62,14,76,1,9,322,5384,3,232,"Europe"
33.49219,34.9107,1600,0,19.04583359,426,32,24,79,5,12,308,4295,8,205,"Europe"
32.46711,34.9098,1200,3,17.07916641,491,26,32,76,13,9,344,6549,8,373,"Europe"
32.99005,34.90903,500,2,14.1291666,752,56,15,70,1,9,418,12889,16,838,"Europe"
32.41951,34.90293,1200,4,15.65416718,572,30,30,77,5,6,459,5907,25,583,"Europe"
32.50924,34.89929,500,2,16.60416603,519,15,37,77,13,9,472,6238,11,407,"Europe"
33.03212,34.89828,500,3,13.90833378,784,55,15,68,1,9,297,6801,13,998,"Europe"
32.59896,34.89556,500,3,15.89583302,565,28,31,78,5,9,376,10516,11,590,"Europe"
32.82604,34.89452,3300,5,13.92500019,722,43,22,66,13,9,1057,12391,7,820,"Europe"
33.16391,34.88321,500,4,15.73750019,691,56,18,70,1,9,340,6477,26,801,"Europe"
33.09521,34.88211,500,4,15.60833359,680,55,17,62,1,9,414,11741,31,694,"Europe"
33.5705,34.87143,2400,2,19.61249924,373,31,31,81,5,9,345,6585,1,43,"Europe"
33.13726,34.87131,500,4,15.59583378,702,53,19,66,1,10,413,10634,15,756,"Europe"
32.8836,34.86116,500,5,14.82916641,677,45,19,67,13,9,907,12146,12,774,"Europe"
32.45072,34.8577,1500,3,15.66250038,573,29,30,74,13,6,620,7346,11,610,"Europe"
32.83598,34.85451,500,0,13.72083378,762,38,27,72,13,9,866,7536,17,978,"Europe"
33.37969,34.84615,6600,2,18.77499962,456,33,29,77,5,9,286,5231,11,215,"Europe"
32.39773,34.83345,500,4,18.69166756,414,37,27,73,13,10,905,8165,10,36,"Europe"
33.53235,34.82509,3300,2,19.62916756,374,39,26,78,13,9,423,6311,1,21,"Europe"
33.0994,34.82476,5000,2,16.08333397,665,62,15,66,1,9,222,10297,15,620,"Europe"
32.73525,34.82378,1200,4,16.20000076,578,50,22,71,1,9,250,5545,16,556,"Europe"
32.96213,34.8224,500,2,17.31666756,537,40,24,76,13,9,496,6338,17,460,"Europe"
33.41601,34.81792,4100,3,19.26666641,415,35,23,76,13,9,546,5218,3,108,"Europe"
33.50566,34.8133,2000,3,19.53333282,376,39,26,78,13,9,483,6868,2,36,"Europe"
32.48191,34.81247,500,5,16.75416756,524,30,28,76,13,6,618,5933,14,483,"Europe"
32.81935,34.80249,500,4,15.8083334,620,32,29,78,13,9,690,5672,12,635,"Europe"
33.31504,34.78786,1100,3,18.98749924,450,33,27,78,13,9,286,6457,8,166,"Europe"
32.51852,34.78459,500,3,18.125,459,32,32,78,5,9,487,6297,18,252,"Europe"
32.99301,34.77701,1100,4,17.90416718,508,33,28,73,13,9,725,5958,18,321,"Europe"
33.2884,34.776,500,4,19.25,423,32,30,77,5,9,14,5038,9,126,"Europe"
33.378,34.7715,500,2,19.10416603,433,40,25,78,13,9,182,4538,21,156,"Europe"
32.94543,34.77041,500,3,17.9375,497,33,27,77,13,9,678,5251,9,334,"Europe"
32.73973,34.76642,500,4,16.85833359,543,35,26,77,13,9,609,8105,25,500,"Europe"
33.33037,34.76511,500,3,19.50833321,402,35,26,77,13,9,358,6283,4,77,"Europe"
32.67118,34.76499,1300,2,16.86249924,523,46,25,71,1,9,332,6076,16,474,"Europe"
33.14559,34.75661,1100,4,19.00833321,445,36,29,76,13,9,501,6019,6,187,"Europe"
33.27712,34.74139,1900,0,19.48333359,407,38,24,75,1,9,404,5163,9,108,"Europe"
32.54965,34.73933,500,4,18.68333244,427,30,31,78,5,10,121,5424,5,140,"Europe"
33.07142,34.73816,500,4,18.75833321,467,36,27,76,13,9,340,5296,8,264,"Europe"
32.70771,34.73703,500,4,17.03333282,528,37,26,75,13,10,316,6460,15,443,"Europe"
32.79724,34.73312,500,4,17.99166679,488,35,25,78,13,9,551,5920,11,347,"Europe"
32.95531,34.73038,500,4,18.21249962,493,31,26,76,13,9,442,4161,8,308,"Europe"
32.90777,34.72376,500,5,18.29166603,477,32,26,77,13,9,428,5427,11,261,"Europe"
32.94976,34.71305,9700,4,18.625,464,32,28,77,13,9,296,5197,5,213,"Europe"
32.58621,34.71142,1500,3,18.62916756,425,30,30,79,5,9,449,5990,3,123,"Europe"
32.74421,34.70906,500,4,18.54166603,450,35,26,80,13,9,352,6106,6,193,"Europe"
32.67023,34.69027,500,4,18.59166718,431,25,29,78,13,9,341,6289,8,162,"Europe"
32.89669,34.68909,500,4,18.95000076,430,37,25,77,13,9,403,8566,5,146,"Europe"
32.69123,34.68497,18200,4,18.36666679,447,34,27,77,13,9,331,5933,8,191,"Europe"
35.06556,31.71306,644,4,16.87083244,429,34,30,76,5,9,532,5060,10,615,"Europe"
-99.540398,34.996948,800,2,15.90833378,690,40,19,72,14,9,2480,2305,0,515,"North America"
-99.540022,34.996853,800,2,15.90833378,690,40,19,72,14,9,2480,2305,0,515,"North America"
-92.5186,34.9933,555,2,16.1875,1262,21,14,55,13,8,1369,4613,3,93,"North America"
-81.361641,34.992695,553,4,15.35416603,1219,43,20,55,1,8,1213,7593,4,159,"North America"
-81.460053,34.984833,1947,4,15.4375,1226,43,19,61,10,8,1325,7631,4,143,"North America"
-86.216806,34.972222,159,6,14.61666679,1480,41,21,52,11,11,1208,7178,18,341,"North America"
-86.216806,34.972222,275,6,14.61666679,1480,41,21,52,11,11,1208,7178,18,341,"North America"
-86.216806,34.972222,330,6,14.61666679,1480,41,21,52,11,11,1208,7178,18,341,"North America"
-86.216806,34.972222,339,6,14.61666679,1480,41,21,52,11,11,1208,7178,18,341,"North America"
-86.216806,34.972222,380,6,14.61666679,1480,41,21,52,11,11,1208,7178,18,341,"North America"
-90.755119,34.970984,1143,2,16.10000038,1304,3,6,54,14,12,2063,5917,1,115,"North America"
-90.755119,34.970984,1290,2,16.10000038,1304,3,6,54,14,12,2063,5917,1,115,"North America"
-92.4906,34.9683,628,5,16.16666603,1265,38,12,61,13,8,1330,6886,2,81,"North America"
-92.4906,34.9683,751,5,16.16666603,1265,38,12,61,13,8,1330,6886,2,81,"North America"
