"LONGITUDE","LATITUDE","p_avg","SOC","MAT","MAP","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","GEO3major"
-97.979133,34.959767,347,3,16.04166603,808,22,27,70,13,9,962,3228,2,360,"North America"
-97.979134,34.959766,347,3,16.04166603,808,22,27,70,13,9,962,3228,2,360,"North America"
-118.976667,34.955556,922,2,16.98749924,324,59,17,73,14,9,6073,3374,2,477,"North America"
-118.956944,34.955556,922,2,17.32916641,321,53,20,74,14,9,6337,4602,4,457,"North America"
-91.2528,34.9514,1388,2,16.28333282,1259,36,15,54,14,10,4449,5309,0,59,"North America"
-91.2528,34.9514,1439,2,16.28333282,1259,36,15,54,14,10,4449,5309,0,59,"North America"
-86.060611,34.945389,500,8,14.39166641,1511,37,22,57,5,8,1148,6902,13,322,"North America"
-86.060608,34.945389,326,8,14.39166641,1511,37,22,57,5,8,1148,6902,13,322,"North America"
-86.060608,34.945389,460,8,14.39166641,1511,37,22,57,5,8,1148,6902,13,322,"North America"
-86.060608,34.945389,514,8,14.39166641,1511,37,22,57,5,8,1148,6902,13,322,"North America"
-86.060608,34.945389,540,8,14.39166641,1511,37,22,57,5,8,1148,6902,13,322,"North America"
-81.392891,34.943417,398,4,15.52500057,1216,33,20,58,1,8,1377,10612,2,141,"North America"
-92.4133,34.9431,1143,5,16.32500076,1267,11,46,63,14,10,1987,1287,1,79,"North America"
-94.08458,34.932777,310,4,15.78333282,1221,29,18,56,13,8,1343,6079,1,212,"North America"
-119.391667,34.932222,1939,2,13.40416622,493,45,20,72,13,9,1173,3514,10,1197,"North America"
-119.392602,34.932211,1939,2,13.40416622,493,45,19,73,13,9,1135,3514,10,1170,"North America"
-99.462959,34.929913,2687,2,16.125,701,38,20,73,14,9,2491,2930,1,470,"North America"
-99.462956,34.929911,2687,2,16.125,701,38,20,73,14,9,2491,2930,1,470,"North America"
-91.2128,34.9253,957,2,16.26666641,1254,13,20,56,14,10,3639,4401,0,60,"North America"
-91.2128,34.9253,1094,2,16.26666641,1254,13,20,56,14,10,3639,4401,0,60,"North America"
-92.3086,34.9161,310,2,16.02499962,1282,28,15,53,13,8,2175,6805,3,121,"North America"
-92.2927,34.9075,310,2,16.0625,1283,29,14,55,13,8,1425,1867,0,106,"North America"
-92.3072,34.9067,310,3,16.04583359,1282,26,14,52,13,8,1435,1867,1,115,"North America"
-93.2816,34.905,310,9,15.07499981,1330,43,18,50,13,8,1987,1808,4,389,"North America"
-86.538483,34.90165,535,2,15.03750038,1438,36,16,61,5,8,1226,7242,1,237,"North America"
-86.538483,34.90165,540,2,15.03750038,1438,36,16,61,5,8,1226,7242,1,237,"North America"
-91.2539,34.8983,1229,7,16.27499962,1254,47,29,63,14,12,1989,6695,1,53,"North America"
-91.2539,34.8983,1437,7,16.27499962,1254,47,29,63,14,12,1989,6695,1,53,"North America"
-91.2333,34.8983,702,3,16.3125,1253,8,20,50,14,10,3705,4891,0,59,"North America"
-91.2333,34.8983,751,3,16.3125,1253,8,20,50,14,10,3705,4891,0,59,"North America"
-93.3526,34.8965,310,7,15.14166641,1319,39,19,52,13,8,2033,1820,9,345,"North America"
-90.7981,34.8939,2392,2,16.08333397,1304,3,15,61,14,10,3098,5418,0,68,"North America"
-90.7981,34.8939,2907,2,16.08333397,1304,3,15,61,14,10,3098,5418,0,68,"North America"
-90.8158,34.8844,2503,4,16.11249924,1300,12,20,54,14,10,2881,6360,1,58,"North America"
-90.8158,34.8844,2760,4,16.11249924,1300,12,20,54,14,10,2881,6360,1,58,"North America"
-90.5258,34.8803,3039,2,16.36249924,1316,54,13,64,14,12,4227,4826,0,61,"North America"
-90.5258,34.8803,3348,2,16.36249924,1316,54,13,64,14,12,4227,4826,0,61,"North America"
-90.4072,34.8794,2135,3,16.27499962,1321,6,22,70,14,11,5163,4690,0,61,"North America"
-90.4072,34.8794,2564,3,16.27499962,1321,6,22,70,14,11,5163,4690,0,61,"North America"
-81.120193,34.879139,5332,3,15.73333359,1207,41,20,61,3,10,1000,7553,2,170,"North America"
-81.120193,34.879139,6293,3,15.73333359,1207,41,20,61,3,10,1000,7553,2,170,"North America"
-90.6614,34.8744,2417,4,16.38750076,1312,12,50,61,14,6,3860,4257,0,58,"North America"
-90.6614,34.8744,2907,4,16.38750076,1312,12,50,61,14,6,3860,4257,0,58,"North America"
-99.834047,34.872578,1620,2,15.86666679,622,43,21,74,13,9,528,2918,0,562,"North America"
-99.834045,34.872578,1074,2,15.86666679,622,43,21,74,13,9,528,2918,0,562,"North America"
-90.5772,34.8711,1658,2,16.41666603,1316,37,17,57,14,10,3474,4733,0,62,"North America"
-90.5772,34.8711,1878,2,16.41666603,1316,37,17,57,14,10,3474,4733,0,62,"North America"
-81.143776,34.870029,474,2,15.66666698,1215,50,18,63,3,10,1519,7850,1,183,"North America"
-81.143776,34.870029,482,2,15.66666698,1215,50,18,63,3,10,1519,7850,1,183,"North America"
-92.2972,34.8678,310,3,16.11666679,1289,36,14,56,13,8,1863,1840,2,123,"North America"
-86.102165,34.864945,524,7,13.85000038,1560,36,17,51,13,8,1252,7924,2,516,"North America"
-91.3392,34.8622,1596,3,16.36249924,1261,14,29,63,14,10,3749,4620,0,53,"North America"
-91.3392,34.8622,1829,3,16.36249924,1261,14,29,63,14,10,3749,4620,0,53,"North America"
-111.605083,34.861444,282,5,9.820833206,603,41,22,66,4,9,1165,4272,4,1942,"North America"
-111.605083,34.861444,571,5,9.820833206,603,41,22,66,4,9,1165,4272,4,1942,"North America"
-90.535,34.8614,3706,2,16.38333321,1318,21,17,61,14,11,3977,4494,1,61,"North America"
-90.535,34.8614,3740,2,16.38333321,1318,21,17,61,14,11,3977,4494,1,61,"North America"
-81.134392,34.859974,2623,2,15.72083378,1213,43,22,64,3,10,1155,7020,1,176,"North America"
-81.134392,34.859974,3353,2,15.72083378,1213,43,22,64,3,10,1155,7020,1,176,"North America"
-90.7958,34.8575,2588,2,16.16666603,1306,2,22,56,14,10,4727,6220,1,70,"North America"
-90.7958,34.8575,2662,2,16.16666603,1306,2,22,56,14,10,4727,6220,1,70,"North America"
-91.882919,34.848728,697,3,16.4375,1297,11,15,59,14,10,2958,4559,1,75,"North America"
-86.884933,34.848618,1736,3,15.10833359,1449,35,14,60,5,8,1272,5846,0,233,"North America"
-90.8072,34.8447,1486,2,16.20416641,1306,4,12,59,14,10,3076,5532,1,61,"North America"
-90.8072,34.8447,1584,2,16.20416641,1306,4,12,59,14,10,3076,5532,1,61,"North America"
-92.5894,34.84,310,7,16.07916641,1302,39,16,54,13,8,1243,2713,5,127,"North America"
-90.905,34.8381,2057,2,16.21666718,1298,7,15,57,14,10,4234,4903,0,62,"North America"
-90.905,34.8381,2417,2,16.21666718,1298,7,15,57,14,10,4234,4903,0,62,"North America"
-90.6628,34.8278,1952,3,16.44166756,1320,17,20,60,14,10,3323,4758,1,59,"North America"
-90.6628,34.8278,2123,3,16.44166756,1320,17,20,60,14,10,3323,4758,1,59,"North America"
-91.1561,34.8261,653,2,16.34166718,1266,13,21,58,14,10,3048,4801,0,59,"North America"
-91.1561,34.8261,751,2,16.34166718,1266,13,21,58,14,10,3048,4801,0,59,"North America"
-91.239,34.8243,142,2,16.42500114,1260,14,19,57,14,10,3734,4765,0,58,"North America"
-90.75611,34.8242,1364,4,16.35000038,1313,13,56,55,14,6,4571,4928,0,59,"North America"
-90.75611,34.8242,1535,4,16.35000038,1313,13,56,55,14,6,4571,4928,0,59,"North America"
-91.469673,34.821573,310,6,16.30416679,1275,23,20,58,14,10,2064,2488,0,65,"North America"
-99.986681,34.817181,1610,2,15.8791666,585,48,21,73,14,10,2601,2396,1,590,"North America"
-99.986679,34.817181,1021,2,15.8791666,585,48,21,73,14,10,2601,2396,1,590,"North America"
-93.999536,34.815109,310,2,15.73750019,1229,36,17,59,13,8,1619,5953,4,207,"North America"
-93.964422,34.814668,310,4,15.73750019,1234,27,19,56,13,8,1779,4499,2,200,"North America"
-99.911903,34.812867,600,2,15.95416641,600,48,21,71,14,10,2930,2080,1,574,"North America"
-99.911903,34.812866,315,2,15.95416641,600,48,21,71,14,10,2930,2080,1,574,"North America"
-90.9981,34.8125,771,3,16.27083397,1286,3,16,59,14,10,4996,4396,0,62,"North America"
-106.122223,34.81139,726,2,11.02083302,340,45,24,79,14,7,3107,1762,1,1917,"North America"
-106.122222,34.811389,726,2,11.02083302,340,45,24,79,14,7,3107,1762,1,1917,"North America"
-91.25,34.8109,1339,2,16.45000076,1261,18,19,55,14,10,3768,4653,0,58,"North America"
-91.25,34.8109,1902,2,16.45000076,1261,18,19,55,14,10,3768,4653,0,58,"North America"
-91.25,34.8109,2564,2,16.45000076,1261,18,19,55,14,10,3768,4653,0,58,"North America"
-91.1575,34.8103,1503,3,16.37916756,1268,7,15,60,14,10,3188,4023,0,59,"North America"
-91.2496,34.81,1070,2,16.45000076,1261,18,19,55,14,10,3768,4653,0,58,"North America"
-91.2496,34.81,1486,2,16.45000076,1261,18,19,55,14,10,3768,4653,0,58,"North America"
-91.2492,34.8093,827,2,16.45000076,1261,22,18,58,14,10,3803,4653,0,58,"North America"
-91.2484,34.8079,866,2,16.45833397,1263,22,18,58,14,10,3803,4671,0,58,"North America"
-91.2484,34.8079,996,2,16.45833397,1263,22,18,58,14,10,3803,4671,0,58,"North America"
-91.2486,34.8075,1180,2,16.45833397,1263,23,17,59,14,10,3698,4671,0,58,"North America"
-91.2486,34.8075,1658,2,16.45833397,1263,23,17,59,14,10,3698,4671,0,58,"North America"
-91.2479,34.8068,925,2,16.45833397,1263,25,17,59,14,10,3787,4671,0,58,"North America"
-91.2479,34.8068,1094,2,16.45833397,1263,25,17,59,14,10,3787,4671,0,58,"North America"
-91.2475,34.8061,1617,2,16.45833397,1263,25,17,59,14,10,3787,4671,0,58,"North America"
-91.2475,34.8061,2025,2,16.45833397,1263,25,17,59,14,10,3787,4671,0,58,"North America"
-91.2471,34.8053,1520,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2471,34.8053,1952,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2468,34.8046,1174,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2468,34.8046,1388,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2464,34.8039,976,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2464,34.8039,1314,2,16.45833397,1263,26,15,59,14,10,3732,4671,0,58,"North America"
-91.2459,34.8031,2083,2,16.45833397,1263,24,17,58,14,10,3673,4671,0,58,"North America"
-91.2459,34.8031,2490,2,16.45833397,1263,24,17,58,14,10,3673,4671,0,58,"North America"
-106.055556,34.801389,1388,2,11.04583359,331,47,26,79,14,9,6100,2855,0,1869,"North America"
-106.055557,34.801388,1388,2,11.04583359,331,47,26,79,14,9,6100,2855,0,1869,"North America"
-105.697222,34.798611,1729,2,10.23333359,334,53,17,78,14,7,2989,1697,1,1991,"North America"
-105.69722,34.798611,1729,2,10.23333359,334,53,17,78,14,7,2989,1697,1,1991,"North America"
-93.413,34.7956,310,8,14.98750019,1357,37,16,51,13,8,1630,1820,4,346,"North America"
-93.4793,34.7953,310,6,15.26249981,1325,34,15,53,13,8,1519,2520,2,264,"North America"
-90.816666,34.783333,1203,2,16.25,1317,29,12,57,14,10,3440,4770,0,68,"North America"
-94.404477,34.778999,310,7,15.46666622,1323,40,21,49,13,8,2305,2781,3,339,"North America"
-90.8989,34.7778,2775,2,16.29583359,1304,9,16,61,14,10,3389,5102,0,63,"North America"
-90.8386,34.7758,3176,3,16.25833321,1313,7,15,63,14,9,3752,4576,0,64,"North America"
-90.8386,34.7758,5210,3,16.25833321,1313,7,15,63,14,9,3752,4576,0,64,"North America"
-90.9453,34.7744,678,2,16.30833244,1297,6,19,67,14,10,4452,5641,0,63,"North America"
-90.9453,34.7744,751,2,16.30833244,1297,6,19,67,14,10,4452,5641,0,63,"North America"
-93.586,34.7742,310,6,15.14999962,1338,39,15,54,13,8,1552,2250,2,295,"North America"
-106.762886,34.7715,1638,2,12.80000019,238,50,24,79,14,12,6602,2915,1,1479,"North America"
-106.762886,34.7715,2059,2,12.80000019,238,50,24,79,14,12,6602,2915,1,1479,"North America"
-106.762886,34.7715,2368,2,12.80000019,238,50,24,79,14,12,6602,2915,1,1479,"North America"
-93.1622,34.7711,682,7,15.05000019,1390,40,12,53,13,8,1853,6227,8,350,"North America"
-99.868698,34.765446,498,2,16.12083435,598,50,20,73,14,10,853,2575,1,531,"North America"
-99.868694,34.765444,880,2,16.12083435,598,50,20,73,14,10,853,2575,1,531,"North America"
-99.916847,34.763557,897,1,16.11249924,585,45,20,75,13,9,727,2644,1,527,"North America"
-99.916847,34.763556,1460,1,16.11249924,585,45,20,75,13,9,727,2644,1,527,"North America"
-90.7142,34.7633,790,2,16.27916718,1330,6,12,59,14,11,2534,6733,5,93,"North America"
-99.413864,34.757084,2858,1,16.29999924,702,56,12,75,14,9,2069,3205,0,438,"North America"
-99.413861,34.757083,2858,1,16.29999924,702,56,12,75,14,9,2069,3205,0,438,"North America"
-90.766,34.753,849,1,16.26250076,1329,6,13,60,14,10,3469,4898,0,70,"North America"
-99.231611,34.752417,379,2,16.21666718,715,77,9,69,14,10,1832,3051,1,457,"North America"
-91.4887,34.750672,310,2,16.38333321,1273,15,16,54,14,10,3866,5758,0,67,"North America"
-93.0764,34.7456,633,5,15.32916641,1398,27,19,54,13,8,1114,2048,2,261,"North America"
-91.6164,34.745,1829,3,16.42083359,1288,7,32,55,14,10,3170,4191,0,68,"North America"
-91.6164,34.745,2490,3,16.42083359,1288,7,32,55,14,10,3170,4191,0,68,"North America"
-93.5872,34.7439,310,6,14.90833282,1375,35,16,55,13,8,1956,2290,11,415,"North America"
-90.6097,34.7403,2540,3,16.35000038,1332,35,16,72,14,11,4223,5468,0,59,"North America"
-90.6097,34.7403,2956,3,16.35000038,1332,35,16,72,14,11,4223,5468,0,59,"North America"
-99.518003,34.738881,408,2,16.47083282,684,26,30,73,13,9,443,2165,1,448,"North America"
-99.518005,34.73888,408,2,16.47083282,684,26,30,73,13,9,443,2165,1,448,"North America"
-99.518005,34.73888,452,2,16.47083282,684,26,30,73,13,9,443,2165,1,448,"North America"
-90.6278,34.7386,2980,3,16.40833282,1332,11,32,68,14,11,4572,5212,0,59,"North America"
-90.6278,34.7386,3446,3,16.40833282,1332,11,32,68,14,11,4572,5212,0,59,"North America"
-90.7669,34.7338,1388,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,1430,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,2455,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,2466,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,3210,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,3409,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,3544,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,3735,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,3755,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,4952,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,5269,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,5573,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,5670,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,6494,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-90.7669,34.7338,8934,2,16.25833321,1332,25,10,55,14,10,4089,5137,0,72,"North America"
-91.7676,34.7315,310,3,16.43333244,1294,10,26,55,14,10,3307,4442,0,72,"North America"
-91,34.725833,482,2,16.35416603,1290,16,21,60,14,10,4354,5549,0,56,"North America"
-90.8186,34.7203,2895,2,16.27083397,1324,62,7,56,14,10,3230,4829,0,66,"North America"
-90.8186,34.7203,3054,2,16.27083397,1324,62,7,56,14,10,3230,4829,0,66,"North America"
-90.6189,34.7203,2674,3,16.375,1334,18,31,67,14,12,6625,4706,0,57,"North America"
-90.6189,34.7203,2956,3,16.375,1334,18,31,67,14,12,6625,4706,0,57,"North America"
-91.0222,34.705,800,1,16.39999962,1295,5,15,64,14,10,3161,5315,0,56,"North America"
-91.0222,34.705,1070,1,16.39999962,1295,5,15,64,14,10,3161,5315,0,56,"North America"
-90.6014,34.7039,1584,2,16.27916718,1338,51,16,63,14,12,6169,5099,0,59,"North America"
-90.6014,34.7039,1596,2,16.27916718,1338,51,16,63,14,12,6169,5099,0,59,"North America"
-99.696444,34.701261,640,2,16.48333359,640,38,25,74,14,9,1536,2510,0,448,"North America"
-99.696442,34.70126,644,2,16.48333359,640,38,25,74,14,9,1536,2510,0,448,"North America"
-99.696442,34.70126,740,2,16.48333359,640,38,25,74,14,9,1536,2510,0,448,"North America"
-99.217918,34.697269,506,1,16.42083359,719,55,17,72,13,9,482,3727,1,423,"North America"
-99.217556,34.697167,506,1,16.42083359,719,55,17,72,13,9,482,3727,1,423,"North America"
-90.411308,34.684502,2588,2,16.36249924,1334,22,28,57,14,10,3744,5233,0,60,"North America"
-99.407278,34.682,1300,2,16.39999962,702,49,18,74,14,10,2363,2731,0,424,"North America"
-99.40728,34.681999,1300,2,16.39999962,702,49,18,74,14,10,2363,2731,0,424,"North America"
-90.741076,34.678643,2968,3,16.26250076,1338,6,6,59,14,11,3981,5536,0,68,"North America"
-90.741076,34.678643,3054,3,16.26250076,1338,6,6,59,14,11,3981,5536,0,68,"North America"
-92.7857,34.6779,310,2,15.94583321,1368,39,11,58,13,8,1240,6922,2,137,"North America"
-90.7593,34.677,1300,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1386,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1471,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1692,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1707,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1754,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,1927,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,2159,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,2206,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,2358,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,2398,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,2466,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,3563,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,3943,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-90.7593,34.677,4450,2,16.26250076,1335,16,9,59,14,10,4320,5450,1,66,"North America"
-86.738306,34.668667,1555,2,15.7541666,1439,40,21,64,5,8,962,5749,1,189,"North America"
-91.1406,34.6678,747,3,16.4375,1280,12,22,55,14,10,3088,4920,0,57,"North America"
-90.864111,34.650833,1203,2,16.32500076,1323,42,10,57,14,9,3250,5271,0,62,"North America"
-93.79528,34.65,310,2,15.38333321,1346,33,17,56,13,8,1312,6120,1,255,"North America"
-99.163864,34.639446,710,2,16.44583321,722,24,24,73,13,9,493,2797,1,418,"North America"
-99.163861,34.639444,788,2,16.44583321,722,24,24,73,13,9,493,2797,1,418,"North America"
-90.7692,34.6364,310,2,16.30833244,1340,23,15,61,14,10,3439,4999,1,64,"North America"
-92.2922,34.6344,310,3,16.38333321,1313,49,13,50,14,8,1464,7149,2,108,"North America"
-91.4464,34.6264,1682,3,16.48750114,1268,8,32,51,14,10,2650,4933,0,61,"North America"
-91.4464,34.6264,2042,3,16.48750114,1268,8,32,51,14,10,2650,4933,0,61,"North America"
