"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
1,-138.9969482,64.0530548,"North America",1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
5,-138.9969482,64.0530548,"North America",1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
82,-138.9969482,64.0530548,"North America",1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
2,-124.2805557,48.0200005,"North America",3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
5,-124.2805557,48.0200005,"North America",3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
18,-124.2805557,48.0200005,"North America",3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
125,-124.2805557,48.0200005,"North America",3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
1.9,-124.1472222,40.7064722,"North America",1,6,235,122,1983,72,11278,1160,12,56,1120,6,1120,7,7
1,-124.1205521,48.0800018,"North America",3,6,184,84,2571,334,9033,2771,8,49,1171,9,1171,24,7
3,-124.1205521,48.0800018,"North America",3,6,184,84,2571,334,9033,2771,8,49,1171,9,1171,24,7
5,-124.1055527,48.0091667,"North America",3,6,160,76,2844,415,8468,2913,8,48,1201,10,1201,24,24
8,-124.1055527,48.0091667,"North America",3,6,160,76,2844,415,8468,2913,8,48,1201,10,1201,24,24
95,-124.1055527,48.0091667,"North America",3,6,160,76,2844,415,8468,2913,8,48,1201,10,1201,24,24
5,-123.9836121,47.9769707,"North America",3,6,162,82,2407,636,8164,2671,7,48,1030,12,1030,24,24
2.3,-123.9680833,41.3271944,"North America",3,6,289,103,1338,382,10267,1737,11,53,2262,11,2262,3,3
2.5,-123.9680833,41.3271944,"North America",3,6,289,103,1338,382,10267,1737,11,53,2262,11,2262,3,3
8.2,-123.9536133,40.1614151,"North America",3,6,259,109,1380,491,15459,1831,12,57,1409,11,1409,16,16
13.2,-123.9536133,40.1614151,"North America",3,6,259,109,1380,491,15459,1831,12,57,1409,11,1409,16,16
3.7,-123.9500556,41.3275556,"North America",3,6,289,103,1338,382,10267,1737,11,53,2262,11,2262,3,3
53.2,-123.9152778,40.38,"North America",3,6,248,109,1230,240,11811,1565,12,56,1875,11,1875,3,3
1,-123.8991699,47.351387,"North America",2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
2,-123.8991699,47.351387,"North America",2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
1.7,-123.8927765,45.189415,"North America",2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
4.8,-123.8927765,45.189415,"North America",2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
1,-123.8611679,47.5873604,"North America",3,6,166,84,2373,607,8372,3103,8,45,1144,16,1144,24,24
3,-123.8611679,47.5873604,"North America",3,6,166,84,2373,607,8372,3103,8,45,1144,16,1144,24,24
0.8,-123.8399963,45.7825012,"North America",3,6,231,93,2170,196,8924,2340,10,49,1554,7,1554,7,7
3,-123.8349991,47.3655548,"North America",2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
31.5,-123.8319473,40.3163872,"North America",3,6,248,104,1247,287,11037,1590,12,57,1926,11,1926,3,19
37.3,-123.8319473,40.3163872,"North America",3,6,248,104,1247,287,11037,1590,12,57,1926,11,1926,3,19
2,-123.7980576,45.4627762,"North America",2,6,234,94,2692,182,8998,2327,10,51,1660,1,1660,4,4
3.2,-123.7763889,40.1191667,"North America",3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
17.9,-123.7763889,40.1191667,"North America",3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
25.9,-123.775,40.1175,"North America",3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
35.6,-123.775,40.1175,"North America",3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
2.8,-123.7094444,40.1030556,"North America",3,6,261,119,1390,599,8979,1651,12,58,983,11,983,3,19
10.9,-123.7094444,40.1030556,"North America",3,6,261,119,1390,599,8979,1651,12,58,983,11,983,3,19
1,-123.6102753,47.4405556,"North America",3,6,157,80,2303,756,7865,2790,7,48,1131,20,1131,24,24
2,-123.6102753,47.4405556,"North America",3,6,157,80,2303,756,7865,2790,7,48,1131,20,1131,24,24
0.8,-123.6008301,46.1461105,"North America",3,6,228,96,2127,252,8263,2332,10,50,1316,4,1316,7,7
1.3,-123.6008301,46.1461105,"North America",3,6,228,96,2127,252,8263,2332,10,50,1316,4,1316,7,7
3,-123.5066681,47.458889,"North America",2,6,128,81,2067,787,7052,2678,7,49,1116,20,1116,24,24
54,-123.5066681,47.458889,"North America",2,6,128,81,2067,787,7052,2678,7,49,1116,20,1116,24,24
0.3,-123.4136124,44.5660019,"North America",2,9,347,107,1653,261,8818,1873,10,55,1045,9,1045,19,3
5.1,-123.4136124,44.5660019,"North America",2,9,347,107,1653,261,8818,1873,10,55,1045,9,1045,19,3
13,-123.3523254,45.573967,"North America",3,6,221,97,1664,462,8342,2123,9,53,1003,6,1003,7,7
103,-123.3523254,45.573967,"North America",3,6,221,97,1664,462,8342,2123,9,53,1003,6,1003,7,7
2.8,-123.3493881,45.1245842,"North America",1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
8.9,-123.3493881,45.1245842,"North America",1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
2.7,-123.3473282,45.9372978,"North America",3,6,322,105,1728,259,8171,1959,9,53,1000,5,1000,7,7
10.4,-123.3473282,45.9372978,"North America",3,6,322,105,1728,259,8171,1959,9,53,1000,5,1000,7,7
0.9,-123.3397217,45.1507492,"North America",1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
1.7,-123.3397217,45.1507492,"North America",1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
7,-123.3253784,45.5267448,"North America",4,6,215,93,1567,465,8489,2085,9,52,1345,7,1345,7,7
20,-123.3253784,45.5267448,"North America",4,6,215,93,1567,465,8489,2085,9,52,1345,7,1345,7,7
