"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
404.9144,98.58302,34.98582,"Asia and the Pacific",3,11,173,119,4099,4324,619,357,-4,76,353,0,353,17,17
444.496,98.14002,34.92991,"Asia and the Pacific",3,11,142,122,2630,4229,747,332,-3,78,268,1,268,17,17
650,102.8833,34.91667,"Asia and the Pacific",3,6,225,109,1615,3148,3548,587,2,75,613,9,613,19,19
788.858,101.5282,34.90814,"Asia and the Pacific",1,11,221,115,4127,3647,3193,576,0,75,509,1,509,17,21
431.1218,98.20827,34.90138,"Asia and the Pacific",5,11,155,118,2373,4282,713,337,-4,77,356,1,356,17,17
453.1518,98.252,34.87517,"Asia and the Pacific",5,11,155,118,1896,4282,713,337,-4,77,356,1,356,17,17
935.2443,100.8232,34.85683,"Asia and the Pacific",5,11,189,103,777,3959,2617,552,-2,74,736,11,736,17,17
433.9492,98.45183,34.8515,"Asia and the Pacific",3,11,176,120,2353,4279,1039,360,-4,77,342,4,342,17,17
344.7843,92.94129,34.83605,"Asia and the Pacific",5,11,191,117,1745,4666,599,285,-5,78,228,2,228,17,17
965.1521,101.5399,34.81768,"Asia and the Pacific",3,11,213,116,3371,3584,3391,584,0,73,458,1,458,21,21
3220,94.995,34.813,"Asia and the Pacific",3,11,174,113,1577,4396,912,307,-3,78,318,6,318,17,17
3200,94.995,34.813,"Asia and the Pacific",3,11,174,113,1577,4396,912,307,-3,78,318,6,318,17,17
3510,94.995,34.813,"Asia and the Pacific",3,11,174,113,1577,4396,912,307,-3,78,318,6,318,17,17
3850,94.995,34.813,"Asia and the Pacific",3,11,174,113,1577,4396,912,307,-3,78,318,6,318,17,17
245.16,117.3417,34.8,"Asia and the Pacific",6,5,262,131,2860,84,3357,698,14,72,105,2,105,12,12
234.03,117.3417,34.8,"Asia and the Pacific",6,5,262,131,2860,84,3357,698,14,72,105,2,105,12,12
