"LONGITUDE","LATITUDE","p_avg","ID","SOC","MAT","MAP","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","GEO3major"
-100.2227783,24.3149719,7.7,1906,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,"1","12",65,65535,3.672343842,1919.031006,"10","Latin America and the Caribbean"
-100.2227783,24.3149719,40.1,1907,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,"1","12",65,65535,3.672343842,1919.031006,"10","Latin America and the Caribbean"
-100.0851135,24.3176384,3.1,1909,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,"1","12",65,65535,3.672343842,1919.031006,"10","Latin America and the Caribbean"
-100.0851135,24.3176384,5.5,1910,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,"1","12",65,65535,3.672343842,1919.031006,"10","Latin America and the Caribbean"
-100.0449982,23.746666,0.7,1911,25.47299862,17.92279816,412.9083252,381.2685547,321.3477173,7.830664158,"3","12",65,65535,4.14170936,1829.76416,"5","Latin America and the Caribbean"
-100.0449982,23.746666,4.1,1912,25.47299862,17.92279816,412.9083252,381.2685547,321.3477173,7.830664158,"3","12",65,65535,4.14170936,1829.76416,"5","Latin America and the Caribbean"
-99.8636093,23.5852776,0.3,1914,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,"6","9",65,7125,12.53003424,1764.943726,"6","Latin America and the Caribbean"
-99.8636093,23.5852776,5.1,1915,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,"6","9",65,7125,12.53003424,1764.943726,"6","Latin America and the Caribbean"
-99.5501099,23.530695,0.3,1939,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,"6","9",65,7125,12.53003424,1764.943726,"6","Latin America and the Caribbean"
-99.5501099,23.530695,3.1,1940,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,"6","9",65,7125,12.53003424,1764.943726,"6","Latin America and the Caribbean"
-93.3869476,17.981945,50,3097,9.121999741,26.16499138,2587.420654,401.3336487,331.0911865,5.603600979,"3","11",65,65535,1.605754186,163.2139282,"13","Latin America and the Caribbean"
-93.3869476,17.981945,81,3098,9.121999741,26.16499138,2587.420654,401.3336487,331.0911865,5.603600979,"3","11",65,65535,1.605754186,163.2139282,"13","Latin America and the Caribbean"
-93.0988922,17.4536114,6,3145,7.970999479,23.26371574,2640.320557,403.9341125,336.4206543,5.586676121,"3","10",65,65535,8.397920357,606.7671509,"13","Latin America and the Caribbean"
-93.0988922,17.4536114,16,3146,7.970999479,23.26371574,2640.320557,403.9341125,336.4206543,5.586676121,"3","10",65,65535,8.397920357,606.7671509,"13","Latin America and the Caribbean"
-93.0988922,17.4536114,21,3147,7.970999479,23.26371574,2640.320557,403.9341125,336.4206543,5.586676121,"3","10",65,65535,8.397920357,606.7671509,"13","Latin America and the Caribbean"
-92.9641647,17.6572227,29,3156,9.086999893,26.56534004,2602.998291,409.9040527,323.2572327,5.784831524,"1","11",65,65535,2.615125,179.9069672,"13","Latin America and the Caribbean"
-92.9641647,17.6572227,31,3157,9.086999893,26.56534004,2602.998291,409.9040527,323.2572327,5.784831524,"1","11",65,65535,2.615125,179.9069672,"13","Latin America and the Caribbean"
-92.0336075,17.583334,1,3310,40.17499924,26.6590538,2544.442871,424.3980408,316.355835,5.816353798,"3","11",65,65535,2.324112516,130.8438263,"13","Latin America and the Caribbean"
-92.0336075,17.583334,2,3311,40.17499924,26.6590538,2544.442871,424.3980408,316.355835,5.816353798,"3","11",65,65535,2.324112516,130.8438263,"13","Latin America and the Caribbean"
-91.819725,17.7544441,13,3364,54.82699871,26.89131546,2038.123901,443.2512817,321.2936096,6.021409035,"1","12",65,65535,0.919894475,79.95753479,"13","Latin America and the Caribbean"
-91.819725,17.7544441,28,3365,54.82699871,26.89131546,2038.123901,443.2512817,321.2936096,6.021409035,"1","12",65,65535,0.919894475,79.95753479,"13","Latin America and the Caribbean"
-90.773941,14.5246391,43,3994,51.56000137,18.11288834,1634.785522,401.0056152,327.2156067,5.974562645,"2","4",65,65535,10.1729168,1432.445068,"12","Latin America and the Caribbean"
-90.773941,14.5246391,47,3995,51.56000137,18.11288834,1634.785522,401.0056152,327.2156067,5.974562645,"2","4",65,65535,10.1729168,1432.445068,"12","Latin America and the Caribbean"
-90.1366653,19.751667,5,4337,75.99999905,26.185812,1198.636719,376.9404602,428.1547241,7.354407787,"1","11",65,0,0.570859264,55.69847488,"12","Latin America and the Caribbean"
-89.7574997,20.4116669,4,4425,75.99999905,25.61382294,1093.328857,358.2618103,446.9068604,7.361391544,"6","10",65,0,0.489039759,54.18170166,"12","Latin America and the Caribbean"
-89.7574997,20.4116669,7,4426,75.99999905,25.61382294,1093.328857,358.2618103,446.9068604,7.361391544,"6","10",65,0,0.489039759,54.18170166,"12","Latin America and the Caribbean"
-84.3776169,10.2172613,9.4,6178,53.44700336,21.4440155,3172.807129,389.2435608,318.4393005,5.321601391,"10","4",65,9806,6.825326128,687.2962646,"13","Latin America and the Caribbean"
-84.2740173,10.0711613,0.3,6179,53.44700336,21.4440155,3172.807129,389.2435608,318.4393005,5.321601391,"10","4",65,9806,6.825326128,687.2962646,"13","Latin America and the Caribbean"
-83.8910141,9.8902998,2.9,6204,74.57300186,16.79553032,2919.601563,371.5161743,321.9486084,5.200746059,"10","8",65,65535,11.94015471,1227.569824,"13","Latin America and the Caribbean"
-83.8910141,9.8902998,7,6205,74.57300186,16.79553032,2919.601563,371.5161743,321.9486084,5.200746059,"10","8",65,65535,11.94015471,1227.569824,"13","Latin America and the Caribbean"
-83.8801727,9.9157696,19.4,6209,74.57300186,16.79553032,2919.601563,371.5161743,321.9486084,5.200746059,"10","8",65,65535,11.94015471,1227.569824,"13","Latin America and the Caribbean"
-83.8599701,9.9732885,71.6,6213,74.57300186,16.79553032,2919.601563,371.5161743,321.9486084,5.200746059,"10","8",65,65535,11.94015471,1227.569824,"13","Latin America and the Caribbean"
-83.8599701,9.9732885,89.3,6214,74.57300186,16.79553032,2919.601563,371.5161743,321.9486084,5.200746059,"10","8",65,65535,11.94015471,1227.569824,"13","Latin America and the Caribbean"
-76.5833359,2.4166667,2,6816,72.57900238,17.34926033,2050.763428,406.1331482,320.0740662,5.390759945,"2","11",65,9490,10.77428979,2089.55249,"13","Latin America and the Caribbean"
-76.5833359,2.4166667,4,6817,72.57900238,17.34926033,2050.763428,406.1331482,320.0740662,5.390759945,"2","11",65,9490,10.77428979,2089.55249,"13","Latin America and the Caribbean"
