"p_avg","LONGITUDE","LATITUDE","CACO3","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
19.3925,-119.392602,34.932211,565,3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
19.3925,-119.391667,34.932222,565,3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
9.225,-118.976667,34.955556,430,1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
9.225,-118.956944,34.955556,430,1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
23.2,-117.820667,34.065306,0,1,13,262,131,429,246,65535,419,18,67,462,1,462,19,19
16.2565,-116.345306,34.322277,69,1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
16.2565,-116.345306,34.322278,69,1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
7.216,-116.312806,34.326944,69,1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
5.356,-116.312805,34.326946,69,1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
9.4455,-116.302864,34.346943,69,1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
9.4455,-116.302861,34.346944,69,1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
11.234,-116.263611,34.263194,69,1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
11.234,-116.263611,34.263195,69,1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
1.93,-116.238472,33.2186,480,9,14,166,151,6192,161,65535,137,23,81,21,2,21,5,5
13.194,-116.2325,34.288333,69,1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
13.194,-116.232498,34.288334,69,1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
7.265,-116.217224,34.356388,69,1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
7.265,-116.217222,34.356389,69,1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
2.21,-116.213308,33.213831,480,9,14,166,151,6192,161,65535,137,23,81,21,2,21,5,5
4.717,-116.208611,34.278889,69,1,14,89,151,16716,703,65535,129,19,83,14,1,14,19,19
2.082,-116.208611,34.278889,69,1,14,89,151,16716,703,65535,129,19,83,14,1,14,19,19
8.6615,-116.191111,34.301028,69,1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
8.6615,-116.191109,34.301029,69,1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
3.015,-116.181889,33.161583,480,9,14,166,151,4962,161,65535,137,23,81,21,2,21,17,5
2.599999905,-116.1717,33.258339,480,3,14,185,145,6192,268,44468,146,22,80,38,2,38,26,5
3.175,-116.1717,33.258339,480,3,14,185,145,6192,268,44468,146,22,80,38,2,38,26,5
6.5145,-116.166115,34.304443,69,1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
7.2895,-116.166111,34.304444,69,1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
7.4375,-116.140564,34.315582,69,1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
8.3675,-116.139722,34.315556,69,1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
12.6795,-116.138069,34.321415,69,9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
12.6795,-116.137222,34.321389,69,9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
1.615,-116.111972,33.276972,480,1,14,202,143,6235,206,65535,132,22,80,42,3,42,26,26
1.16,-116.091378,33.285553,480,1,14,202,143,6235,206,65535,132,22,80,42,3,42,6,26
1.06,-115.886678,34.992556,480,9,14,163,140,18226,533,1015,101,21,84,35,3,35,19,6
13.9,-111.681717,33.310692,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
38.782625,-111.681717,33.312275,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
95.57160126,-111.681717,33.314274,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
35.5,-111.681717,33.314274,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
27.442125,-111.681717,33.314274,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
85.2,-111.681,33.310611,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
84,-111.681,33.312194,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
86.3,-111.681,33.314194,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
19.43725,-111.679718,33.31147,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
80.6,-111.679,33.311389,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
9.7392,-111.678711,33.312191,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
74.4,-111.678,33.312111,645,1,14,190,151,4902,422,1545,261,21,77,69,0,69,6,6
5.712000046,-111.605083,34.861444,160,2,6,231,127,776,1983,3596,601,10,64,421,2,421,16,19
2.8215,-111.605083,34.861444,160,2,6,231,127,776,1983,3596,601,10,64,421,2,421,16,19
3.36525,-110.015778,33.398998,20,7,14,271,139,2515,1552,1447,495,14,66,208,2,208,16,16
12.14545,-109.858276,33.245335,54,1,14,267,137,9230,1643,1540,500,13,65,224,3,224,16,16
41.157,-109.802559,33.211529,54,3,14,232,145,9051,1550,1306,463,14,64,156,1,156,16,16
3.9536,-109.479164,31.71611,0,3,14,164,143,5513,1607,1271,461,15,67,135,2,135,19,19
18,-109.477501,31.717777,0,3,14,164,143,5513,1607,1271,461,15,67,135,2,135,19,19
3.552000046,-109.477501,31.717777,0,3,14,164,143,5513,1607,1271,461,15,67,135,2,135,19,19
13.2483,-109.477501,31.717777,0,3,14,164,143,5513,1607,1271,461,15,67,135,2,135,19,19
1.8585,-109.477501,31.717777,0,3,14,164,143,5513,1607,1271,461,15,67,135,2,135,19,19
