"p_avg","LONGITUDE","LATITUDE","CACO3","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
9.38,-107.1055,33.38925,1352,5,14,205,139,1935,1471,1277,270,14,81,105,1,105,6,6
4.38,-106.989722,33.257444,360,1,14,169,147,15315,1477,1207,269,15,81,62,1,62,6,6
36.7029,-106.861389,32.540001,360,3,14,174,151,12315,1319,1367,271,15,81,123,1,123,6,12
14.40759969,-106.85083,32.604721,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
4,-106.85083,32.604721,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
6.60475,-106.85083,32.604721,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
6.456,-106.843613,32.588612,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
4.800000191,-106.843613,32.588612,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
3.5605,-106.843613,32.588612,360,3,14,149,155,12315,1324,1370,275,15,80,174,0,174,6,6
20.904375,-106.800278,32.514446,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
4.9355,-106.796387,32.610279,360,3,14,149,155,12236,1324,1370,275,15,80,174,0,174,7,6
17.168,-106.796112,32.513611,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
8.699999809,-106.796112,32.513611,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
7.3775,-106.796112,32.513611,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
28.199,-106.790832,32.531113,360,3,14,149,155,6216,1324,1370,275,15,80,174,0,174,6,6
34.71919937,-106.790558,32.514446,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
7.800000191,-106.790558,32.514446,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
13.989,-106.790558,32.514446,360,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
6.3575,-106.785835,32.61861,360,3,14,235,155,12236,1326,1344,274,15,80,83,0,83,7,6
24.874,-106.785553,32.52972,360,3,14,149,155,6216,1324,1370,275,15,80,174,0,174,6,6
6.2795,-106.78167,32.489166,590,3,14,170,149,6216,1345,1894,277,16,81,84,2,84,6,6
20.83480063,-106.771942,32.667778,360,3,14,235,155,12518,1326,1344,274,15,80,83,0,83,7,6
4.199999809,-106.771942,32.667778,360,3,14,235,155,12518,1326,1344,274,15,80,83,0,83,7,6
10.1745,-106.771942,32.667778,360,3,14,235,155,12518,1326,1344,274,15,80,83,0,83,7,6
20.59300037,-106.762886,34.7715,524,1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
23.67759969,-106.762886,34.7715,524,1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
16.3825,-106.762886,34.7715,524,1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
13.50120016,-106.743057,32.512779,360,1,14,188,154,10884,1327,1228,273,15,80,85,1,85,6,6
6.199999809,-106.743057,32.512779,360,1,14,188,154,10884,1327,1228,273,15,80,85,1,85,6,6
7.79705,-106.743057,32.512779,360,1,14,188,154,10884,1327,1228,273,15,80,85,1,85,6,6
6.53625,-106.740219,32.515694,360,1,14,188,154,10884,1327,1228,273,15,80,85,1,85,6,6
7.7,-106.733522,32.566692,360,1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
3.854875,-106.73352,32.566692,360,1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
11.7886,-106.710556,32.546944,360,1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
6.618,-106.700028,32.556999,360,1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
9.01915,-106.696667,32.413611,590,3,14,191,149,9136,1323,1189,271,16,80,64,1,64,6,6
7.265,-106.122223,34.81139,2411,1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
7.265,-106.122222,34.811389,2411,1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
13.88,-106.055557,34.801388,2411,1,9,267,143,5263,1886,1751,336,11,76,107,0,107,16,16
13.88,-106.055556,34.801389,2411,1,9,267,143,5263,1886,1751,336,11,76,107,0,107,16,16
8.899999619,-106.025806,33.84075,640,3,14,188,150,2384,1693,1338,319,13,77,111,1,111,6,6
7.07,-106.025806,33.84075,640,3,14,188,150,2384,1693,1338,319,13,77,111,1,111,6,6
11.71,-105.985972,33.826583,16,3,14,188,150,2250,1693,1338,319,13,77,111,1,111,6,6
17.2855,-105.697222,34.798611,0,1,9,190,143,2956,1993,1672,337,10,77,118,1,118,19,19
17.2855,-105.69722,34.798611,0,1,9,190,143,2956,1993,1672,337,10,77,118,1,118,19,19
1.955,-104.768356,31.997156,4180,5,6,279,135,344,2014,2426,470,13,72,286,7,286,16,6
6.800000191,-104.688934,32.011421,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
5.45,-104.688934,32.011421,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
5.699999809,-104.68882,32.011501,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
11.54,-104.688759,32.01141,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
2.599999905,-104.688728,32.011494,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
2.54,-104.688728,32.011494,171,1,6,288,133,1677,1665,2106,425,14,73,333,8,333,16,19
1.94,-104.672707,32.107544,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
2.200000048,-104.672592,32.107605,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
2.900000095,-104.672523,32.107346,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
2.42,-104.672523,32.107346,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
3.5,-104.672523,32.107498,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
2.78,-104.672523,32.107498,171,5,6,281,138,248,1834,2375,453,13,73,290,6,290,16,16
5.300000191,-104.637444,32.051277,171,1,14,204,136,1206,1342,1673,379,16,78,186,2,186,16,16
3.73,-104.637444,32.051277,171,1,14,204,136,1206,1342,1673,379,16,78,186,2,186,16,16
2.9,-104.637299,32.051197,171,1,14,204,136,1206,1342,1673,379,16,78,186,2,186,16,16
2.72,-104.637253,32.051388,171,1,14,204,136,1206,1342,1673,379,16,78,186,2,186,16,16
3.15,-104.637237,32.051285,171,1,14,204,136,1206,1342,1673,379,16,78,186,2,186,16,16
3.59,-104.588333,33.344166,0,6,14,219,143,10482,1154,1548,330,16,78,131,1,131,6,6
3.59,-104.588333,33.344167,0,6,14,219,143,10482,1154,1548,330,16,78,131,1,131,6,6
3,-104.532112,32.393791,171,0,14,213,140,724,1255,3982,369,16,79,200,2,200,6,6
2.84,-104.532112,32.393791,171,0,14,213,140,724,1255,3982,369,16,79,200,2,200,6,6
3.015,-104.531982,32.3937,171,0,14,213,140,724,1255,3982,369,16,79,200,2,200,6,6
3.535,-104.531975,32.393787,171,0,14,213,140,724,1255,3982,369,16,79,200,2,200,6,6
2.400000095,-104.531914,32.39389,171,0,14,213,140,724,1255,3982,369,16,79,200,2,200,6,6
2.34,-104.513451,32.179615,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
2.6,-104.513413,32.17981,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
2.3,-104.513351,32.179718,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
2.2,-104.513298,32.179482,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
2.200000048,-104.513237,32.179726,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
1.64,-104.513237,32.179726,171,0,6,232,141,271,1363,2149,395,16,79,205,4,205,6,6
3.59,-104.411111,33.296667,232,1,14,243,145,5565,1084,2126,337,16,78,133,0,133,6,6
3.59,-104.41111,33.296665,232,1,14,243,145,5565,1084,2126,337,16,78,133,0,133,6,6
3.59,-104.39917,33.246666,232,1,14,243,145,6239,1084,2126,337,16,78,133,0,133,6,6
3.59,-104.399167,33.246667,232,1,14,243,145,6239,1084,2126,337,16,78,133,0,133,6,6
2.7,-104.380318,32.264595,2547,5,14,207,142,547,1092,1768,353,17,78,137,3,137,6,6
3.8,-104.380241,32.264511,2547,5,14,207,142,547,1092,1768,353,17,78,137,3,137,6,6
3.900000095,-104.380241,32.264595,2547,5,14,207,142,547,1092,1768,353,17,78,137,3,137,6,6
2.700000048,-104.38015,32.264782,2547,5,14,207,142,547,1092,1768,353,17,78,137,3,137,6,6
1.3,-103.942825,34.429005,0,1,9,205,152,3747,1287,1858,398,14,78,113,1,113,6,6
2.599999905,-103.892586,34.558479,95,1,9,174,151,3712,1368,1885,415,14,77,125,1,125,19,19
2.125,-103.892586,34.558479,95,1,9,174,151,3712,1368,1885,415,14,77,125,1,125,19,19
2.099999905,-103.873482,34.526218,95,1,9,174,151,2747,1368,1885,415,14,77,125,1,125,19,19
2,-103.873482,34.526218,95,1,9,174,151,2747,1368,1885,415,14,77,125,1,125,19,19
3.324800039,-103.761665,33.842499,466,1,9,207,150,3659,1364,1800,391,14,76,101,1,101,19,19
3.09875,-103.761665,33.842499,466,1,9,207,150,3659,1364,1800,391,14,76,101,1,101,19,19
7.947,-103.712776,33.906113,466,1,9,222,147,3317,1360,1878,391,14,77,130,1,130,6,6
32.5,-103.697222,29.920556,3176,1,14,244,135,390,1295,1457,407,17,77,194,2,194,17,17
32.5,-103.69722,29.920555,3176,1,14,244,135,390,1295,1457,407,17,77,194,2,194,17,17
15.06680063,-103.692223,33.842777,466,1,9,237,145,3338,1381,1804,394,14,76,131,0,131,19,19
10.12,-103.692223,33.842777,466,1,9,237,145,3338,1381,1804,394,14,76,131,0,131,19,19
2.6,-103.631248,33.533749,466,1,9,199,149,4542,1343,1933,400,14,76,119,0,119,6,6
2.6,-103.630806,33.533806,466,1,9,199,149,4542,1343,1933,400,14,76,119,0,119,6,6
35.37599854,-103.384979,33.712879,0,1,9,105,148,4506,1289,2120,411,14,75,129,0,129,19,19
25.62825,-103.384979,33.712879,0,1,9,105,148,4506,1289,2120,411,14,75,129,0,129,19,19
2.400000095,-103.242142,33.535084,0,1,9,123,149,4702,1245,1631,416,14,74,104,0,104,19,19
1.85,-103.242142,33.535084,0,1,9,123,149,4702,1245,1631,416,14,74,104,0,104,19,19
1.9,-103.242056,33.535167,0,1,9,123,149,4702,1245,1631,416,14,74,104,0,104,19,19
4.02,-103.039429,33.261772,279,1,9,227,148,4954,1166,1758,436,15,76,137,0,137,19,19
5.300000191,-103.005135,33.260639,279,1,9,152,150,4954,1155,1887,445,15,75,123,0,123,19,19
3.3,-103.005135,33.260639,279,1,9,152,150,4954,1155,1887,445,15,75,123,0,123,19,19
1,-102.951622,33.163269,0,1,9,159,149,5061,1145,1687,442,15,76,134,0,134,19,19
0.875,-102.951622,33.163269,0,1,9,159,149,5061,1145,1687,442,15,76,134,0,134,19,19
2.900000095,-102.946762,33.227184,0,1,9,159,149,4927,1145,1687,442,15,76,134,0,134,19,19
2.3,-102.946762,33.227184,0,1,9,159,149,4927,1145,1687,442,15,76,134,0,134,19,19
20.82,-102.913933,33.23967,0,1,9,152,150,4885,1141,1730,452,15,74,120,0,120,19,19
6.27,-102.877701,33.23674,0,1,9,174,149,4885,1127,2022,447,15,76,150,0,150,19,19
25.10000038,-102.856125,33.194412,0,1,9,174,149,4844,1127,2022,447,15,76,150,0,150,19,19
19.85,-102.856125,33.194412,0,1,9,174,149,4844,1127,2022,447,15,76,150,0,150,19,19
2.617,-102.825386,33.397057,0,1,9,95,147,4515,1138,2034,453,15,72,152,0,152,19,19
12.7827,-102.792137,33.690861,0,1,9,158,146,4726,1159,2146,463,14,75,151,0,151,19,19
2.7,-102.745361,33.626528,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
2.7,-102.745361,33.62653,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
4.15245,-102.745277,33.626591,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
3.73325,-102.745178,33.626739,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
2.9532,-102.745148,33.626659,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
3.4534,-102.745117,33.626568,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
3.9044,-102.745026,33.626728,0,1,9,194,143,4982,1140,2017,468,15,75,123,0,123,19,19
1.899999976,-102.732445,33.374825,0,1,9,124,146,4705,1118,2184,458,15,72,162,0,162,19,19
1.6,-102.732445,33.374825,0,1,9,124,146,4705,1118,2184,458,15,72,162,0,162,19,19
4.3964,-102.701759,33.908341,0,1,9,176,147,3651,1151,1910,457,14,74,171,0,171,19,19
4.87405,-102.701721,33.908501,0,1,9,176,147,3651,1151,1910,457,14,74,171,0,171,19,19
4.8392,-102.70166,33.908421,0,1,9,176,147,3651,1151,1910,457,14,74,171,0,171,19,19
4.54605,-102.701614,33.908341,0,1,9,176,147,3651,1151,1910,457,14,74,171,0,171,19,19
3.54975,-102.701584,33.908501,0,1,9,176,147,3651,1151,1910,457,14,74,171,0,171,19,19
6.185,-102.67437,33.799446,0,1,9,199,144,4575,1145,1919,461,14,74,144,0,144,19,19
7.5,-102.671326,33.023571,0,1,9,151,151,4383,1066,1644,448,15,77,146,0,146,19,19
5.72,-102.668213,33.819405,0,1,9,199,144,4575,1145,1919,461,14,74,144,0,144,19,19
3.62,-102.658096,33.779957,0,1,9,211,147,5016,1124,2013,463,14,74,137,0,137,19,19
3.78755,-102.656738,33.84671,0,1,9,211,147,4100,1124,2013,463,14,74,137,0,137,19,19
3.61945,-102.656647,33.246689,0,1,9,157,148,4993,1087,1618,462,15,73,155,0,155,19,19
4.23855,-102.656647,33.546562,0,1,9,172,145,5110,1117,2063,469,15,73,155,0,155,19,19
3.73425,-102.656586,33.646,0,1,9,190,145,5372,1122,2043,472,15,75,107,0,107,19,19
3.7814,-102.656548,33.84668,0,1,9,211,147,4100,1124,2013,463,14,74,137,0,137,19,19
27.20000076,-102.653694,34.466667,0,1,9,250,146,5148,1205,3312,437,13,74,199,0,199,16,16
22.6,-102.653694,34.466667,0,1,9,250,146,5148,1205,3312,437,13,74,199,0,199,16,16
6.900000095,-102.633041,33.780571,0,1,9,211,147,5016,1124,2013,463,14,74,137,0,137,19,19
4.905,-102.633041,33.780571,0,1,9,211,147,5016,1124,2013,463,14,74,137,0,137,19,19
2.432,-102.628914,33.601307,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
3.027,-102.628242,33.601227,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
2.21315,-102.628242,33.601276,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
2.66825,-102.628227,33.601357,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
2.2234,-102.628212,33.601158,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
2.5104,-102.628151,33.601257,0,1,9,190,145,5110,1122,2043,472,15,75,107,0,107,19,19
3.13,-102.62117,33.371975,0,1,9,133,146,4464,1099,2172,463,15,72,160,0,160,19,19
1.52,-102.620812,33.372238,0,1,9,133,146,4464,1099,2172,463,15,72,160,0,160,19,19
3.8,-102.612129,33.284905,0,1,9,157,148,4993,1087,1618,462,15,73,155,0,155,19,19
15.081,-102.580536,34.418613,0,1,9,250,146,4767,1205,3312,437,13,74,199,0,199,16,16
2.5555,-102.532723,33.773056,0,1,9,182,147,4688,1104,1855,472,15,74,129,0,129,19,19
2.19675,-102.532669,33.773056,0,1,9,182,147,4688,1104,1855,472,15,74,129,0,129,19,19
1.66375,-102.532631,33.77298,0,1,9,182,147,4688,1104,1855,472,15,74,129,0,129,19,19
1.82775,-102.532608,33.773056,0,1,9,182,147,4688,1104,1855,472,15,74,129,0,129,19,19
3.9208,-102.51593,33.628479,0,1,9,165,144,4923,1103,1889,474,15,74,134,0,134,19,19
7.71125,-102.515861,33.628632,0,1,9,165,144,4923,1103,1889,474,15,74,134,0,134,19,19
6.04665,-102.515839,33.628479,0,1,9,165,144,4923,1103,1889,474,15,74,134,0,134,19,19
5.02165,-102.515839,33.628563,0,1,9,165,144,4923,1103,1889,474,15,74,134,0,134,19,19
5.7699,-102.515701,33.628662,0,1,9,165,144,4923,1103,1889,474,15,74,134,0,134,19,19
3.24225,-102.406525,33.058971,0,1,9,154,154,4995,1011,2303,448,16,78,136,0,136,19,19
3.59075,-102.406502,33.058998,0,1,9,154,154,4995,1011,2303,448,16,78,136,0,136,19,19
4.4415,-102.406471,33.059029,0,1,9,154,154,4995,1011,2303,448,16,78,136,0,136,19,19
2.85275,-102.406456,33.058948,0,1,9,154,154,4995,1011,2303,448,16,78,136,0,136,19,19
9.31845,-102.404587,33.986721,137,1,9,192,147,4536,1109,2325,462,14,74,147,0,147,16,19
7.4837,-102.404572,33.986889,137,1,9,192,147,4536,1109,2325,462,14,74,147,0,147,16,19
8.3324,-102.404503,33.98679,137,1,9,192,147,4536,1109,2325,462,14,74,147,0,147,16,19
8.0782,-102.404427,33.986679,137,1,9,192,147,4536,1109,2325,462,14,74,147,0,147,16,19
7.8117,-102.404427,33.986839,137,1,9,192,147,4536,1109,2325,462,14,74,147,0,147,16,19
10.80000019,-102.373695,33.551251,137,1,9,191,145,4836,1065,1895,484,15,74,108,0,108,19,19
9.625,-102.373695,33.551251,137,1,9,191,145,4836,1065,1895,484,15,74,108,0,108,19,19
9.6,-102.373694,33.55125,137,1,9,191,145,4836,1065,1895,484,15,74,108,0,108,19,19
7.815599686,-102.362137,33.965099,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
4.9417,-102.362137,33.965099,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
7.55955,-102.357193,33.971298,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
4.75105,-102.357094,33.971157,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
6.4054,-102.357079,33.971371,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
5.5895,-102.357071,33.971279,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
5.0442,-102.356972,33.97126,137,1,9,207,146,4536,1098,2415,466,14,74,145,0,145,16,19
3.1582,-102.206146,33.656807,137,1,9,194,145,4533,1050,2023,483,15,72,118,0,118,19,19
3.6338,-102.206146,33.656918,137,1,9,194,145,4533,1050,2023,483,15,72,118,0,118,19,19
3.58255,-102.206047,33.656826,137,1,9,194,145,4533,1050,2023,483,15,72,118,0,118,19,19
3.5395,-102.205971,33.65675,137,1,9,194,145,4533,1050,2023,483,15,72,118,0,118,19,19
3.16845,-102.205963,33.656849,137,1,9,194,145,4533,1050,2023,483,15,72,118,0,118,19,19
5.222,-102.13667,26.845,414,3,14,213,142,597,978,2057,246,20,84,88,11,88,6,6
0.64,-102.13667,26.845,414,3,14,213,142,597,978,2057,246,20,84,88,11,88,6,6
12.41,-102.083336,34.366665,83,1,9,262,150,4715,1105,2726,461,14,72,155,0,155,16,16
12.41,-102.083333,34.366667,83,1,9,262,150,4715,1105,2726,461,14,72,155,0,155,16,16
3.3,-102.039528,33.616194,137,1,9,224,148,4244,1018,2092,483,15,73,121,0,121,16,16
2.299999952,-102.038696,33.615276,137,1,9,224,148,4244,1018,2092,483,15,73,121,0,121,16,16
3.275,-102.038696,33.615276,137,1,9,224,148,4244,1018,2092,483,15,73,121,0,121,16,16
2.7236,-101.948456,33.794529,83,1,9,277,148,3584,1029,2080,479,15,72,132,0,132,19,19
2.2521,-101.948364,33.794621,83,1,9,277,148,3584,1029,2080,479,15,72,132,0,132,19,19
2.18035,-101.948364,33.794701,83,1,9,277,148,3584,1029,2080,479,15,72,132,0,132,19,19
3.0803,-101.948318,33.794701,83,1,9,277,148,3584,1029,2080,479,15,72,132,0,132,19,19
2.79535,-101.948311,33.794701,83,1,9,277,148,3584,1029,2080,479,15,72,132,0,132,19,19
4.92325,-101.9002,33.26313,137,1,9,198,146,4122,974,1967,503,16,75,140,0,140,19,19
3.78755,-101.900169,33.263302,137,1,9,198,146,4122,974,1967,503,16,75,140,0,140,19,19
5.41935,-101.900101,33.263229,137,1,9,198,146,4122,974,1967,503,16,75,140,0,140,19,19
6.7826,-101.90004,33.263149,137,1,9,198,146,4122,974,1967,503,16,75,140,0,140,19,19
5.42345,-101.900009,33.263309,137,1,9,198,146,4122,974,1967,503,16,75,140,0,140,19,19
3.9495,-101.793602,33.3395,137,1,9,224,149,4107,965,1830,507,16,74,122,0,122,16,16
2.57805,-101.793556,33.339687,137,1,9,224,149,4107,965,1830,507,16,74,122,0,122,16,16
3.5641,-101.793495,33.339626,137,1,9,224,149,4107,965,1830,507,16,74,122,0,122,16,16
3.3591,-101.793411,33.339718,137,1,9,224,149,4107,965,1830,507,16,74,122,0,122,16,16
4.08,-101.780167,33.533639,83,1,9,275,147,4222,968,2142,492,16,76,154,0,154,19,19
4.08,-101.780083,33.541944,83,1,9,275,147,3672,968,2142,492,16,76,154,0,154,19,19
42.6945,-101.72963,33.568237,83,1,9,231,149,4146,957,2748,499,16,76,147,0,147,19,19
43.1619,-101.729614,33.568371,83,1,9,231,149,4146,957,2748,499,16,76,147,0,147,19,19
35.6507,-101.72953,33.56826,83,1,9,231,149,4146,957,2748,499,16,76,147,0,147,19,19
24.7201,-101.7295,33.568115,83,1,9,231,149,4146,957,2748,499,16,76,147,0,147,19,19
36.483,-101.729416,33.568279,83,1,9,231,149,4146,957,2748,499,16,76,147,0,147,19,19
7.51,-101.638056,33.283056,137,1,9,339,150,3950,920,1736,532,16,74,136,0,136,19,19
26.62,-101.604167,32.986667,0,1,9,295,151,3482,887,1909,511,16,76,127,0,127,19,19
