LONGITUDE,LATITUDE,p_avg,SOC,MAT,MAP,SAND,CLAY,PH,BEDROCK,SOIL.TYPE,DEPTH,NPP,SLOPE,ELEVATION,BIOMES,GEO3major
-102.13667,26.845,5.222,11.40100002,20.20876312,241.9686127,420.1478577,289.4631348,8.08954525,6,12,65,65535,6.594952843,1166.269043,10,Latin America and the Caribbean
-102.13667,26.845,0.64,11.40100002,20.20876312,241.9686127,420.1478577,289.4631348,8.08954525,6,12,65,65535,6.594952843,1166.269043,10,Latin America and the Caribbean
-100.222778,24.314972,20.3676,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,1,12,65,65535,3.672343842,1919.031006,10,Latin America and the Caribbean
-100.085114,24.317638,5.6186,14.64699984,17.16283035,351.2164001,373.8322449,303.184082,7.958938599,1,12,65,65535,3.672343842,1919.031006,10,Latin America and the Caribbean
-100.044998,23.746666,4.1927,25.47299862,17.92279816,412.9083252,381.2685547,321.3477173,7.830664158,3,12,65,65535,4.14170936,1829.76416,5,Latin America and the Caribbean
-99.863609,23.585278,5.3638,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,6,9,65,7125,12.53003424,1764.943726,6,Latin America and the Caribbean
-99.55011,23.530695,4.276,134.6119976,16.85927963,486.7505493,386.671814,318.6370544,7.072846413,6,9,65,7125,12.53003424,1764.943726,6,Latin America and the Caribbean
-93.386948,17.981945,42.79,9.121999741,26.16499138,2587.420654,401.3336487,331.0911865,5.603600979,3,11,65,65535,1.605754186,163.2139282,13,Latin America and the Caribbean
-93.386948,17.981945,36.714,9.121999741,26.16499138,2587.420654,401.3336487,331.0911865,5.603600979,3,11,65,65535,1.605754186,163.2139282,13,Latin America and the Caribbean
-93.386944,17.981944,36.714,9.121999741,26.16499138,2587.420654,401.3336487,331.0911865,5.603600979,3,11,65,65535,1.605754186,163.2139282,13,Latin America and the Caribbean
-93.098892,17.453611,7.51,7.970999479,23.26371574,2640.320557,403.9341125,336.4206543,5.586676121,3,10,65,65535,8.397920357,606.7671509,13,Latin America and the Caribbean
-93.098889,17.453611,7.51,7.970999479,23.26371574,2640.320557,403.9341125,336.4206543,5.586676121,3,10,65,65535,8.397920357,606.7671509,13,Latin America and the Caribbean
-92.964167,17.657222,17.849,9.086999893,26.56534004,2602.998291,409.9040527,323.2572327,5.784831524,1,11,65,65535,2.615125,179.9069672,13,Latin America and the Caribbean
-92.964165,17.657223,17.31,9.086999893,26.56534004,2602.998291,409.9040527,323.2572327,5.784831524,1,11,65,65535,2.615125,179.9069672,13,Latin America and the Caribbean
-92.964165,17.657223,17.849,9.086999893,26.56534004,2602.998291,409.9040527,323.2572327,5.784831524,1,11,65,65535,2.615125,179.9069672,13,Latin America and the Caribbean
-92.033611,17.583333,3.9085,40.17499924,26.6590538,2544.442871,424.3980408,316.355835,5.816353798,3,11,65,65535,2.324112516,130.8438263,13,Latin America and the Caribbean
