"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
7.7,-100.2227783,24.3149719,"Latin America and the Caribbean",6,14,280,134,438,1805,3392,328,17,77,242,1,242,6,6
40.1,-100.2227783,24.3149719,"Latin America and the Caribbean",6,14,280,134,438,1805,3392,328,17,77,242,1,242,6,6
3.1,-100.0851135,24.3176384,"Latin America and the Caribbean",3,14,319,130,266,1866,3573,354,17,74,284,4,284,25,25
5.5,-100.0851135,24.3176384,"Latin America and the Caribbean",3,14,319,130,266,1866,3573,354,17,74,284,4,284,25,25
0.7,-100.0449982,23.746666,"Latin America and the Caribbean",3,14,301,130,228,1744,4468,402,18,71,302,4,302,6,6
4.1,-100.0449982,23.746666,"Latin America and the Caribbean",3,14,301,130,228,1744,4468,402,18,71,302,4,302,6,6
0.3,-99.8636093,23.5852776,"Latin America and the Caribbean",3,14,282,131,143,1744,4167,434,18,74,315,10,315,17,17
5.1,-99.8636093,23.5852776,"Latin America and the Caribbean",3,14,282,131,143,1744,4167,434,18,74,315,10,315,17,17
97,-99.7699738,34.5065842,"North America",3,9,327,152,2047,463,2591,619,17,73,162,0,162,16,16
0.3,-99.5501099,23.530695,"Latin America and the Caribbean",3,4,373,114,81,1437,7212,557,19,71,652,12,652,17,19
3.1,-99.5501099,23.530695,"Latin America and the Caribbean",3,4,373,114,81,1437,7212,557,19,71,652,12,652,17,19
10,-99.5403976,34.9969482,"North America",3,9,249,155,1344,502,2523,686,16,71,179,0,179,16,16
0.3,-99.5180054,34.7388802,"North America",3,9,339,156,651,451,2527,685,16,73,165,0,165,16,16
2.9,-99.5180054,34.7388802,"North America",3,9,339,156,651,451,2527,685,16,73,165,0,165,16,16
17.8,-99.4629593,34.9299126,"North America",1,9,258,155,1655,481,2458,700,16,69,169,1,169,16,16
56.2,-99.4629593,34.9299126,"North America",1,9,258,155,1655,481,2458,700,16,69,169,1,169,16,16
52,-99.4138641,34.7570839,"North America",1,9,205,157,1736,436,2820,701,16,70,164,0,164,16,16
20.2,-99.40728,34.6819992,"North America",1,9,205,157,1717,436,2820,701,16,70,164,0,164,16,16
44,-99.34231567,34.49843979,"North America",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
6,-99.3418884,34.4984169,"North America",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
39,-99.3418884,34.4984169,"North America",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
