"","LONGITUDE","LATITUDE","p_avg","GEO3major","data","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
"693",-119.3926024,34.932211,28,"North America","train",3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
"694",-119.3926024,34.932211,49,"North America","train",3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
"764",-118.9766667,34.9555556,10,"North America","train",1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
"765",-118.9766667,34.9555556,15,"North America","train",1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
"1068",-116.3453064,34.3222771,12,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
"1069",-116.3453064,34.3222771,27,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
"1070",-116.3453064,34.3222771,41,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
"1082",-116.3128052,34.3269463,21,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
"1083",-116.3028641,34.3469429,11,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
"1084",-116.3028641,34.3469429,14,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
"1085",-116.3028641,34.3469429,15,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
"1091",-116.2636108,34.263195,7,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
"1092",-116.2636108,34.263195,16,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
"1093",-116.2636108,34.263195,27,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
"1096",-116.2324982,34.2883339,5,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
"1097",-116.2324982,34.2883339,19,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
"1098",-116.2324982,34.2883339,23,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
"1102",-116.2172241,34.3563881,8,"North America","train",1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
"1103",-116.2172241,34.3563881,10,"North America","train",1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
"1104",-116.2086105,34.2788887,22,"North America","train",1,14,89,151,16716,703,65535,129,19,83,14,1,14,19,19
"1107",-116.1911087,34.3010292,7,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
"1108",-116.1911087,34.3010292,15,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
"1109",-116.1911087,34.3010292,16,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
"1114",-116.1661148,34.3044434,10,"North America","train",1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
"1115",-116.1661148,34.3044434,17,"North America","train",1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
"1120",-116.140564,34.31558228,15,"North America","train",1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
"1121",-116.140564,34.31558228,20,"North America","train",1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
"1123",-116.1380692,34.32141495,18,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
"1124",-116.1380692,34.32141495,19,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
"1125",-116.1380692,34.32141495,20,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
"1477",-106.762886,34.7714996,0.9,"North America","train",1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
"1478",-106.762886,34.7714996,35.7,"North America","train",1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
"1479",-106.7000275,32.5569992,8.4,"North America","train",1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
"1480",-106.1222229,34.8113899,1,"North America","train",1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
"1481",-106.1222229,34.8113899,31,"North America","train",1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
"1491",-106.0555573,34.8013878,22,"North America","train",1,9,267,143,5263,1886,1751,336,11,76,107,0,107,16,16
