"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
912501260,24.97180501,18.33,-100,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000632872","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays L. subsp. parviglumis H.H.Iltis & Doebley","L.","MX",3,4,289,122,23,1403,54985,1066,23,66,348,9,348,25,25
4061782320,17.88988724,18.385,-100.130556,"e053ff53-c156-4e2e-b9b5-4462e9625424","urn:catalog:MO:Tropicos:101476395","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis Iltis & Doebley","Iltis & Doebley","MX",8,3,267,128,27,862,10630,1120,25,64,299,9,299,21,21
4061449538,18.20725301,18.85,-100.233056,"e053ff53-c156-4e2e-b9b5-4462e9625424","urn:catalog:MO:Tropicos:102029701","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis Iltis & Doebley","Iltis & Doebley","MX",6,3,292,129,65,1123,10221,1250,23,62,359,11,359,21,21
3818218375,15.69545249,17.42,-99.5,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900489","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","","MX",11,4,282,117,10,1472,9815,1179,22,60,488,20,488,21,19
3817786387,16.8715389,17.200001,-99.5,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900502","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","","MX",9,3,221,131,33,695,10244,1472,25,56,317,8,317,25,25
3349965879,18.87599843,19.549999,-104.050003,"d8cd16ba-bb74-4420-821e-083f2bac17c2","HE657291","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","","MX",9,4,250,116,21,1796,10906,1119,17,62,478,18,478,17,17
3349927793,18.87599843,19.549999,-104.050003,"d8cd16ba-bb74-4420-821e-083f2bac17c2","HE657290","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","","MX",9,4,250,116,21,1796,10906,1119,17,62,478,18,478,17,17
3347072534,16.72492598,17.5,-99.5,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900505","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","","MX",6,4,287,113,4,1864,10519,1126,20,61,507,15,507,21,19
3308740303,18.87599843,19.55,-104.05,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1307601:d554a50a2ee744dfccb199d8bfa03d7c","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",9,4,250,116,21,1796,10906,1119,17,62,478,18,478,17,17
3308560170,13.83828019,17.2875,-99.48194,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1034731:589641f14028c001e4d83f9ee13613ff","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",11,4,256,128,112,874,12282,1419,24,55,368,9,368,25,19
3308537193,23.5333086,18.417,-99.883,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:803573:de3c3e221097978271b477a73792196f","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",8,3,298,124,5,1614,13750,1130,22,65,341,7,341,17,17
3308529059,23.23830646,18.333,-99.817,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:802812:b6c90070c7f2c90d793f8eb40404989d","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",3,3,305,120,10,1452,10313,1111,22,66,344,10,344,17,21
3308473741,23.23830646,18.333,-99.817,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:802825:fc5e2e47b00066f427a4186eca770fd9","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",3,3,305,120,10,1452,10313,1111,22,66,344,10,344,17,21
3308413473,13.13775172,19.44611,-103.96944,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:643272:e0ff4ca63c762bec19fc0835918b111e","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",5,3,254,111,99,1837,10279,1062,18,61,493,9,493,19,19
3308289923,18.21436113,18.383,-100.017,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:353141:951c930da18dc70df91f31f24b950cc4","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",6,3,273,115,18,1363,9965,1146,23,62,435,11,435,17,17
3308282713,17.88988724,18.383,-100.117,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:324077:c28f8c71a0556491616aac1aaf3739e8","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",8,3,267,128,27,862,10630,1120,25,64,299,9,299,21,21
3308180396,23.72629826,18.4125,-99.91666,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:2455:f6057981fcd3c77081334e2b66aad99c","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",8,3,298,124,5,1614,13750,1130,22,65,341,7,341,25,17
3308160409,16.1871471,19.56666,-100.91666,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:2534:5bd010a986ff8d823caa3c5ed7299ac1","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",3,4,311,122,34,1371,9994,914,21,58,435,15,435,25,25
3308159418,18.21436113,18.33333,-100.08333,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:2509:3583a7aca68afbe69757e2d495ab6ccc","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","parviglumis","SUBSPECIES","Zea mays subsp. parviglumis Iltis & Doebley","Zea mays subsp. parviglumis","Iltis & Doebley, 1980","MX",6,3,273,115,53,1363,9965,1146,23,62,435,11,435,17,17
