ID,p_avg,LATITUDE,LONGITUDE,Population,Accession-ID,Species,Race,Altitude,BEDROCK,BIOME,CLAY,DENSITY,DEPTH,ELEVATION,MANPP,MAPRECIP,MATEMP,PH,SAND,SLOPE,SOC,SOIL.USDA,SOIL.WRB
JSG_427,28.7492402,20.153,-102.364,J2Teo,JSG_427,Zea mays ssp. parviglumis,Mesa_Central,1574,2,3,336,122,136,1615,8570,791,20,64,327,3,327,30,30
JSG_437,17.5409541,19.086,-98.489,J2Teo,JSG_437,Zea mays ssp. mexicana,Chalco,2475,11,4,210,117,20,2666,5483,939,14,62,462,7,462,30,19
JSG_465,22.42410699,20.421,-102.347,J2Teo,JSG_465,Zea mays ssp. mexicana,Mesa_Central,1597,2,4,333,132,788,1613,9299,805,20,64,257,3,257,30,30
JSG_467,17.32449114,20.611,-104.226,J2Teo,JSG_467,Zea mays ssp. parviglumis,Balsas,1139,2,3,276,123,63,1351,8419,974,20,62,311,12,311,21,21
JSG_593,13.3005677,17.944,-96.462,J2Teo,JSG_593,Zea luxurians,luxurians,83,6,2,354,101,414,494,13820,3179,24,56,647,13,647,21,21
JSG_JMHC_614,12.7471729,19.258,-99.467,J2Teo,JSG_JMHC_614,Zea mays ssp. mexicana,Chalco,2592,10,4,213,109,540,2844,9200,1051,13,60,656,3,656,21,21
JSG_JMHC_626,26.4706972,19.171,-97.557,J2Teo,JSG_JMHC_626,Zea mays ssp. mexicana,Chalco,2388,11,14,220,129,540,2382,6788,507,14,77,216,0,216,30,30
JSG_JMHC_629,25.34397573,19.074,-97.431,J2Teo,JSG_JMHC_629,Zea mays ssp. mexicana,Chalco,2670,7,14,213,121,637,2675,5238,711,12,66,370,4,370,30,30
JSG_JMHC_631,12.85956957,19.16,-98.186,J2Teo,JSG_JMHC_631,Zea mays ssp. mexicana,Chalco,2311,11,4,176,115,154,2494,6448,834,14,65,405,4,405,21,21
JSG_JMHC_634,19.00347649,19.079,-98.845,J2Teo,JSG_JMHC_634,Zea mays ssp. mexicana,Chalco,2485,10,4,221,126,10,2513,5527,907,15,63,313,4,313,19,19
JSG_JMHC_637,14.36863265,19.155,-98.775,J2Teo,JSG_JMHC_637,Zea mays ssp. mexicana,Chalco,2470,10,4,223,124,258,2559,6162,911,15,64,340,5,340,25,25
JSG_JMHC_639,25.35005764,19.495,-98.921,J2Teo,JSG_JMHC_639,Zea mays ssp. mexicana,Chalco,2254,1,14,280,133,1189,2237,58461,572,17,77,281,0,281,30,30
JSG_LCL_554,13.13775172,19.441,-103.984,J2Teo,JSG_LCL_554,Zea mays ssp. mexicana,Balsas,1103,5,3,254,111,99,1837,10279,1062,18,61,493,9,493,19,19
JSG_LCL_559,23.23928566,19.681,-101.736,J2Teo,JSG_LCL_559,Zea mays ssp. mexicana,Chalco,2410,2,4,297,126,16,2267,9323,893,16,62,281,6,281,19,19
JSG_LCL_565,24.30776924,19.956,-101.317,J2Teo,JSG_LCL_565,Zea mays ssp. mexicana,Mesa_Central,1848,2,4,347,125,253,2209,9479,775,16,62,309,7,309,30,30
JSG_LCL_566,25.14930442,20.077,-101.976,J2Teo,JSG_LCL_566,Zea mays ssp. mexicana,Mesa_Central,2055,2,3,366,123,19,1920,8191,805,18,63,310,3,310,30,30
JSG_LCL_672,15.49989312,18.61,-100.272,J2Teo,JSG_LCL_672,Zea mays ssp. parviglumis,Balsas,834,8,3,268,126,86,1152,8514,1275,23,59,378,14,378,25,25
JSG_LCL_674,19.47057199,18.641,-100.357,J2Teo,JSG_LCL_674,Zea mays ssp. parviglumis,Balsas,1008,8,4,272,133,71,915,9041,1271,25,62,307,9,307,25,25
JSG_LCL_676,16.02454254,19.179,-100.255,J2Teo,JSG_LCL_676,Zea mays ssp. parviglumis,Balsas,1345,2,4,314,115,35,1746,11488,988,19,60,414,9,414,17,17
JSG_LCL_689,27.94320437,20.403,-102.904,J2Teo,JSG_LCL_689,Zea mays ssp. mexicana,Mesa_Central,1550,1,3,304,130,161,1553,8408,821,20,64,267,1,267,19,30
JSG_LCL_694,10.32997638,19.635,-103.58,J2Teo,JSG_LCL_694,Zea perennis,perennis,2140,2,4,185,102,22,2393,11622,1062,14,61,603,13,603,19,19
JSG_LCL_695,17.59526889,19.635,-103.567,J2Teo,JSG_LCL_695,Zea perennis,perennis,2174,1,3,217,122,22,1796,32483,982,18,61,308,6,308,19,19
JSG_LCL_704,18.05230509,20.626,-104.418,J2Teo,JSG_LCL_704,Zea mays ssp. parviglumis,Balsas,1442,11,4,326,121,8,1401,5415,1061,19,58,346,10,346,19,19
JSG_LCL_JGRF_586,24.63616373,20.14,-101.073,J2Teo,JSG_LCL_JGRF_586,Zea mays ssp. mexicana,Mesa_Central,2023,2,3,395,127,26,1853,9081,699,18,64,245,0,245,30,30
JSG_LCL_JRP_702,21.07087186,20.786,-104.543,J2Teo,JSG_LCL_JRP_702,Zea mays ssp. parviglumis,Balsas,1153,2,4,254,130,14,990,7374,1038,22,62,281,9,281,21,25
JSG_LCL_JRP_MMR_712,12.81131979,19.417,-101.938,J2Teo,JSG_LCL_JRP_MMR_712,Zea perennis,perennis,1385,2,4,239,113,47,1790,9544,964,18,61,364,6,364,19,19
JSG_RMM_558,23.79615085,19.344,-101.944,J2Teo,JSG_RMM_558,Zea mays ssp. parviglumis,Balsas,1170,2,4,297,124,154,1348,12326,924,20,63,317,5,317,19,19
JSG_RMM_LCL_471,19.61790787,19.203,-99.566,J2Teo,JSG_RMM_LCL_471,Zea mays ssp. mexicana,Chalco,2595,11,14,230,126,686,2679,7548,965,13,64,290,2,290,21,19
JSG_RMM_LCL_473,14.65461656,18.953,-99.503,J2Teo,JSG_RMM_LCL_473,Zea mays ssp. parviglumis,Balsas,1901,3,4,291,117,54,1961,11862,1136,17,64,401,12,401,19,19
JSG_RMM_LCL_474,12.8437438,18.975,-99.03,J2Teo,JSG_RMM_LCL_474,Zea mays ssp. mexicana,Balsas,1654,10,4,226,102,149,2308,11771,1064,17,61,633,8,633,19,19
JSG_RMM_LCL_476,18.54219302,19.082,-98.776,J2Teo,JSG_RMM_LCL_476,Zea mays ssp. mexicana,Chalco,2480,1,4,212,124,72,2496,5887,941,15,64,304,2,304,4,4
JSG_RMM_LCL_480,21.69338063,19.218,-98.869,J2Teo,JSG_RMM_LCL_480,Zea mays ssp. mexicana,Chalco,2280,1,14,254,132,440,2345,29977,773,16,66,251,2,251,21,30
JSG_RMM_LCL_483,25.6463179,16.324,-97.033,J2Teo,JSG_RMM_LCL_483,Zea mays ssp. parviglumis,Balsas,1272,3,4,273,131,70,1421,4294,1349,21,59,289,15,289,25,25
JSG_RMM_LCL_486,25.6463179,16.349,-97.021,J2Teo,JSG_RMM_LCL_486,Zea mays ssp. parviglumis,Balsas,982,3,4,273,131,70,1421,4294,1349,21,59,289,15,289,25,25
JSG_RMM_LCL_487,17.87874408,16.982,-99.283,J2Teo,JSG_RMM_LCL_487,Zea mays ssp. parviglumis,Balsas,590,8,3,211,133,23,405,11078,1558,26,55,265,3,265,19,19
JSG_RMM_LCL_495,18.22643373,18.505,-99.784,J2Teo,JSG_RMM_LCL_495,Zea mays ssp. parviglumis,Balsas,1890,3,4,312,111,32,1718,10351,1125,20,63,395,9,395,19,19
JSG_RMM_LCL_511,17.88988724,18.388,-100.128,J2Teo,JSG_RMM_LCL_511,Zea mays ssp. parviglumis,Balsas,1110,8,3,267,128,27,862,10630,1120,25,64,299,9,299,21,21
JSG_RMM_LCL_514,20.96742849,19.063,-101.283,J2Teo,JSG_RMM_LCL_514,Zea mays ssp. parviglumis,Balsas,832,7,4,304,128,168,947,10043,969,24,66,330,14,330,17,17
JSG_RMM_LCL_517,26.12663919,18.963,-101.058,J2Teo,JSG_RMM_LCL_517,Zea mays ssp. parviglumis,Balsas,870,5,3,274,131,36,775,9648,993,25,68,289,8,289,21,17
JSG_RMM_LCL_523,18.20725301,18.842,-100.238,J2Teo,JSG_RMM_LCL_523,Zea mays ssp. parviglumis,Balsas,958,6,3,292,129,65,1123,10221,1250,23,62,359,11,359,21,21
JSG_RMM_LCL_524,19.38972071,18.899,-100.181,J2Teo,JSG_RMM_LCL_524,Zea mays ssp. parviglumis,Balsas,1422,8,4,307,118,31,1478,7239,1184,20,61,373,7,373,25,25
JSG_RMM_LCL_534,19.01578746,19.148,-100.355,J2Teo,JSG_RMM_LCL_534,Zea mays ssp. parviglumis,Balsas,1178,8,4,297,119,38,1435,10604,1015,21,63,343,9,343,25,25
JSG_RMM_LCL_536,13.4364688,19.686,-100.633,J2Teo,JSG_RMM_LCL_536,Zea mays ssp. mexicana,Mesa_Central,2102,3,4,245,109,69,2320,9242,996,15,60,554,4,554,19,19
JSG_RMM_LCL_539,16.1871471,19.551,-100.918,J2Teo,JSG_RMM_LCL_539,Zea mays ssp. parviglumis,Balsas,1342,3,4,311,122,29,1371,9994,914,21,58,435,15,435,25,25
JSG_RMM_LCL_546,17.55937931,19.704,-104.819,J2Teo,JSG_RMM_LCL_546,Zea mays ssp. parviglumis,Balsas,552,6,4,260,126,16,574,8208,1367,23,58,276,10,276,7,7
JSG_RMM_LCL_548,15.14452062,19.772,-104.843,J2Teo,JSG_RMM_LCL_548,Zea mays ssp. parviglumis,Balsas,635,9,4,246,121,18,650,8742,1327,23,58,324,8,324,7,7
JSG_RMM_LCL_551,15.3697109,19.591,-104.278,J2Teo,JSG_RMM_LCL_551,Zea diploperennis,diploperennis,1870,6,4,268,122,100,1621,12404,1142,18,59,308,13,308,7,19
JSG_RMM_LCL_568,16.8715389,17.172,-99.544,J2Teo,JSG_RMM_LCL_568,Zea mays ssp. parviglumis,Balsas,300,9,3,221,131,33,695,10244,1472,25,56,317,8,317,25,25
JSG_SRV_604,17.32051828,26.228,-106.962,J2Teo,JSG_SRV_604,Zea mays ssp. mexicana,Nabogame,1920,11,4,238,128,102,2140,3462,990,15,60,313,8,313,19,19
JSG_SRV_606,21.57041274,26.223,-106.932,J2Teo,JSG_SRV_606,Zea mays ssp. mexicana,Nabogame,1951,11,4,220,128,102,2235,4153,943,14,59,312,9,312,19,19
JSG_SRV_EAM_705,34.44217171,24.042,-104.28,J2Teo,JSG_SRV_EAM_705,Zea mays ssp. mexicana,Durango,1870,2,14,264,142,0,1874,3546,486,18,75,194,0,194,17,17
JSG_SRV_EAM_708,34.44217171,24.024,-104.3,J2Teo,JSG_SRV_EAM_708,Zea mays ssp. mexicana,Durango,1860,2,14,264,142,0,1874,3546,486,18,75,194,0,194,17,17
JSG_Y_LOS_142,15.29326854,19.293,-103.081,J2Teo,JSG_Y_LOS_142,Zea mays ssp. parviglumis,Balsas,1460,9,4,244,123,69,1155,10550,933,22,62,341,8,341,21,21
JSG_Y_RMM_429,30.81533493,24.085,-104.486,J2Teo,JSG_Y_RMM_429,Zea mays ssp. mexicana,Durango,1875,1,14,248,143,517,1861,3315,509,17,75,143,0,143,7,7
JSG_Y_RMM_438,23.8915756,20.075,-102.06,J2Teo,JSG_Y_RMM_438,Zea mays ssp. mexicana,Mesa_Central,1910,2,4,326,129,1,1963,9011,823,18,63,274,5,274,30,30
JSG_Y_RMM_440,25.14930442,20.103,-101.947,J2Teo,JSG_Y_RMM_440,Zea mays ssp. mexicana,Mesa_Central,1775,2,3,366,123,19,1920,8191,805,18,63,310,3,310,30,30
JSG_Y_RMM_444,25.12718468,20.035,-101.469,J2Teo,JSG_Y_RMM_444,Zea mays ssp. mexicana,Mesa_Central,2186,11,4,352,126,6,2343,8717,773,16,62,275,5,275,30,30
JSG_Y_RMM_447,23.54664085,20.169,-101.156,J2Teo,JSG_Y_RMM_447,Zea mays ssp. mexicana,Mesa_Central,1880,2,3,399,133,16,1839,6901,707,18,65,183,3,183,30,30
JSG_Y_RMM_457,22.83335664,18.82,-100.916,J2Teo,JSG_Y_RMM_457,Zea mays ssp. parviglumis,Balsas,654,6,3,272,130,93,781,9120,1066,25,66,293,9,293,17,25
JSG_Y_RMM_458,30.3302413,18.805,-100.946,J2Teo,JSG_Y_RMM_458,Zea mays ssp. parviglumis,Balsas,635,5,3,260,136,68,643,8911,971,26,69,237,3,237,17,17
JSG_Y_RMM_463,11.39888945,19.422,-101.61,J2Teo,JSG_Y_RMM_463,Zea mays ssp. mexicana,Chalco,2225,2,4,215,106,10,2384,11444,1027,15,59,691,5,691,19,19
RMM_11,18.87599843,19.528,-104.064,J2Teo,RMM_11,Zea mays ssp. parviglumis,Balsas,1450,9,4,250,116,93,1796,10906,1119,17,62,478,18,478,17,17
RMM_3,22.76093146,19.945,-103.995,J2Teo,RMM_3,Zea mays ssp. parviglumis,Balsas,984,5,3,273,124,84,1113,8434,772,22,64,294,6,294,17,17
LANTEO001,17.15449923,19.029,-98.821,R2Teo,CIMMYTMA-008753,Zea mays ssp. mexicana,,2338,10,4,211,124,30,2350,9959,952,16,62,368,3,368,19,4
LANTEO014,23.93541392,20.15,-102.07,R2Teo,CIMMYTMA-008771,Zea mays ssp. mexicana,,1855,2,3,384,134,2,1866,8509,789,19,63,203,2,203,30,30
LANTEO029,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008787,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO030,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008788,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO031,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008789,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO032,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008790,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO033,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008791,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO036,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008794,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO037,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008795,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO038,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008796,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO042,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008800,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO043,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008801,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO045,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008803,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO046,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008804,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO047,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008805,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO050,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008808,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO052,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008810,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO055,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008813,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO058,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008816,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO059,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008817,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO060,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008818,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO065,33.79782346,19.53,-98.85,R2Teo,CIMMYTMA-008823,Zea mays ssp. parv_mex?,,2276,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
LANTEO093,32.49526787,20.74,-101.93,R2Teo,CIMMYTMA-013544,Zea mays ssp. mexicana,,1726,1,3,356,139,144,1729,8164,690,19,71,159,0,159,21,30
LANTEO096,23.54664085,20.175,-101.171,R2Teo,CIMMYTMA-013548,Zea mays ssp. mexicana,,1810,2,3,399,133,9,1839,6901,707,18,65,183,3,183,30,30
LANTEO098,34.8908898,20.085,-101.515,R2Teo,CIMMYTMA-013550,Zea mays ssp. mexicana,,1900,11,3,377,126,55,2005,8113,736,17,62,333,2,333,30,30
LANTEO103,18.93534656,19.13,-98.77,R2Teo,CIMMYTMA-013561,Zea mays ssp. mexicana,,2484,1,4,212,124,258,2496,5887,941,15,64,304,2,304,25,4
LANTEO105,26.22255556,19.25,-98.85,R2Teo,CIMMYTMA-013564,Zea mays ssp. mexicana,,2255,1,14,271,129,440,2257,24545,654,17,75,255,0,255,21,21
LANTEO107,25.6463179,16.327,-97.042,R2Teo,CIMMYTMA-013567,Zea mays ssp. parviglumis,,1094,3,4,273,131,70,1421,4294,1349,21,59,289,15,289,25,25
LANTEO110,26.22255556,19.25,-98.85,R2Teo,CIMMYTMA-013570,Zea mays ssp. mexicana,,2255,1,14,271,129,440,2257,24545,654,17,75,255,0,255,21,21
LANTEO112,25.14930442,20.099,-101.936,R2Teo,CIMMYTMA-013573,Zea mays ssp. mexicana,,1705,2,3,366,123,19,1920,8191,805,18,63,310,3,310,30,30
LANTEO115,14.25581826,19.68,-100.5,R2Teo,CIMMYTMA-013576,Zea mays ssp. mexicana,,2020,2,4,257,122,67,2238,20734,945,16,60,392,4,392,25,19
LANTEO122,16.02454254,19.184,-100.26,R2Teo,CIMMYTMA-013584,Zea mays ssp. parviglumis,,1353,2,4,314,115,35,1746,11488,988,19,60,414,9,414,17,17
LANTEO123,23.98205724,19.31,-100.44,R2Teo,CIMMYTMA-013585,Zea mays ssp. parviglumis,,1313,2,4,310,123,116,1492,9547,1002,20,63,322,5,322,25,17
LANTEO124,14.45520883,19.415,-100.835,R2Teo,CIMMYTMA-013586,Zea mays ssp. parviglumis,,1570,7,4,279,112,205,1883,9974,1008,18,57,436,12,436,25,19
LANTEO127,14.59083001,19.28,-99.67,R2Teo,CIMMYTMA-014977,Zea mays ssp. mexicana,,2694,1,14,259,123,418,2754,65333,918,13,62,344,1,344,21,21
LANTEO130,17.8463072,19.07,-97.53,R2Teo,CIMMYTMA-016791,Zea mays ssp. mexicana,,2455,11,14,190,125,472,2488,6986,570,13,69,293,2,293,21,21
LANTEO136,32.82885013,19.551,-98.863,R2Teo,CIMMYTMA-029060,Zea mays ssp. mexicana,,2267,1,14,261,129,674,2261,33809,559,16,68,227,0,227,30,30
LANTEO137,26.85702504,19.494,-98.902,R2Teo,CIMMYTMA-029061,Zea mays ssp. mexicana,,2247,11,14,265,131,525,2286,9503,597,16,71,247,1,247,30,21
LANTEO138,28.47037938,19.491,-98.832,R2Teo,CIMMYTMA-029062,Zea mays ssp. mexicana,,2428,11,14,265,131,94,2286,9503,597,16,71,247,1,247,21,21
LANTEO147,16.28392542,19.38,-99.52,R2Teo,CIMMYTMA-029072,Zea mays ssp. mexicana,,2580,1,14,263,123,871,2644,9362,960,13,62,354,0,354,21,21
LANTEO148,16.28392542,19.39,-99.51,R2Teo,CIMMYTMA-029073,Zea mays ssp. mexicana,,2580,1,14,263,123,871,2644,9362,960,13,62,354,0,354,21,21
LANTEO149,20.47961297,19.16,-99.59,R2Teo,CIMMYTMA-029074,Zea mays ssp. mexicana,,2623,11,14,230,126,63,2679,7548,965,13,64,290,2,290,19,19
LANTEO150,20.47961297,19.15,-99.62,R2Teo,CIMMYTMA-029075,Zea mays ssp. mexicana,,2713,11,14,230,126,63,2679,7548,965,13,64,290,2,290,19,19
LANTEO151,16.14607981,19.33,-99.92,R2Teo,CIMMYTMA-029076,Zea mays ssp. mexicana,,2833,11,14,259,123,26,2698,8635,949,13,62,340,2,340,4,19
LANTEO168,25.84125937,18.85,-100.8,R2Teo,CIMMYTMA-029724,Zea mays ssp. parviglumis,,606,11,3,276,135,92,696,9112,1054,26,64,271,11,271,25,25
LANTEO171,24.42199551,19.264,-100.458,R2Teo,CIMMYTMA-029727,Zea mays ssp. parviglumis,,1276,2,4,310,123,111,1492,9547,1002,20,63,322,5,322,17,17
LANTEO174,15.71740744,19.69,-100.549,R2Teo,CIMMYTMA-029730,Zea mays ssp. parviglumis,,2053,2,4,257,122,21,2238,20734,945,16,60,392,4,392,19,19
LANTEO183,23.60250856,19.335,-101.918,R2Teo,CIMMYTMA-029740,Zea mays ssp. parviglumis,,1145,2,4,314,124,154,1389,15482,935,20,62,287,6,287,19,19
LANTEO192,22.85134508,12.9,-86.926,R2Teo,CIMMYTMA-029300,Zea nicaraguensis,,175,1,3,425,130,928,18,8773,1743,28,66,366,0,366,21,21
LANTEO198,16.80526928,17.404,-99.467,R2Teo,CIMMYTMA-029763,Zea mays ssp. parviglumis,,1200,6,4,268,127,10,1399,9615,1139,23,61,343,12,343,21,25
LANTEO201,29.67194618,18.633,-100.907,R2Teo,CIMMYTMA-029766,Zea mays ssp. parviglumis,,315,3,3,261,137,123,414,6595,947,27,75,228,2,228,21,17
LANTEO202,29.67194618,18.633,-100.907,R2Teo,CIMMYTMA-029767,Zea mays ssp. parviglumis,,315,3,3,261,137,123,414,6595,947,27,75,228,2,228,21,17
LANTEO203,23.93541392,20.2,-102.04,R2Teo,CIMMYTMA-029768,Zea mays ssp. parviglumis,,1859,2,3,384,134,2,1866,8509,789,19,63,203,2,203,30,30
LANTEO205,23.93541392,20.13,-102.09,R2Teo,CIMMYTMA-029770,Zea mays ssp. parviglumis,,1817,2,3,384,134,4,1866,8509,789,19,63,203,2,203,30,30
