ID,p_avg,LATITUDE,LONGITUDE,Population,Accession-ID,Species,Race,Altitude,BEDROCK,BIOME,CLAY,DENSITY,DEPTH,ELEVATION,MANPP,MAPRECIP,MATEMP,PH,SAND,SLOPE,SOC,SOIL.USDA,SOIL.WRB
CIM10003,15.86447131,19.533,-104.217,J2Teo,CIM10003,Zea diploperennis,diploperennis,2250,6,4,235,106,75,1430,13230,1226,19,59,483,9,483,7,7
CIM11362,24.57985396,19.275,-99.1,J2Teo,CIM11362,Zea mays ssp. mexicana,Chalco,2200,1,14,297,133,69,2298,41892,690,16,74,199,0,199,21,21
CIM11365,24.36485871,20.727,-101.949,J2Teo,CIM11365,Zea mays ssp. mexicana,Mesa_Central,1710,11,3,349,132,144,1873,6976,723,19,64,182,3,182,21,21
CIM13451,23.46737867,12.874,-86.914,J2Teo,CIM13451,Zea nicaraguensis,nicaraguensis,15,1,3,425,130,838,18,8773,1743,28,66,366,0,366,12,21
CIM27215,33.79782346,19.53,-98.843,J2Teo,CIM27215,Zea mays ssp. mexicana,Chalco,2280,1,14,261,129,525,2261,33809,559,16,68,227,0,227,30,30
CIM29379,16.86359899,19.418,-101.911,J2Teo,CIM29379,Zea perennis,perennis,1380,2,4,273,113,31,1787,12804,972,18,61,396,5,396,19,4
CIM9479,18.60653333,15.667,-91.75,J2Teo,CIM9479,Zea mays ssp. huehuetenangensis,huehuetenango,1300,3,4,314,109,421,1224,8609,2217,21,59,490,8,490,17,17
DMA_2008_1,27.14938943,18.672,-98.831,J2Teo,DMA_2008_1,Zea mays ssp. parviglumis,Balsas,1400,3,3,281,129,328,1244,6443,877,24,70,259,2,259,30,30
FAC_P_87,13.3005677,17.935,-96.468,J2Teo,FAC_P_87,Zea luxurians,luxurians,80,6,2,354,101,414,494,13820,3179,24,56,647,13,647,21,21
G1,24.72692641,14.247,-89.875,J2Teo,G1,Zea luxurians,Guatemala,878,7,4,387,132,45,909,7806,1426,23,63,322,10,322,12,12
G3,24.0324499,14.526,-89.662,J2Teo,G3,Zea luxurians,Guatemala,895,2,3,364,129,33,888,7476,1138,23,65,374,5,374,25,25
G6,27.10340746,14.538,-89.89,J2Teo,G6,Zea luxurians,Guatemala,982,1,3,385,127,44,1016,7524,1257,22,64,295,2,295,25,25
G7,27.10340746,14.53,-89.825,J2Teo,G7,Zea luxurians,Guatemala,1037,1,3,385,127,49,1016,7524,1257,22,64,295,2,295,25,25
H1,18.60653333,15.673,-91.792,J2Teo,H1,Zea mays ssp. huehuetenangensis,huehuetenango,1225,3,4,314,109,403,1224,8609,2217,21,59,490,8,490,17,17
H2,22.69984879,15.692,-91.818,J2Teo,H2,Zea mays ssp. huehuetenangensis,huehuetenango,1025,3,3,322,125,403,915,7554,1948,23,63,391,3,391,17,17
JACV_T_018,26.05431377,19.927,-101.717,J2Teo,JACV_T_018,Zea mays ssp. mexicana,Mesa_Central,2012,1,4,343,123,327,1987,7156,800,18,65,316,0,316,30,30
JACV_T_049,22.41117976,19.443,-100.902,J2Teo,JACV_T_049,Zea mays ssp. parviglumis,Balsas,684,3,3,317,134,205,1104,10457,972,22,62,329,13,329,19,25
JACV_T_082,22.97432665,19.146,-101.43,J2Teo,JACV_T_082,Zea mays ssp. parviglumis,Balsas,1219,2,4,308,125,57,1397,14327,1042,21,63,285,5,285,17,17
JLHNM_661,19.05867078,18.417,-99.968,J2Teo,JLHNM_661,Zea mays ssp. parviglumis,Balsas,1746,6,3,290,125,7,1487,9427,1139,22,64,341,10,341,25,25
JLHNM_664,18.68389561,18.5,-99.909,J2Teo,JLHNM_664,Zea mays ssp. parviglumis,Balsas,1524,8,3,294,122,9,1606,11019,1196,21,64,333,6,333,25,17
JLNCM_643,19.7286454,18.253,-99.234,J2Teo,JLNCM_643,Zea mays ssp. parviglumis,Balsas,1183,6,3,287,129,55,1190,10537,1086,24,67,378,8,378,21,21
JLNCM_646,16.18022578,17.76,-98.774,J2Teo,JLNCM_646,Zea mays ssp. parviglumis,Balsas,1580,10,4,251,128,0,1600,24381,1063,22,65,332,10,332,17,17
JLNCM_649,16.94468505,17.454,-99.21,J2Teo,JLNCM_649,Zea mays ssp. parviglumis,Balsas,1020,6,3,331,116,14,1321,11897,1122,23,63,457,10,457,19,19
JLNCM_654,13.83828019,17.287,-99.483,J2Teo,JLNCM_654,Zea mays ssp. parviglumis,Balsas,740,11,4,256,128,112,874,12282,1419,24,55,368,9,368,25,19
JLNCM_657,16.34439387,17.397,-99.437,J2Teo,JLNCM_657,Zea mays ssp. parviglumis,Balsas,1150,6,4,268,127,10,1399,9615,1139,23,61,343,12,343,25,25
JLVTKV_717,15.01998231,22.851,-105.122,J2Teo,JLVTKV_717,Zea diploperennis,diploperennis,1410,11,4,251,124,89,1507,4857,1072,20,60,326,12,326,21,19
JLVTKV_719,15.01998231,22.857,-105.107,J2Teo,JLVTKV_719,Zea diploperennis,diploperennis,1392,11,4,251,124,89,1507,4857,1072,20,60,326,12,326,21,19
JLVTKV_720,15.01998231,22.87,-105.105,J2Teo,JLVTKV_720,Zea diploperennis,diploperennis,1393,11,4,251,124,89,1507,4857,1072,20,60,326,12,326,21,19
JSG_426,23.93541392,20.157,-102.06,J2Teo,JSG_426,Zea mays ssp. mexicana,Mesa_Central,1940,2,3,384,134,2,1866,8509,789,19,63,203,2,203,30,30
