"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
95120600,11.14641934,-6.094722,141.305556,"85312280-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","PG",1,2,330,111,3081,43,15228,4610,27,52,1590,1,1590,1,20
95115334,9.079651385,-6.1,141.3,"85312280-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","PG",1,2,311,110,3081,42,15661,4666,27,51,1926,1,1926,1,20
91959919,15.81690554,27.41667,-80.33333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",6,9,31,110,914,8,23665,1346,23,57,667,0,667,30,30
912728864,17.73058967,16.868611,-89.050556,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862","http://data.rbge.org.uk/herb/E00683979","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum latifolium","","SPECIES","Tripsacum latifolium Hitchc.","Tripsacum latifolium Hitchc.","","BZ",6,2,519,110,260,559,15006,2153,23,64,535,5,535,19,19
912398455,21.21230117,18.96,-100.54,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476367","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum australe","","SPECIES","Tripsacum australe Cutler & E.S.Anderson","Tripsacum australe","","MX",11,3,289,126,148,942,8269,1157,24,66,331,13,331,25,25
912398429,21.21230117,18.96,-100.54,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476368","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum australe","","SPECIES","Tripsacum australe Cutler & E.S.Anderson","Tripsacum australe","","MX",11,3,289,126,148,942,8269,1157,24,66,331,13,331,25,25
912398426,23.13553772,18.92,-100.23,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476358","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum pilosum","","SPECIES","Tripsacum pilosum Scribn. & Merr.","Tripsacum pilosum Scribn. & Merr.","Scribn. & Merr.","MX",8,3,305,121,31,1323,10272,1222,21,63,366,12,366,25,25
912398420,23.13553772,18.92,-100.23,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476362","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides (L.) L.","(L.) L.","MX",8,3,305,121,31,1323,10272,1222,21,63,366,12,366,25,25
912398417,19.38972071,18.91,-100.15,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476366","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum australe","","SPECIES","Tripsacum australe Cutler & E.S.Anderson","Tripsacum australe","","MX",8,4,307,118,26,1478,7239,1184,20,61,373,7,373,25,25
912398414,23.01825222,18.3,-101.26,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476360","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum lanceolatum","","SPECIES","Tripsacum lanceolatum E.Fourn.","Tripsacum lanceolatum Rupr. ex E. Fourn.","Rupr. ex E. Fourn.","MX",9,3,281,131,28,1041,7947,1074,24,64,271,11,271,17,25
912398411,16.80580848,19.04,-100.04,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476363","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides (L.) L.","(L.) L.","MX",6,4,294,111,140,1865,11711,1164,17,60,418,7,418,19,19
912398410,23.13553772,18.92,-100.23,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476359","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum pilosum","","SPECIES","Tripsacum pilosum Scribn. & Merr.","Tripsacum pilosum Scribn. & Merr.","Scribn. & Merr.","MX",8,3,305,121,31,1323,10272,1222,21,63,366,12,366,25,25
912398408,16.80580848,19.04,-100.04,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476364","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides (L.) L.","(L.) L.","MX",6,4,294,111,140,1865,11711,1164,17,60,418,7,418,19,19
912398396,19.38972071,18.91,-100.15,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476365","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum australe","","SPECIES","Tripsacum australe Cutler & E.S.Anderson","Tripsacum australe","","MX",8,4,307,118,26,1478,7239,1184,20,61,373,7,373,25,25
912398342,23.13553772,18.92,-100.23,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476361","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides (L.) L.","(L.) L.","MX",8,3,305,121,31,1323,10272,1222,21,63,366,12,366,25,25
911784795,12.173672,2.5853,-75.452481,"de45bd59-54e6-4f62-9a15-b481af99fc48","IAVH:BICUB:COLOMBIA:PLANTAE:ESPECIMENPRESERVADO:I2D-BIO_2014_IPT013:3612","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum laxum","","SPECIES","Tripsacum laxum Nash","Tripsacum laxum","Nash","CO",1,3,321,122,1307,731,10085,1555,24,56,473,5,473,11,11
911500461,15.63912925,31.098336,-96.46798,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/706265","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",3,5,177,148,928,140,5242,946,19,59,315,1,315,19,19
911498104,16.43172332,30.906903,-95.954187,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/699223","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,294,153,1521,86,5432,1050,20,61,296,1,296,19,19
891755788,21.81552873,20.746061,-103.88667,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://conabio.inaturalist.org/observations/441359","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","MX",2,3,288,133,24,1355,7236,796,21,64,225,1,225,19,19
891625321,21.6950249,23.065278,120.318889,"29d56be4-2b76-4a05-887d-633a3c6a9a83","TAI171220","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","","","GENUS","Tripsacum L.","Tripsacum","","TW",1,2,295,132,1643,11,65535,2249,24,64,247,0,247,1,1
891622560,21.6950249,23.065278,120.318889,"29d56be4-2b76-4a05-887d-633a3c6a9a83","TAI177654","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","","","GENUS","Tripsacum L.","Tripsacum","","TW",1,2,295,132,1643,11,65535,2249,24,64,247,0,247,1,1
891169937,15.23786298,32.435762,-91.98772,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/311640","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,213,141,2770,26,1512,1364,18,55,399,0,399,19,19
790003753,25.47154979,17.533333,-88.683333,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862","http://data.rbge.org.uk/herb/E00571432","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides L.","","BZ",6,2,409,133,286,23,15323,1806,26,60,467,1,467,30,30
789955048,25.47154979,17.533333,-88.683333,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862","http://data.rbge.org.uk/herb/E00571431","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides L.","","BZ",6,2,409,133,286,23,15323,1806,26,60,467,1,467,30,30
768725909,11.81693749,2.71,-72.28,"9b73f44e-bbe1-4fd1-a7a9-c96c38dcf884","SINCHI:COAH:4327","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum australe","","SPECIES","Tripsacum australe Cutler & E.S.Anderson","Tripsacum australe","H.C.Cutler & E.S.Anderson","CO",1,2,212,116,1229,181,11945,2637,28,50,299,1,299,1,1
727753060,10.35082629,34.76333,-90.12463,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c21d423-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,9,314,130,2737,79,6444,1364,16,60,370,1,370,19,19
727753047,18.98449423,30.59875,-96.33417,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c21bf11-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,244,148,953,91,4575,1021,20,59,367,0,367,19,19
727752977,10.35082629,34.76333,-90.12463,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c2137c9-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,9,314,130,2737,79,6444,1364,16,60,370,1,370,19,19
727752969,18.98449423,30.59875,-96.33417,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c212b0f-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,244,148,953,91,4575,1021,20,59,367,0,367,19,19
727752967,18.98449423,30.59875,-96.33417,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c2127e2-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,244,148,953,91,4575,1021,20,59,367,0,367,19,19
727752965,18.98449423,30.59875,-96.33417,"5325ba61-44e7-4d92-ac11-868b3294b3bb","4c2124b5-0e7e-11e3-bd43-2dbe30b5fdd2","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Tripsacum","Tripsacum dactyloides","","SPECIES","Tripsacum dactyloides (L.) L.","Tripsacum dactyloides","","US",1,5,244,148,953,91,4575,1021,20,59,367,0,367,19,19
