"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
92081676,28.65284833,17.05,-96.71667,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",6,4,259,129,487,1566,5010,644,21,71,282,1,282,30,30
92081673,17.32051828,26.23333,-106.95,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,4,238,128,102,2140,3462,990,15,60,313,8,313,19,19
92081671,19.43417783,19.11667,-98.75,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",1,4,212,124,315,2496,5887,941,15,64,304,2,304,25,4
92081670,24.08608036,19.93333,-101.6,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",1,4,353,127,624,2015,6851,766,17,65,248,0,248,30,19
92081669,24.36485871,20.73333,-101.93333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,3,349,132,144,1873,6976,723,19,64,182,3,182,21,21
92081668,32.96183073,20.16,-101.74,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",3,3,378,134,340,1722,8888,744,19,68,194,1,194,30,30
92081666,14.49257679,19.01667,-98.83333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",10,4,220,118,30,2209,14562,931,17,62,455,5,455,19,19
92081665,19.28164735,19.1,-98.88333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",10,4,221,126,10,2513,5527,907,15,63,313,4,313,30,19
92081664,21.21357313,19.18333,-98.88333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",1,14,254,132,6,2345,29977,773,16,66,251,2,251,30,30
92081663,15.01914477,19.21667,-98.8,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",10,4,223,124,155,2559,6162,911,15,64,340,5,340,21,25
