NO.,Databases,Original.reference,Year,LONGITUDE,LATITUDE,MAT,MAP,AI,ELEVATION,VEGETATION,DEPTH,CLAY,SILT,SAND,BDENSITY,PH,CEC,SOC,TN,C_N,TOTAL_P
2705,Hou unpublished,Li 2013,2013,101.33867,37.65717,-0.5,467,0.6972,3320,GRASSLAND,15,,,,0.85,,,40.5,1.13,35.84070796,9630
2706,Hou unpublished,Li 2013,2013,101.33867,37.65717,-0.5,467,0.6972,3320,GRASSLAND,30,,,,1.16,,,47.1,1.28,36.796875,9120
2707,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,5,,,,0.91,,,40,1.09,36.69724771,9020
2708,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,15,,,,0.88,,,40.5,0.92,44.02173913,8510
2709,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,5,,,,0.8,,,66,1.46,45.20547945,8200
2710,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,30,,,,1.12,,,34.8,0.84,41.42857143,7710
2711,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,15,,,,0.94,,,50.3,1.25,40.24,7540
2712,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,5,,,,1.38,,,40.4,0.98,41.2244898,7310
2713,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,15,,,,0.91,,,44.2,0.9,49.11111111,7030
2714,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,30,,,,1.17,,,34.9,0.85,41.05882353,6720
2715,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,30,,,,1.18,,,20.7,0.54,38.33333333,5850
2716,Hou unpublished,Han 2010,2010,118.7275,44.40117,0.7,416,0.5352,1209,Forest,10,80,,180,1.15,5.21,,34.81,4.56,7.63377193,5520
2717,Hou unpublished,Han 2010,2010,118.73733,44.2175,0.5,426,0.5355,1292,Forest,10,75,,285,1.2,5.2,,36.58,5.39,6.786641929,5510
2718,Hou unpublished,Han 2010,2010,118.71767,44.19717,-0.9,461,0.5513,1557,GRASSLAND,50,60,,330,1.22,6.46,,18.69,1.62,11.53703704,5310
2719,Hou unpublished,Han 2010,2010,118.7275,44.40117,0.7,416,0.5352,1209,Forest,30,70,,330,1.19,5.52,,27.65,3.59,7.701949861,5100
2720,Hou unpublished,Han 2010,2010,118.7275,44.40117,0.7,416,0.5352,1209,Forest,50,90,,110,1.25,5.88,,23.43,3.02,7.758278146,4820
1773,Additional search,"Stevens et al., 2020",2020,35.15,2.6,,537,,,SAVAN,10,249,518,233,1,7.8,,68.44547564,0.11,,4800
4588,"Hou et al., 2020","Van Duren et al., 1997",1997,6.6,56.61,7.9,857,0,0,Wetland,5,,,,,5.07,,410.8468677,14.5,,4776
2721,Hou unpublished,Han 2010,2010,118.718,44.20133,-0.9,461,0.5464,1557,Forest,10,60,,400,1.09,6.03,,26.04,3.59,7.253481894,4630
2722,Hou unpublished,Han 2010,2010,118.73733,44.2175,0.5,426,0.5355,1292,Forest,30,75,,265,1.25,5.49,,25.39,3.68,6.899456522,4590
2723,Hou unpublished,Han 2010,2010,118.71767,44.19717,-0.9,461,0.5513,1557,GRASSLAND,30,60,,320,1.25,6.42,,26.09,2.55,10.23137255,4560
2724,Hou unpublished,Han 2010,2010,118.7275,44.40117,0.7,416,0.5352,1209,Forest,70,70,,330,1.36,6.21,,15.1,2.31,6.536796537,4470
2725,Hou unpublished,Han 2010,2010,118.718,44.20133,-0.9,461,0.5464,1557,Forest,30,60,,370,1.3,6.59,,19.74,3.47,5.688760807,4460
1500,He Hedley_P search,"Uygur etal., 2017_CSSPA",2017,35.81092,37.77899,10.84166667,599,0.4,,FOREST,5,180,,,,6.9,,1.4,,,4433
2726,Hou unpublished,Li 2013,2013,91.67673,32.2072,-2.8,365,0.5471,4740,GRASSLAND,5,,,,,,,4.92,0.45,10.93333333,4410
2727,Hou unpublished,Han 2010,2010,118.74917,44.19333,-0.9,461,0.696,1557,Forest,30,50,,230,1.3,5.98,,22.69,3.05,7.439344262,4380
1501,He Hedley_P search,"Uygur etal., 2017_CSSPA",2017,34.79551,38.04347,9.675000085,357,0.2353,,FOREST,5,230,,,,7.7,,0.4,,,4243
2728,Hou unpublished,Han 2010,2010,118.71767,44.19717,-0.9,461,0.5513,1557,GRASSLAND,70,90,,130,1.29,6.73,,19.49,1.32,14.76515152,4140
2729,Hou unpublished,Han 2010,2010,118.73733,44.2175,0.5,426,0.5355,1292,Forest,70,70,,330,1.34,6.19,,20.67,1.94,10.65463918,4130
2730,Hou unpublished,Li 2013,2013,91.67673,32.2072,-2.8,365,0.5471,4740,GRASSLAND,15,,,,,,,5.18,0.25,20.72,4100
2731,Hou unpublished,Han 2010,2010,118.73733,44.2175,0.5,426,0.5355,1292,Forest,50,70,,340,1.26,5.91,,23.85,3.44,6.933139535,4100
1502,He Hedley_P search,"Fu etal., 2020_STR",2020,102.7027778,24.44166667,14.6,925,0.7945,,SHRUBLAND,OTHER,275,590,136,1.16,5.31,,10.19141531,0.6,16.98569219,4086.6
1503,He Hedley_P search,"Fu etal., 2020_STR",2020,102.7027778,24.44166667,14.6,925,0.7945,,SHRUBLAND,OTHER,275,590,136,1.16,5.09,,11.94315545,0.92,12.98169071,3956.9
2732,Hou unpublished,Han 2010,2010,118.71767,44.19717,-0.9,461,0.5513,1557,GRASSLAND,10,50,,410,1.19,5.76,,32.99,3.2,10.309375,3900
21,"Augusto et al., 2017","Agbenin & Goladi, 1998",1998,7.63,11.18,24.9,1072,0.4294,674,SAVAN,7.5,160,,,1.450206825,4.9,,6.9,0.51296754,14,3898
2733,Hou unpublished,Li 2013,2013,94.995,34.813,-2.7,283,0.4579,4277,GRASSLAND,30,,,,1.32,,,5.01,0.23,21.7826087,3850
4852,"Wang et al., 2021","Peng et al., 2005",2005,112.86,29.06,16.8,1350,,,WETLAND,5,,,,,,,20,2.47,,3680
2734,Hou unpublished,Han 2010,2010,118.74917,44.19333,-0.9,461,0.696,1557,Forest,50,80,,250,1.4,6.48,,15.71,2.41,6.518672199,3630
22,"Augusto et al., 2017","Miller et al., 2001",2001,-156.24,20.82,16,850,1.3194,1652,GRASSLAND,15,220,,,0.73,5.7,,2.8,,14,3548
2735,Hou unpublished,Han 2010,2010,118.74917,44.19333,-0.9,461,0.696,1557,Forest,10,45,,300,1.13,5.49,,31.19,3.9,7.997435897,3530
2736,Hou unpublished,Li 2013,2013,94.995,34.813,-2.7,283,0.4579,4277,GRASSLAND,50,,,,1.25,,,4.99,0.16,31.1875,3510
2737,Hou unpublished,Li 2013,2013,91.6787,32.2074,-2.8,365,0.5471,4740,GRASSLAND,15,,,,,,,3.12,0.21,14.85714286,3500
2738,Hou unpublished,Han 2010,2010,118.73833,44.31917,0.9,416,0.5539,1193,GRASSLAND,30,100,,200,1.45,6.65,,4.36,1.21,3.603305785,3480
23,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,5,130,,,1.34,8,,2.6,,14,3470
24,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,13.5,120,,,1.57,4.5,,78.523,2.942881552,26.6823515,3444.21
2739,Hou unpublished,Li 2013,2013,97.97972,35.09373,-3.1,328,0.5354,4277,GRASSLAND,5,,,,1.33,,,13.72,0.33,41.57575758,3440
4853,"Wang et al., 2021","Peng et al., 2005",2005,112.84,29.1,16.8,1350,,,WETLAND,5,,,,,,,17.2,2.08,,3360
2740,Hou unpublished,Li 2013,2013,91.6787,32.2074,-2.8,365,0.5471,4740,GRASSLAND,5,,,,,,,3.45,0.22,15.68181818,3350
4854,"Wang et al., 2021","Peng et al., 2005",2005,112.55,29.91,16.8,1350,,,WETLAND,5,,,,,,,18.2,1.93,,3320
2741,Hou unpublished,Li 2013,2013,91.67673,32.2072,-2.8,365,0.5471,4740,GRASSLAND,50,,,,,,,4.16,0.2,20.8,3310
1774,Additional search,"Propster et al., 2015",2015,35.15,-2.6,,537,,,FOREST,10,125,554,321,,8.26,,13.4,0.17,,3300
2742,Hou unpublished,Li 2013,2013,100.53666,36.21249,3,317,0.3641,2926,GRASSLAND,5,,,,1.5,,,7.71,0.28,27.53571429,3300
25,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,58,120,,,1.57,4.7,,8.959,,,3288.35
2743,Hou unpublished,Luo et al. 2011,2011,106.35458,29.77653,18.1,1088,1.0086,368,SHRUBLAND,7.5,364.3,419.9,215.8,0.86,3.95,,31.93,2.85,11.20350877,3250
2745,Hou unpublished,Li 2013,2013,91.6787,32.2074,-2.8,365,0.5471,4740,GRASSLAND,30,,,,,,,3.35,0.19,17.63157895,3220
2744,Hou unpublished,Li 2013,2013,94.995,34.813,-2.7,283,0.4579,4277,GRASSLAND,5,,,,1.23,,,7.42,0.2,37.1,3220
2746,Hou unpublished,Han 2010,2010,118.74917,44.19333,-0.9,461,0.696,1557,Forest,70,70,,190,,6.5,,6.03,0.97,6.216494845,3220
4855,"Wang et al., 2021","Peng et al., 2005",2005,112.49,28.92,16.8,1350,,,WETLAND,5,,,,,,,23.1,0.92,,3200
2747,Hou unpublished,Li 2013,2013,94.995,34.813,-2.7,283,0.4579,4277,GRASSLAND,15,,,,1.29,,,5.66,0.17,33.29411765,3200
1504,He Hedley_P search,"Hauenstein etal., 2018_PS",2018,10.53333333,50.58333333,5.8,1031,0.9228,809,FOREST,OTHER,230,,,,4,,136,7.5,18.13333333,3199
4856,"Wang et al., 2021","Ralte et al., 2005",2005,90.4,25.36,23,3173,,,FOREST,5,,,,1.2,6,,65.9,4.4,,3150
2748,Hou unpublished,Li 2013,2013,97.99803,35.08512,-3.1,328,0.5342,4277,GRASSLAND,30,,,,1.3,,,6.78,0.23,29.47826087,3150
26,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,28,120,,,1.57,4.8,,6.324,,,3112.17
2749,Hou unpublished,Li 2013,2013,97.99803,35.08512,-3.1,328,0.5342,4277,GRASSLAND,15,,,,1.32,,,6.86,0.29,23.65517241,3100
27,"Augusto et al., 2017","Agbenin & Tiessen, 1994",1994,-38.5,-7.5,25,750,0.5022,478,FOREST,10,130,147,723,1.475207324,5.7,5.5,5.5,0.432690929,12.3375,3090
4857,"Wang et al., 2021","Barbhuiya et al., 2004",2004,95.4833,27.2,22.5,2483,,,FOREST,7.5,,120,583,0.67,4.93,,11.7,6.625,,3075
28,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,5,130,,,1.34,6.9,,2.6,,14,3070
2750,Hou unpublished,Li 2013,2013,95.84,34.128,-3.2,403,0.6132,4431,GRASSLAND,30,,,,1.28,,,16.1,0.45,35.77777778,3020
2751,Hou unpublished,Li 2013,2013,97.97972,35.09373,-3.1,328,0.5354,4277,GRASSLAND,15,,,,1.36,,,8.39,0.28,29.96428571,3010
1505,He Hedley_P search,"Lang etal., 2017_PS",2017,9.929036111,50.35201667,5.8,1031,1.5088,809,FOREST,7,370,560,80,0.21,3.8,371,174.8,11.16,15.66308244,2966
4858,"Wang et al., 2021","Peng et al., 2005",2005,112.72,29.04,16.8,1350,,,WETLAND,5,,,,,,,39.3,4.38,,2960
2752,Hou unpublished,Li 2013,2013,97.99803,35.08512,-3.1,328,0.5342,4277,GRASSLAND,50,,,,1.42,,,5,0.26,19.23076923,2950
29,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,20.5,120,,,1.57,5,,30.566,,,2933.24
30,"Augusto et al., 2017","Miller et al., 2001",2001,-156.24,20.82,16,2200,1.3194,1652,FOREST,15,220,,,1.57,5.7,,2.8,,13.89594,2933
2753,Hou unpublished,Li 2013,2013,100.53866,36.21016,3,317,0.3643,2926,GRASSLAND,50,,,,1.35,,,4.8,0.28,17.14285714,2920
2754,Hou unpublished,Li 2013,2013,95.84,34.128,-3.2,403,0.6132,4431,GRASSLAND,15,,,,1.25,,,20.4,0.48,42.5,2910
4589,"Hou et al., 2020","Campo & V¨¢zquez-Yanes, 2004",2004,-89.28333,21.1,25.8,760,0.5629,10,Forest,3.75,,,,0.5,7.4,,187.3549884,17.4,,2900
5932,"Yan et al., 2018",Campo et al. 2014,2014,-89.28,21.1,25.8,760,,,FOREST,10,,,,,,,,,,2900
4590,"Hou et al., 2020","Van Duren et al., 1997",1997,6.6,56.61,7.9,857,0,0,Wetland,5,,,,,4.37,,143.6774942,6.6,,2868
5927,"Yan et al., 2018","Austin and Vitousek, 1998",1998,-155.8,19.7,20,500,,,FOREST,10,,,,,,,,,,2850
4859,"Wang et al., 2021","Ralte et al., 2005",2005,90.4,25.36,23,3173,,,FOREST,15,,,,1.5,5.8,,30.7,3.4,,2850
2755,Hou unpublished,Li 2013,2013,100.53866,36.21016,3,317,0.3643,2926,GRASSLAND,70,,,,,,,4.52,0.2,22.6,2830
2756,Hou unpublished,Li 2013,2013,97.99803,35.08512,-3.1,328,0.5342,4277,GRASSLAND,5,,,,1.3,,,10.01,0.29,34.51724138,2820
4860,"Wang et al., 2021","Peng et al., 2005",2005,112.71,29.1,16.8,1350,,,WETLAND,5,,,,,,,61.1,4.52,,2810
2757,Hou unpublished,"Kutiel and Inbar, 1993",1993,35.0778,32.6414,19.5,611,0.4686,241,Forest,2.5,,,,,7.56,,,4.82,,2783
5928,"Yan et al., 2018","Austin and Vitousek, 1998",1998,-155.8,19.6,20,900,,,FOREST,10,,,,,,,,,,2770
2758,Hou unpublished,Han 2010,2010,118.718,44.20133,-0.9,461,0.5464,1557,Forest,50,60,,290,1.31,6.61,,12.61,2.8,4.503571429,2760
5929,"Yan et al., 2018","Austin and Vitousek, 1998",1998,-155.8,19.3,20,2000,,,FOREST,10,,,,,,,,,,2750
31,"Augusto et al., 2017","Miller et al., 2001",2001,-156.24,20.82,17,1500,1.3194,1652,GRASSLAND,15,220,,,1.34,5.7,,2.8,,14,2750
4861,"Wang et al., 2021","Chen et al., 2004",2004,174.7122,-39.33,12,1780,,,FOREST,3.75,,,,,5.4,,67.8,7.003,,2744
1506,He Hedley_P search,"Uygur etal., 2017_CSSPA",2017,30.97726,37.78544,10.76666675,575,0.3837,,FOREST,5,200,,,,6.2,,0.8,,,2689
2759,Hou unpublished,Didham et al. 2015,2015,175.6,-37.81667,12.8,1747,1.9653,286,Forest,5,,,,0.7,5.3,,106.32,11.55,9.205194805,2676.98
2760,Hou unpublished,Li 2013,2013,97.97972,35.09373,-3.1,328,0.5354,4277,GRASSLAND,30,,,,1.33,,,4.82,0.1,48.2,2670
4862,"Wang et al., 2021","Barbhuiya et al., 2004",2004,95.4833,27.2,22.5,2483,,,FOREST,22.5,,297,583,0.67,5.04,,13.025,4.5,,2650
2762,Hou unpublished,Li 2013,2013,95.84,34.128,-3.2,403,0.6132,4431,GRASSLAND,50,,,,1.3,,,4.25,0.11,38.63636364,2620
2761,Hou unpublished,Li 2013,2013,100.53866,36.21016,3,317,0.3643,2926,GRASSLAND,5,,,,1.36,,,5.92,0.23,25.73913043,2620
5940,"Yan et al., 2018",Chen et al. 2012,2012,115.8,28.65,17.5,1700,,,FOREST,10,,,,,,,,,,2550
1507,He Hedley_P search,"Negassa etal., 2020_SS",2020,12.6289,54.1316,8.2,568,0.816,2.25,WETLAND,5,220,,,,4.9,,373,34,10.97058824,2543
1296,"Deiss et al., 2018",McDowell et al. 2007,2007,170.546147,-45.772854,8,1000,,98,FOREST,23,190,270,540,,6,,58.9,5.9,,2530
2763,Hou unpublished,Li 2013,2013,100.53666,36.21249,3,317,0.3641,2926,GRASSLAND,15,,,,1.25,,,5.95,0.28,21.25,2520
2764,Hou unpublished,Rakic et al. 2009,2009,22.04717,43.29896,10.7,613,0.5898,377,,0,57,60,883,,7.7,,229.16,13,17.62769231,2470
33,"Augusto et al., 2017","Svetlova & Gradusov, 1985",1985,56.57,57.38,1.7,604,0.7706,191,FOREST,9,190,,,1.57,6.4,,139.2334,6.340933971,21.9578694,2374.82
2765,Hou unpublished,Didham et al. 2015,2015,175.6,-37.81667,12.8,1747,1.9653,286,Forest,5,,,,0.66,4.85,,89.79,9.56,9.392259414,2354.76
2766,Hou unpublished,Li 2013,2013,95.84,34.127,-3.2,403,0.613,4431,GRASSLAND,15,,,,1.36,,,12.4,0.3,41.33333333,2350
34,"Augusto et al., 2017","Agbenin & Tiessen, 1994",1994,-38.5,-7.5,25,750,0.5022,478,SHRUBLAND,4,142,136,722,1.504372689,6.4,4.5,3.9,0.340946232,17,2340
2767,Hou unpublished,He et al. 2009,2009,108.05,25.15,19.8,1399,1.1317,388,Forest,2.5,,,,,7.26,,77.29,15.24,5.07152231,2325
35,"Augusto et al., 2017","Svetlova & Gradusov, 1985",1985,51.36,56.96,3,582,0.6813,116,FOREST,8,160,,,1.57,6,,110.67,5.058939872,21.8761248,2321.27
2769,Hou unpublished,Li 2013,2013,95.84,34.127,-3.2,403,0.613,4431,GRASSLAND,30,,,,1.3,,,7.85,0.2,39.25,2320
2768,Hou unpublished,Li 2013,2013,100.53866,36.21016,3,317,0.3643,2926,GRASSLAND,30,,,,1.84,,,4.43,0.15,29.53333333,2320
36,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,2.5,130,,,1.34,7.6,,53.9648,3.854628571,14,2294
37,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,20,130,,,1.34,6.8,,34.4131,,,2270
1297,"Deiss et al., 2018",McDowell et al. 2007,2007,170.467669,-45.134091,6,1000,,930,FOREST,4,180,230,590,,4.8,,128.6,8.5,,2260
38,"Augusto et al., 2017","Miller et al., 2001",2001,-156.24,20.82,16,3350,1.3194,1652,FOREST,15,220,,,0.73,5.7,,2.8,,13.89594,2251
2770,Hou unpublished,Didham et al. 2015,2015,175.6,-37.81667,12.8,1747,1.9653,286,Forest,5,,,,0.62,5.18,,92.56,9.95,9.302512563,2225.05
2771,Hou unpublished,Li 2013,2013,97.97972,35.09373,-3.1,328,0.5354,4277,GRASSLAND,50,,,,1.56,,,4.4,0.08,55,2210
4863,"Wang et al., 2021","Yang et al., 2011",2011,102.8,37.27,,,,,GRASSLAND,5,,,,,5.7,,118.16,8.2,,2200
4864,"Wang et al., 2021","Yang et al., 2007",2007,102.8,37.2833,0.8,424.5,,,GRASSLAND,5,,,,0.52,5.65,,,8.18,,2170
2319,"Hou et al., 2018",Redel et al. 2015,2015,-72.09167,-39.56667,11,4550,2.3405,1100,GRASSLAND,9,200,,,,5.3,,120,,,2157
40,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,20,130,,,1.34,7.1,,37.8386,,,2130
2772,Hou unpublished,Li 2013,2013,100.53866,36.21016,3,317,0.3643,2926,GRASSLAND,15,,,,1.39,,,4.31,0.26,16.57692308,2120
2773,Hou unpublished,Li 2013,2013,100.53666,36.21249,3,317,0.3641,2926,GRASSLAND,30,,,,1.42,,,3.42,0.2,17.1,2120
4865,"Wang et al., 2021","Huang et al., 2016",2016,127.5333,45.3833,2.8,723,,,FOREST,5,,,,,5.53,,86.88,7.16,,2120
5930,"Yan et al., 2018","Austin and Vitousek, 1998",1998,-155.8,19.1,20,1500,,,FOREST,10,,,,,,,,,,2100
1508,He Hedley_P search,"Negassa etal., 2020_SS",2020,12.4853,54.1271,8.1,571,0.8359,10,WETLAND,10,120,,,,5.1,,340,28,12.14285714,2072
2774,Hou unpublished,Li 2013,2013,95.84,34.127,-3.2,403,0.613,4431,GRASSLAND,50,,,,1.23,,,4.51,0.12,37.58333333,2040
2320,"Hou et al., 2018",Redel et al. 2015,2015,-72.09167,-39.56667,11,4550,2.3405,1100,FOREST,9,200,,,,4.7,,120,,,2028
41,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,78,120,,,1.57,4.8,,6.324,,,2025.56
2775,Hou unpublished,Li 2013,2013,95.84,34.127,-3.2,403,0.613,4431,GRASSLAND,5,,,,1.38,,,9.03,0.21,43,2020
2776,Hou unpublished,Han 2010,2010,118.718,44.20133,-0.9,461,0.5464,1557,Forest,70,60,,290,1.32,6.76,,10.61,2.53,4.193675889,2020
42,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,3,130,,,1.34,8.6,,20.553,1.468071429,14,2002
43,"Augusto et al., 2017","Redel et al., 2008",2008,-72.03,-39.5,11,4550,2.0738,805,FOREST,10,150,,,0.433358848,4.7,,120,7.461990486,16.0815,2000
1775,Additional search,"Stevens et al., 2020",2020,34.51666667,2.3,,891,,,SAVAN,10,225,587,188,1,6.3,,68.44547564,0.15,,2000
4866,"Wang et al., 2021","Yang et al., 2011",2011,102.8,37.27,,,,,GRASSLAND,5,,,,,6.4,,90.14,5.8,,2000
4867,"Wang et al., 2021","Yang et al., 2007",2007,102.8,37.3,0.8,424.5,,,GRASSLAND,5,,,,0.83,6.38,,,5.75,,2000
44,"Augusto et al., 2017","Ruckamp et al., 2010",2010,-48.167,-10.267,24,1800,1.0923,394,SHRUBLAND,5,280,,,1.34,5.1,,0.8,,17,1997
45,"Augusto et al., 2017","Schlichting et al., 2002",2002,12.6,52,8.7,500,0.7036,106.5,GRASSLAND,47.5,60,,,0.198385535,7.666666667,,262,16.4,15.97560976,1996
46,"Augusto et al., 2017","Schlichting et al., 2002",2002,11.35,52.8,8.4,570,0.6353,60,GRASSLAND,30,80,,,0.290031165,6.142857143,,174,8.4,20.71428571,1992
1298,"Deiss et al., 2018",McDowell et al. 2007,2007,174.282644,-35.74366,14.5,1300,,94,FOREST,13,320,270,410,,5.9,,71.6,5.2,,1990
4869,"Wang et al., 2021","Qin et al., 2010",2010,119.76,30.36,15.8,1420,,,FOREST,10,,,,,4.16,,18.56,3.38,,1990
4870,"Wang et al., 2021","Qin et al., 2010",2010,119.46,30.3,15.8,1420,,,FOREST,10,,,,,4.14,,25.99,4.19,,1960
4871,"Wang et al., 2021","Huang et al., 2016",2016,127.5333,45.3833,2.8,723,,,FOREST,5,,,,,5.39,,91.63,7.64,,1960
47,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,12.5,130,,,1.34,8.1,,13.8074,0.986242857,14,1960
1,"Adams et al., 2020","Adams et al., 2020",2020,-1.95,51.13,9.5,865,,,GRASSLAND,7.5,117,700,183,0.67,7.51,,63.4,,,1960
48,"Augusto et al., 2017","Wang et al., 2012",2012,128.433,42.033,-2,850,0.8858,1280,WETLAND,7.5,200,,,0.165116279,5.8,,400,23.05349289,14.6,1951
49,"Augusto et al., 2017","Kruse & Leinweber, 2008",2008,12.733,54.083,8,685,0.8169,11,WETLAND,15,150,,,0.170159511,6,,355,31,11.4516129,1944
4872,"Wang et al., 2021","Huang et al., 2016",2016,127.5333,45.3833,2.8,723,,,FOREST,5,,,,,5.73,,89.76,7.48,,1940
1509,He Hedley_P search,"Gu etal., 2020_EST",2020,-111.4238889,35.39388889,12,328,0.1743,1905,FOREST,7.5,151,,,,7.4,,9.83,,,1937
2777,Hou unpublished,Naylor et al. 1996,1996,-2.64167,51.49333,9.7,853,1.2682,49,GRASSLAND,10,,,,,,,114.27,,,1930
4599,"Hou et al., 2020","Stroia et al., 2011",2011,43,0,12.7,1200,0.3017,660,GRASSLAND,2.5,250,500,250,,6,,55.6,5,,1920
2778,Hou unpublished,Stroia et al. 2007,2007,0,43,7.8,1042,1.5295,1108,GRASSLAND,2.5,251,509,250,,5.9,,55.2,5.5,10.03636364,1920
50,"Augusto et al., 2017","Yevseyev, 1982",1982,168.61,69.8,-14,140,0.4997,35,TUNDRA,1.5,210,,,1.34,6.1,,38.4183,2.40114375,16,1917.43
2779,Hou unpublished,"Silberbush et al., 1979",1979,35.1429,31.80122,17.3,534,0.3936,747,,0,,,,,,,,,,1899
1299,"Deiss et al., 2018",McDowell et al. 2007,2007,170.889704,-45.141022,10.5,500,,43,FOREST,18,250,220,530,,6,,60.8,5.6,,1880
1776,Additional search,"Zhou et al., 2019",2019,-136.9522,66.5199,,,,,TUNDRA,5,,,,,5.38,,32.94,1.15,,1872.28
51,"Augusto et al., 2017","Elpat'evskii, 1988",1988,132,43.2,5,750,0.7461,285,FOREST,2.5,90,,,0.437140671,6.71,,119,7.205832486,16.5144,1870
2780,Hou unpublished,Didham et al. 2015,2015,175.6,-37.81667,12.8,1747,1.9653,286,Forest,5,,,,0.66,5.07,,108.01,12.13,8.904369332,1855.3
4873,"Wang et al., 2021","Yang et al., 2007",2007,102.8,37.2833,0.8,424.5,,,GRASSLAND,15,,,,0.65,5.58,,,6.6,,1850
2781,Hou unpublished,Stroia et al. 2007,2007,0,43,7.8,1042,1.5295,1108,GRASSLAND,7.5,243,493,264,,5.8,,47.5,5,9.5,1840
4874,"Wang et al., 2021","Yang et al., 2007",2007,102.7833,37.1833,0.8,424.5,,,GRASSLAND,15,,,,0.87,7.39,,,7.38,,1820
4875,"Wang et al., 2021","Huang et al., 2016",2016,127.5333,45.3833,2.8,723,,,FOREST,15,,,,,5.57,,45.33,4.11,,1820
2782,Hou unpublished,Li 2013,2013,95.84,34.128,-3.2,403,0.6132,4431,GRASSLAND,5,,,,1.27,,,4.25,0.4,10.625,1810
52,"Augusto et al., 2017","Makarov et al., 2001",2001,41.657,43.39,0.1,924,1.7861,2300,GRASSLAND,5,130,,,0.620619532,4.7,,82,7.4,11.08108108,1808
2783,Hou unpublished,Li 2013,2013,100.53666,36.21249,3,317,0.3641,2926,GRASSLAND,70,,,,1.6,,,1.01,0.11,9.181818182,1800
53,"Augusto et al., 2017","Khan & Joergensen, 2012",2012,9.837,51.446,8.6,670,0.9615,246,FOREST,15,150,770,80,0.783778909,3.9,,59.9,4.24822695,14.1,1799
2321,"Hou et al., 2018",Zhou et al. 2016,2016,101.964,29.5454,-0.88,2557,1.383,3838,GRASSLAND,26.85,160,,,1.14,5.9,,3.6,,,1797.8
54,"Augusto et al., 2017","Finzi, 2009",2009,-73.33,41.94,7.3,1246,1.1848,300,FOREST,15,182.8171828,351.6483517,465.5344655,1.03,5.83,,30.09,2.5533,11.78474915,1785.5
4876,"Wang et al., 2021","Qin et al., 2010",2010,119.46,30.3,15.8,1420,,,FOREST,10,,,,,4.67,,13.45,2.41,,1780
55,"Augusto et al., 2017","Ubugunov et al., 1998",1998,104.13,50.78,-4.2,877,1.069,1693,GRASSLAND,55,130,,,1.34,7.1,,10.8035,,,1780
56,"Augusto et al., 2017","Khan & Joergensen, 2012",2012,9.837,51.446,8.6,670,0.9615,246,GRASSLAND,15,190,610,200,0.828978913,4.9,,54.8,4.566666667,12,1779
4877,"Wang et al., 2021","Barbhuiya et al., 2004",2004,95.4833,27.2,22.5,2483,,,FOREST,7.5,,105.1,669.5,0.83,4.9,,10.55,4.225,,1775
4878,"Wang et al., 2021","Joergensen et al., 1995",1995,9.93,51.53,7,900,,,FOREST,5,,,,,4.5,,68.1,5.29998,,1773
5931,"Yan et al., 2018","Austin and Vitousek, 1998",1998,-155.15,19.4,20,5500,,,FOREST,10,,,,,,,,,,1760
