NO.,Databases,Original.reference,Year,LONGITUDE,LATITUDE,MAT,MAP,AI,ELEVATION,VEGETATION,DEPTH,CLAY,SILT,SAND,BDENSITY,PH,CEC,SOC,TN,C_N,TOTAL_P
3292,Hou unpublished,Luo 2014,2014,117.56667,27.33333,18.7,1814,1.4861,249,Forest,15,,,,,4.18,,10.19,0.66,15.43939394,617.83
1896,Additional search,"Memon et al., 2011",2011,68.39527778,25.40888889,,,,,,87,,,,,8.1,,3.480278422,,,617.1749848
1607,He Hedley_P search,"M¨¹ller etal., 2017_G",2017,86.36666667,27.9,1.783333346,677,0.6676,,SHRUBLAND,OTHER,140,,,,7.1,,259.77,11.73,22.14578005,617
2421,"Hou et al., 2018",Muller et al. 2017,2017,86.36667,27.9,3.1,1116.5,0.6676,4000,FOREST,OTHER,140,,,,3.25,,259.8,11.7,,617
2422,"Hou et al., 2018",Feng et al. 2016,2016,100.465,41.1257,8.86,46.88,0.0259,1045,GRASSLAND,5,37.7,90,864.22,,8.4633,,2.17977196,0.24688381,,616.7
3293,Hou unpublished,Yan 2012,2012,117.77612,27.84703,11.1,2233,2.8265,1773,GRASSLAND,10,,,,,,,,,,616.65
5181,"Wang et al., 2021","Chen et al., 2016",2016,96.4,32.2,4.547,494.7465515,,,GRASSLAND,5,,,,,7.78,,16.82168666,1.966739597,,616.099309
1897,Additional search,"Br¨¦doire et al., 2016",2016,79.14,53.59,2.9,324.5,,,FOREST,15,,,,,,,,,,615.6
1608,He Hedley_P search,"Brucker et al.,2019_C",2019,-71.0635,-32.9559,14.9,436,0.231,730,SHRUBLAND,2.5,190,,,,6.6,,1.4,,,615.53
485,"Augusto et al., 2017","Litaor et al., 2004",2004,35.1,33,20.1,636,0.3239,70,WETLAND,OTHER,55,738,208,,9,,3.3,,,615.5
1383,"Deng et al., 2017","Chirino et al., 2010",2010,172.705,-43.665,11.6,900,,,FOREST,5,,,,1.058579531,5.3,,,,,615
1898,Additional search,"Jamil et al., 2016",2016,68.78141667,24.89844444,,,,,,5,350,600,50,,8,,3.109048724,,,615
1609,He Hedley_P search,"Wang etal., 2020_STOEN",2020,108.3232,30.799825,18.2,1053,1.1489,145,GRASSLAND,10,240,,,,7.4,,47.2,,,614.35
5183,"Wang et al., 2021","Xue et al., 2007b",2007,109.25,36.78,8.8,505.3,,,FOREST,10,,,,1.04,8.74,,5.94,0.731,,614
5182,"Wang et al., 2021","Joergensen et al., 1995",1995,9.93,51.53,7,900,,,FOREST,5,,,,,8.2,,63.99996,5.10006,,614
486,"Augusto et al., 2017","Nikonov, 1981",1981,34.67,67.64,-0.7,490,0.9494,190,FOREST,25,70,,,0.16,4.25,,501.3878,,,614
5184,"Wang et al., 2021","Li et al., 2012",2012,108.7166,24.7333,19.9,1389,,,FOREST,10,,,,,,,26.0376,2.5774,,613.8
5185,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,13.5132,1.624,,613.8
3294,Hou unpublished,Yan 2012,2012,117.78427,27.8611,11.1,2233,3.0126,1773,GRASSLAND,50,,,,,,,,,,613.55
3295,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,7.23,,16.91,0.54,31.31481481,613.19
5186,"Wang et al., 2021","Xue et al., 2007b",2007,109.25,36.78,8.8,505.3,,,FOREST,10,,,,0.72,8.47,,20.8,1.894,,613
5187,"Wang et al., 2021","Chen et al., 2016",2016,92.90115,31.83356481,0.351,507.9820557,,,GRASSLAND,5,,,,,7.846666667,,48.81229688,5.283333331,,612.680425
487,"Augusto et al., 2017","Gazizullin & Sabirov, 1991",1991,50.35,56.23,3,465,0.6964,175,FOREST,9.5,140,,,1.57,5.4,15.32,12.8588,0.712836862,18.03891,612.62
5188,"Wang et al., 2021","Liu et al., 2020",2020,119.9699583,49.33001944,-0.44073871,375.935136,,,GRASSLAND,5,18.85075,298.65932,682.48992,0.975833333,7.7,,33.41475019,,,612.546125
2423,"Hou et al., 2018","Roberts et al., 1985",1985,-105.85,49.935,3.53,372,0.3216,325,GRASSLAND,20,440,390,170,,6.6,,10.8,1.3,,612
1899,Additional search,"Br¨¦doire et al., 2016",2016,85.75,54.39,2.3,432.3,,,GRASSLAND,60,,,,,,,,,,611.3
2424,"Hou et al., 2018",Jien et al. 2016,2016,121.596,24.5133,10,3200,3.5177,1870,FOREST,5,380,525,95,,3.87,,108,,,611.1
1357,"Deiss et al., 2018",Turner et al. 2014,2014,169.08263,-43.827296,11.3,1958.5,,15,FOREST,17,,,,,3.8,,508.8,14.4,,611
489,"Augusto et al., 2017","Satti et al., 2007",2007,-71.6,-40.5,7.766666667,1633.333333,1.1315,840,FOREST,7.5,100,250,650,0.667060944,6.1,,75,3.3,22.72727273,611
2425,"Hou et al., 2018",Feng et al. 2016,2016,120.36,49.1754,-1.26,390.63,0.4009,633,GRASSLAND,5,85.8,272,713.761,1.38257,6.34404,,29.17701828,2.166325,,610.84
5189,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,7.5972,1.0066,,610.7
3297,Hou unpublished,Zhong 2015,2015,110.2887,18.671,25.2,1694,1.2498,51,Forest,15,,,,,3.89,,18.38,0.91,20.1978022,610
5192,"Wang et al., 2021","Sun et al., 2015",2015,108.1208,21.716,21.9,2900,,,FOREST,25,,,,,,,9.77,0.82,,610
3308,Hou unpublished,Wang 2014,2014,110.5025,30.50681,12.1,1323,1.7692,1220,Forest,2.5,,,,,,,36,2.18,16.51376147,610
3301,Hou unpublished,Bo 2005,2005,109.46667,36.6,9.9,538,0.4841,1043,Forest,10,,,,,,,9.74,0.76,12.81578947,610
5191,"Wang et al., 2021","Xue et al., 2007a",2007,109.25,36.78,8.8,505.3,,,FOREST,10,,,,1.08,8.74,,5.94,0.731,,610
5936,"Yan et al., 2018","Castle and Neff, 2009",2009,-107.7,37.8,0.4,770,,,FOREST,10,,,,,,,,,,610
3299,Hou unpublished,Vaughn and Jones 1980,1980,-123.42728,38.72945,12.1,1080,1.1235,146,GRASSLAND,7.5,260,280,460,,5.7,,44.66,,,610
3306,Hou unpublished,Bai 2006,2006,115.91667,40.28333,7,497,0.4976,940,Forest,2.5,,,,,6.9,,31.4,2.43,12.9218107,610
3307,Hou unpublished,Bai 2006,2006,115.91667,40.28333,7,497,0.4976,940,Forest,2.5,,,,,6.78,,38.87,2.66,14.61278195,610
3302,Hou unpublished,Ren 2012,2012,117.3,41.94167,3.8,442,0.5071,1064,Forest,10,,,,0.99,6.18,,40.28,3.1,12.99354839,610
490,"Augusto et al., 2017","Boldeskul, 2002",2002,131.983,43.15,5.3,750,0.7921,285,FOREST,7.5,170,,,1.013948845,5.2,,37,1.750347675,21.1386575,610
3303,Hou unpublished,Yang 2013,2013,130.5,43.35,2.1,656,0.8877,685,Forest,10,,,,1.36,5.43,,25.46,1.69,15.06508876,610
3304,Hou unpublished,Yang 2013,2013,130.5,43.35,2.1,656,0.8877,685,Forest,10,,,,1.26,5.11,,25.12,1.93,13.01554404,610
3305,Hou unpublished,Naylor et al. 1996,1996,0.44667,51.05667,9.8,710,1.0372,100,GRASSLAND,10,,,,,,,38.86,,,610
3298,Hou unpublished,"Brookes et al., 1982",1982,-0.35,51.8,9.7,668,0.9607,120,GRASSLAND,5,,,,,6.7,,48.1,4.53,10.61810155,610
5190,"Wang et al., 2021","Joergensen et al., 1995",1995,10.5,52.25,7,900,,,FOREST,5,,,,,8.1,,65.1,4.59998,,610
3309,Hou unpublished,Tan 2011,2011,107.01667,34.30833,11.6,711,0.7097,1047,Forest,30,,,,,5.02,,29.4,2.29,12.83842795,609.89
5193,"Wang et al., 2021","Chen et al., 2016",2016,100.219425,35.99870278,4.08,368.7745361,,,GRASSLAND,5,,,,,8.54,,16.5495812,2.200306358,,608.260817
1610,He Hedley_P search,"Soltangheisi etal., 2019_STR ",2019,-53.5,-2,27.3,183,1.223,,FOREST,5,79,64,858,1.49,3.7,18.7,11.6,1,11.6,607.8
3310,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,6.69,,26.1,0.53,49.24528302,607.69
3311,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,6.81,,28.01,0.87,32.1954023,607.69
5194,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,9.0012,1.1536,,607.6
492,"Augusto et al., 2017","Weiss et al., 2005",2005,-116.05,36.417,16.3,138,0.0569,3495,GRASSLAND,5,27.5,415,557.5,1.34,7.65,,30.5133,1.574,19.38583227,607.5
5195,"Wang et al., 2021","Chen et al., 2016",2016,98.59132222,36.43687778,3.032,296.3083191,,,GRASSLAND,5,,,,,9.44,,5.908112604,0.65858081,,607.321055
493,"Augusto et al., 2017","Schoneau et al., 1989",1989,-106.95,50.5,3.2,325,0.331,715,GRASSLAND,80,272,406,322,1.34,8.6,,1,,,605
2426,"Hou et al., 2018","Vincent et al., 2014",2014,18.82,68.35,0.05,310,0.5948,700,SHRUBLAND,OTHER,90,,,,4.6,,498.8,17.2,,605
5196,"Wang et al., 2021","Chen et al., 2016",2016,100.4601417,37.22229444,0.786,356.6583252,,,GRASSLAND,5,,,,,8.75,,29.64532194,3.347952962,,604.040983
494,"Augusto et al., 2017","Alt et al., 2011",2011,9.8,48.2,8.2,839,0.9794,531,,,200,,,1.34,7.666666667,,1.2,,13.1,604
5197,"Wang et al., 2021","Chen et al., 2016",2016,92.90159444,31.83356481,0.351,507.9820557,,,GRASSLAND,5,,,,,7.053333333,,46.8061736,4.81666667,,603.385464
3313,Hou unpublished,Garcia et al. 2002,2002,-3.53953,40.82752,13,436,0.4205,713,,7.5,,,,,7.89,,15.1,0.16,94.375,603
3314,Hou unpublished,Garcia et al. 2002,2002,-3.61545,40.86559,11.4,488,0.5005,992,,7.5,,,,,5.56,,14.2,0.09,157.7777778,603
3315,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,6.87,,27.14,0.45,60.31111111,602.2
2427,"Hou et al., 2018",Feng et al. 2016,2016,102.353,41.9503,7.74,40.18,0.0232,1122,GRASSLAND,5,33.5,102.5,893.578,,8.65596,,1.37967374,0.12686618,,601.67
3316,Hou unpublished,Zhang et al. 2011,2011,108.45833,33.45,8.4,948,1.2892,1762,Forest,10,,,,,5.83,,19.29,2.24,8.611607143,601.27
3317,Hou unpublished,Sharpley and Smith 1983,1983,-90.5,33.5,17.4,1385,1.0282,34,Forest,82.5,,,,,,,,,,601
1611,He Hedley_P search,"Brucker et al.,2019_C",2019,-70.5493,-26.1102,18.1,10,0.0061,330,SHRUBLAND,2.5,140,,,,7.7,,0,,,600.81
4684,"Hou et al., 2020","Fisher et al., 2013",2013,-71.5327,-12.9475,20.7,3087,1.6678,1000,Forest,0,,,,,3.8,,,3.4,,600
6101,"Yan et al., 2018",McGrath et al. 2000,2000,-67,-10,26,2000,,,FOREST,10,,,,,,,,,,600
1900,Additional search,"Koutika et al., 2016",2016,12.03083333,-4.744722222,25,1200,,100,FOREST,10,60,40,900,,,,7.9,0.07,,600
4685,"Hou et al., 2020","Wright et al., 2011",2011,-79.84361,9.10861,26,2600,1.7309,8,Forest,15,,,,,5.2,,44.6066,4.2,,600
3324,Hou unpublished,Zhu 2009,2009,118.05833,24.825,20.9,1320,1.1496,139,Forest,30,,,,1.31,,,11.32,0.93,12.17204301,600
3323,Hou unpublished,Yan 2012,2012,117.77612,27.84703,11.1,2233,2.8265,1773,GRASSLAND,30,,,,,,,,,,600
3320,Hou unpublished,Sharpley and Smith 1983,1983,-97.5,31,19,845,0.5779,195,GRASSLAND,7.5,,,,,,,,,,600
3319,Hou unpublished,Pang et al. 2011,2011,100.73333,32.35,0.6,688,0.8504,4039,Forest,30,93.5,522.6,384,1.03,5.9,,38,2.8,13.57142857,600
3326,Hou unpublished,Sharpley and Smith 1983,1983,-90.5,33.5,17.4,1385,1.0282,34,Forest,67.5,,,,,,,,,,600
3321,Hou unpublished,Wang et al. 2007,2007,100.36618,34.4138,-1,523,0.7616,3847,SHRUBLAND,15,,,,,,,24.94,1.8,13.85555556,600
3322,Hou unpublished,Wang et al. 2007,2007,100.36417,34.42245,-2.2,530,0.7823,4068,SHRUBLAND,15,,,,,,,35.96,2,17.98,600
5205,"Wang et al., 2021","Xue et al., 2007a",2007,109.25,36.78,8.8,505.3,,,FOREST,10,,,,1.06,8.73,,6.83,0.806,,600
5204,"Wang et al., 2021","Deng et al., 2019",2019,109.3516,36.86,8.8,535,,,FOREST,5,,,,1.05,,,8.26,0.87,,600
1457,"Deng et al., 2017","Wang et al., 2003",2003,109.3166667,36.88333333,8.8,562,,,FOREST,20,,,,1.550576956,,,,,,600
3325,Hou unpublished,Yue 2007,2007,108,37.45,6.9,370,0.3805,1644,Forest,50,,,,,8.29,,4.79,0.24,19.95833333,600
3318,Hou unpublished,Bai 2006,2006,115.91667,40.28333,7,497,0.4976,940,Forest,15,,,,,6.46,,24.73,1.72,14.37790698,600
4679,"Hou et al., 2020","Chang et al., 2014",2014,116.35,40.36667,10.69,564,0.5215,248,GRASSLAND,9,,,,,7.8,,13,0.72,,600
496,"Augusto et al., 2017","Elpat'evskii, 1988",1988,132,43.2,5,750,0.7461,285,FOREST,2.5,90,,,0.774437072,6.16,,61,3.693746064,16.5144,600
3327,Hou unpublished,"Bowman and Cole, 1978",1978,-101.90598,43.96693,8.5,422,0.3784,750,GRASSLAND,0,,,,,6.5,,24,,,600
5198,"Wang et al., 2021","Tan et al., 2008",2008,-120.4666,55.9666,1.6,482,,,FOREST,5,,,,,6.1,,15,0.9,,600
5199,"Wang et al., 2021","Tan et al., 2008",2008,-120.4666,55.9666,1.6,482,,,FOREST,5,,,,,6.1,,14,0.9,,600
497,"Augusto et al., 2017","Nikonov, 1979",1979,34.67,67.64,-0.7,490,0.9494,190,FOREST,65,70,,,1.57,4.75,0.81,6.4,,,600
5988,"Yan et al., 2018","Hobbie and Gough, 2002",2002,-149.72,68.63,-11.2,224,,,FOREST,10,,,,,,,,,,600
2428,"Hou et al., 2018","Schlesinger et al., 1998",1998,105.423,-6.102,27,2750,1.6381,155,FOREST,1.5,,,,,,,,,,599.2
1358,"Deiss et al., 2018",Turner et al. 2014,2014,169.081271,-43.822659,11.3,1958.5,,12,FOREST,25,,,,,3.9,,477.7,15.2,,599
2429,"Hou et al., 2018","Giardi et al., 2000",2000,-105.08026,19.51684,26.4,750,0.5006,42,FOREST,1,100,250,650,0.75,6.5,,49.84,5.047,9.87517337,599
5206,"Wang et al., 2021","Liu et al., 2020",2020,120.0636361,49.39552778,-0.623408792,268.7618746,,,GRASSLAND,5,18.2888,300.70613,681.00509,1.033666667,7.74,,19.64638786,,,598.579041
5207,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,10.41,1.3006,,598.3
3328,Hou unpublished,Sardans and Penuelas 2007,2007,0.91667,41.21667,12.9,642,0.7,651,Forest,7.5,,,,,,,,,,598
498,"Augusto et al., 2017","Litaor et al., 2004",2004,35.1,33,20.1,636,0.3239,70,WETLAND,OTHER,34,671,294,,9,,3.8,,,597.3
499,"Augusto et al., 2017","Nikonov, 1979",1979,34.67,67.64,-0.7,490,0.9494,190,FOREST,39.5,70,,,1.5,5,0.61,3.8,0.2,19,597
500,"Augusto et al., 2017","Gazizullin & Sabirov, 1991",1991,54.6,57.2,2.2,590,0.6932,178,FOREST,23,50,50,900,1.57,5,12.84,13.4385,,,596.91
3329,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,7.36,,22.81,0.46,49.58695652,596.7
501,"Augusto et al., 2017","Tolchel'nikov & Gurov, 1985",1985,30.15,61.03,3.8,632,0.8351,5,FOREST,59,120,,,1.57,4.9,,8.432,,,596.22
5208,"Wang et al., 2021","Chen et al., 2004",2004,172.108,-43.22,12.2,3570,,,FOREST,3.75,,,,,5.4,,130.4,7.303,,596
5209,"Wang et al., 2021","Li et al., 2012",2012,108.7166,24.7333,19.9,1389,,,FOREST,10,,,,,,,28.7172,2.6726,,595.2
3330,Hou unpublished,"Logathan and Sutton, 1987",1987,6.66046,5.05811,26.7,2510,1.5987,13,,59.5,340,40,620,,4.7,,8.3,,,595
503,"Augusto et al., 2017","Schoneau et al., 1989",1989,-107.5,52.8,1,425,0.4835,596,FOREST,77.5,274,266,460,1.57,7.9,,1.6,,,595
1612,He Hedley_P search,"M¨¹ller etal., 2017_G",2017,86.36666667,27.9,1.783333346,677,0.6676,,GRASSLAND,OTHER,140,,,,7.1,,175.97,7.87,22.35959339,594.64
2430,"Hou et al., 2018",Muller et al. 2017,2017,86.36667,27.9,2.8,1181,0.6676,4100,TUNDRA,OTHER,140,,,,3.25,,176,7.9,,594.6
5210,"Wang et al., 2021","Chen et al., 2016",2016,101.6212,35.75453333,6.624,419.4135742,,,GRASSLAND,5,,,,,8.5,,21.98699573,2.656720578,,594.017098
5211,"Wang et al., 2021","Xue et al., 2007b",2007,109.25,36.78,8.8,505.3,,,FOREST,10,,,,0.9,8.43,,10.18,1.041,,594
504,"Augusto et al., 2017","Wang et al., 2012",2012,128.433,42.033,-2,850,0.8858,1280,WETLAND,2.5,200,,,0.164358819,5.8,,410,23.62689725,14.6,594
506,"Augusto et al., 2017","Nikonov, 1979",1979,34.67,67.64,-0.7,490,0.9494,190,FOREST,43.5,70,,,2.35,4.95,0.97,5.6,0.3,19,594
5212,"Wang et al., 2021","Maithani et al., 1996",1996,91.9333,25.5666,14.5,2500,,,FOREST,5,,,,,4.9,,62,,,593.8
507,"Augusto et al., 2017","Krivonosova & Basevich, 1980",1980,31.28,47.55,9.3,475,0.4177,43,GRASSLAND,10,300,,,1.139450035,7.8,,27,1.928571429,14,593.8
1901,Additional search,"Br¨¦doire et al., 2016",2016,83.47,53.41,2.7,431.5,,,GRASSLAND,60,,,,,,,,,,593.8
1903,Additional search,"Br¨¦doire et al., 2016",2016,85.75,54.39,2.3,432.3,,,GRASSLAND,100,,,,,,,,,,593.8
5213,"Wang et al., 2021","Li et al., 2010",2010,92.8958333,34.72666667,,,,,GRASSLAND,2.5,,,,,,,82.0715,5.6542,,593.798
508,"Augusto et al., 2017","Brandtberg et al., 2010",2010,171.58,-43.25,8,1447,1.0255,914,FOREST,5,150,650,200,1.57,5.7,,61.1,3,16.52025,593.5
509,"Augusto et al., 2017","Carreira et al., 1997",1997,3.95,36.83,18,475,0.6566,350,SHRUBLAND,15,100,250,650,1.03769277,7.7,17.93,35,2.058823529,17,593.1
5214,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,13.3644,1.6814,,592.1
5215,"Wang et al., 2021","Li et al., 2012",2012,111.5166,29.25,16.8,1380,,,FOREST,10,,,,,,,11.85,1.3706,,592.1
2431,"Hou et al., 2018","Guo et al., 2012",2012,109.77667,19.76667,23.98,973,1.0743,108,FOREST,10,639.9,,,,4.39,,15.8,,,592
5216,"Wang et al., 2021","Chen et al., 2016",2016,99.38666667,35.42566111,1.53,352.3583374,,,GRASSLAND,5,,,,,9.03,,23.04962399,2.705024181,,591.912132
3331,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,7.25,,19.51,0.41,47.58536585,591.21
3332,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,7.05,,15.86,0.57,27.8245614,591.21
3333,Hou unpublished,Ding 2010,2010,114,36.55833,11.7,609,0.5219,564,Forest,0,,,,,7.05,,18.99,0.49,38.75510204,591.21
3334,Hou unpublished,Zhang et al. 2011,2011,108.45833,33.45,8.4,948,1.2892,1762,Forest,50,,,,,6.01,,5.21,1,5.21,591.08
511,"Augusto et al., 2017","Sharpley et al., 1985",1985,-66.282,18.242,22.9,1803,1.2085,414,GRASSLAND,15,758,182,60,1.002318635,5.1,16.2,38,3.2,11.875,591
1440,"Deng et al., 2017","Qiu et al., 2010",2010,107.617,35.7,9.3,556,,,FOREST,80,,,,1.07,8.19,,,,,591
2432,"Hou et al., 2018","Roberts et al., 1985",1985,-105.85,49.935,3.53,372,0.3216,325,GRASSLAND,28,420,200,380,,8,,7.3,0.9,,591
5217,"Wang et al., 2021","Liu et al., 2020",2020,119.7987667,49.51506667,-1.286296048,370.6849614,,,GRASSLAND,5,17.86987,357.64011,624.48999,1.00362127,7.86,,20.62925501,,,590.740741
2433,"Hou et al., 2018",Wardle et al. 2015,2015,-76.65,18.08333,15.5,2448,1.6951,1563,FOREST,OTHER,300,,,0.08,5.1,,510,16.2,,590
3340,Hou unpublished,Qin 2014,2014,105.6,29.4,18.1,1076,1.0033,337,Forest,10,,,,,5.6,,10.14,0.96,10.5625,590
5218,"Wang et al., 2021","Ren et al., 2011",2011,100.1438889,36.01222222,,,,,GRASSLAND,7.5,,,,,7.57,,91.99,1.5,,590
