"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
-98.68,18.33,247,19.75806,405.6452,359.5161,10,24.5,839,6.916129,8885.158,4,1051,12,3,4,"Leptosols"
-98.68,18.33,312,19.75806,405.6452,359.5161,10,24.5,839,6.916129,8885.158,4,1051,12,3,4,"Leptosols"
-65.8297,18.3204,202,47,271.6129,430,10,22.5,3660,5.7,10492.84,19,401,12,12,11,"Acrisols"
-65.8159,18.3183,307,36,233.7097,540,10,22.5,3870,5,10492.84,27,466,12,12,11,"Ferralsols"
-65.7412,18.3156,210,28,326.3934,400,10,22.5,3540,5.3,10492.84,17,366,12,12,11,"Ferralsols"
-65.826,18.31,193,52,282.1311,520,10,22.5,3790,5.2,10492.84,13,519,12,12,11,"Acrisols"
-65.8183,18.3099,163,69,262.459,500,10,22.5,3920,4.9,10492.84,15,616,12,12,11,"Ferralsols"
-65.7703,18.3042,237,57,392.0635,310,10,22.5,3660,5.3,10492.84,15,427,12,12,11,"Ferralsols"
-65.8,18.3,292,23.2,388.8333,270,5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,149,42.2,388.8333,270,5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,146,7.2,388.8333,270,5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,208,10,388.8333,270,22.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,100,18,388.8333,270,5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,123,13.3,388.8333,270,22.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,83.1,12.7,388.8333,270,22.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,72.9,8.2,388.8333,270,47.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,212,4.8,388.8333,270,47.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,111,0.7,388.8333,270,47.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,105,4.2,388.8333,270,47.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,162,2.8,388.8333,270,5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,119,1.9,388.8333,270,22.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,165,1.3,388.8333,270,22.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.8,18.3,181,0.7,388.8333,270,47.5,24,2467,5.3,10492.84,13,777,12,12,11,"Ferralsols"
-65.7858,18.2961,93,54,406.1905,290,10,22.5,4110,5.4,10492.84,10,735,12,12,11,"Ferralsols"
-65.7977,18.2927,210,135,423.9344,300,10,22.5,4110,5.2,10492.84,5,759,12,12,11,"Ferralsols"
-65.7956,18.2921,94,44,426.2903,270,10,22.5,4120,5.3,10492.84,6,766,12,12,11,"Ferralsols"
-65.7963,18.2919,196,140,424.5312,300,10,22.5,4100,5.2,10492.84,5,759,12,12,11,"Ferralsols"
-65.7949,18.2905,140,41,426.8852,280,10,22.5,4130,5.3,10492.84,6,775,12,12,11,"Ferralsols"
-65.79,18.29,148,60,427.4603,280,10,22.5,4000,5.4,10492.84,18,669,12,12,11,"Ferralsols"
-65.796,18.2894,275,166,423.9344,320,10,22.5,4150,5.3,10492.84,4,767,12,12,11,"Ferralsols"
-65.7907,18.2884,148,51,423.9344,290,10,22.5,3990,5.3,10492.84,16,652,12,12,11,"Ferralsols"
-65.7906,18.281,153,38,400.6154,320,10,22.5,4040,5.1,10492.84,13,693,12,12,11,"Ferralsols"
-65.8485,18.2773,213,62,345.0794,350,10,22.5,4130,4.9,10492.84,17,797,12,12,11,"Acrisols"
-65.7877,18.2747,196,48,393.6066,290,10,22.5,4010,5.2,10492.84,15,701,12,12,11,"Ferralsols"
-65.8525,18.2743,236,62,371.1667,370,10,22.5,4020,5,10492.84,19,684,12,12,11,"Ferralsols"
-65.7883,18.2724,157,56,392.2951,300,10,22.5,4020,5,10492.84,14,697,12,12,11,"Ferralsols"
-65.7872,18.2721,223,52,393.3871,310,10,22.5,3990,5.2,10492.84,13,674,12,12,11,"Ferralsols"
-65.786,18.2719,196,48,394.7541,310,10,22.5,4010,5,10492.84,14,656,12,12,11,"Ferralsols"
-65.7858,18.2714,154,26,394.1935,310,10,22.5,3980,5,10492.84,14,656,12,12,11,"Ferralsols"
-65.7856,18.271,175,43,393.3871,310,10,22.5,4000,5,10492.84,14,656,12,12,11,"Ferralsols"
-65.7944,18.2706,82,27,392.5397,350,10,22.5,3810,5.4,10492.84,12,534,12,12,11,"Ferralsols"
-65.7959,18.2679,149,27,391.2903,330,10,22.5,3850,5.2,10492.84,11,555,12,12,11,"Ferralsols"
-65.8397,18.2656,209,70,401.6393,320,10,22.5,4070,5.4,10492.84,24,727,12,12,11,"Ferralsols"
-65.803,18.2636,153,26,388.6667,310,10,22.5,3880,5.3,10492.84,14,629,12,12,11,"Ferralsols"
-65.7935,18.2631,217,17,380.9836,330,10,22.5,3540,5.4,10492.84,25,404,12,12,11,"Ferralsols"
-66.282,18.242,591,38,60,758,15,22.9,1803,5.1,11148.22,5,600,12,2,8,"Ferralsols"
-88.52444,18.16611,219,185.3,360.4918,453.4426,5,25.03,1589,7.4,12278.92,0,2,12,1,6,"Vertisols"
-88.52444,18.16611,202,43,360.4918,453.4426,5,25.03,1589,7.4,12278.92,0,2,12,1,6,"Vertisols"
-76.65,18.08333,590,510,397.1667,300,10.01,15.5,2448,5.1,14458.62,29,1630,12,5,11,"Cambisols"
-76.65,18.08333,840,130,397.1667,300,10.01,15.5,2448,5.1,14458.62,29,1630,12,5,11,"Cambisols"
0,16.3,110,4.5,815,117,5,30.00833,172.5,6.88,12.89525,0,255,9,8,7,"Arenosols"
-17.17,14.78,21,9.180328,678.6885,183.9344,60,25,550,7.2,4587.265,1,41,12,3,12,"Vertisols"
-17.17,14.78,18.5,9.180328,678.6885,183.9344,60,25,550,7.2,4587.265,1,41,12,3,12,"Vertisols"
-17.17,14.78,15.6,9.180328,678.6885,183.9344,60,25,550,7.4,4587.265,1,41,12,3,12,"Vertisols"
-17.17,14.78,14.1,9.180328,678.6885,183.9344,60,25,550,6.7,4587.265,1,41,12,3,12,"Vertisols"
