Latitude,Longitude,OlsenP,SOC,MAP,MAT,SAND,CLAY,PH,BEDROCK,SOIL.TYPE,DEPTH,NPP,SLOPE,ELEVATION,BIOMES,Errosion
-39.56667,-72.09167,12.994,41.71500206,2194.716064,9.511454582,468.0239868,226.7694855,5.15389967,13,4,65,65535,10.55342211,599.3910522,6,0
-39.56667,-72.09167,4.99,41.71500206,2194.716064,9.511454582,468.0239868,226.7694855,5.15389967,13,4,65,65535,10.55342211,599.3910522,6,0
-39.5,-72.03,9.7895,41.71500206,2194.716064,9.511454582,468.0239868,226.7694855,5.15389967,13,4,65,65535,10.55342211,599.3910522,6,1.100000024
-34.342361,-57.809028,43.28,25.20978212,1122.429077,17.11232185,388.0230103,255.9122467,6.341917038,8,6,65,65535,0.681462154,61.38302231,6,3.200000048
-34.342362,-57.809029,43.28,25.20978212,1122.429077,17.11232185,388.0230103,255.9122467,6.341917038,8,6,65,65535,0.681462154,61.38302231,6,3.200000048
-33.790528,-58.051583,45.387,25.49787283,1032.713135,17.44279861,395.068512,251.0994415,6.277318001,1,9,65,65535,0.37296592,28.30919647,6,1.5
-33.790527,-58.051582,45.73,25.49787283,1032.713135,17.44279861,395.068512,251.0994415,6.277318001,1,9,65,65535,0.37296592,28.30919647,6,1.5
-33.790527,-58.051582,45.387,25.49787283,1032.713135,17.44279861,395.068512,251.0994415,6.277318001,1,9,65,65535,0.37296592,28.30919647,6,1.5
-33.192583,-57.652389,12.1895,27.14900017,1175.033569,17.61839104,369.4665833,264.9486694,6.274997234,1,9,65,65535,0.509629945,63.70836639,6,3.200000048
-33.192585,-57.652389,11.92,27.14900017,1175.033569,17.61839104,369.4665833,264.9486694,6.274997234,1,9,65,65535,0.509629945,63.70836639,6,3.200000048
-33.192585,-57.652389,12.1895,27.14900017,1175.033569,17.61839104,369.4665833,264.9486694,6.274997234,1,9,65,65535,0.509629945,63.70836639,6,3.200000048
-32.384472,-58.044722,25.15,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,3.200000048
-32.38325,-58.045333,15.203,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,3.200000048
-32.384472,-58.044724,25.15,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,3.200000048
-32.384472,-58.044724,25.15,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,3.200000048
-32.383251,-58.045334,15.203,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,3.200000048
-31.845361,-57.621111,12.4835,16.47800088,1299.054199,18.47942162,375.4464722,278.5956116,6.153376579,3,9,65,5924,0.631216055,63.22999954,6,1.5
-31.845362,-57.621113,12.4835,16.47800088,1299.054199,18.47942162,375.4464722,278.5956116,6.153376579,3,9,65,5924,0.631216055,63.22999954,6,1.5
-31.400833,-57.634861,24.1455,28.28400135,1357.150024,18.91330338,403.1576843,272.8327637,6.175320148,2,12,65,65535,0.49894888,57.23046112,6,1.399999976
-31.257083,-57.144333,10.94,37.78800249,1375.91748,18.79642868,376.3323364,305.8470764,6.065842628,2,12,65,6222,0.546229381,107.0908203,6,1.399999976
-31.257084,-57.144333,8,37.78800249,1375.91748,18.79642868,376.3323364,305.8470764,6.065842628,2,12,65,6222,0.546229381,107.0908203,6,1.399999976
-31.257084,-57.144333,10.94,37.78800249,1375.91748,18.79642868,376.3323364,305.8470764,6.065842628,2,12,65,6222,0.546229381,107.0908203,6,1.399999976
-34.641806,-55.908472,24.8707,20.10476351,1121.660767,16.42085457,400.454071,254.3059692,6.212427616,1,6,65,65535,0.644526488,43.020401,6,1
-34.641804,-55.908474,21.23,20.10476351,1121.660767,16.42085457,400.454071,254.3059692,6.212427616,1,6,65,65535,0.644526488,43.020401,6,1
-34.641804,-55.908474,20.25,20.10476351,1121.660767,16.42085457,400.454071,254.3059692,6.212427616,1,6,65,65535,0.644526488,43.020401,6,1
-33.664417,-56.861831,11.724,33.89199972,1258.974976,16.96743393,386.6116943,278.1500854,6.263848305,8,6,65,7038,0.707321668,115.3325729,6,1
-33.664417,-56.861832,11.43,33.89199972,1258.974976,16.96743393,386.6116943,278.1500854,6.263848305,8,6,65,7038,0.707321668,115.3325729,6,1
-33.664417,-56.861832,11.724,33.89199972,1258.974976,16.96743393,386.6116943,278.1500854,6.263848305,8,6,65,7038,0.707321668,115.3325729,6,1
-33.256667,-54.493194,25.297,24.66400146,1314.568359,16.99357033,406.813324,246.0429077,5.954896927,9,9,65,65535,0.550158697,59.65642929,6,3.200000048
-33.256668,-54.493195,23.68,24.66400146,1314.568359,16.99357033,406.813324,246.0429077,5.954896927,9,9,65,65535,0.550158697,59.65642929,6,3.200000048
-33.256668,-54.493195,25.297,24.66400146,1314.568359,16.99357033,406.813324,246.0429077,5.954896927,9,9,65,65535,0.550158697,59.65642929,6,3.200000048
-33.237862,-53.932415,51.61,18.51800084,1257.051392,17.16002846,385.7122498,246.8478394,6.459320545,1,10,65,65535,0.052003141,13.35937023,6,3.200000048
-33.237862,-53.932415,46.4895,18.51800084,1257.051392,17.16002846,385.7122498,246.8478394,6.459320545,1,10,65,65535,0.052003141,13.35937023,6,3.200000048
-33.045528,-55.576111,24.121,36.36700153,1238.831665,16.98034096,405.9707642,275.7941589,6.155451775,3,6,65,7299,0.492824053,133.082016,6,1.200000048
-33.045528,-55.576111,21.72,36.36700153,1238.831665,16.98034096,405.9707642,275.7941589,6.155451775,3,6,65,7299,0.492824053,133.082016,6,1.200000048
-33.045528,-55.576111,24.121,36.36700153,1238.831665,16.98034096,405.9707642,275.7941589,6.155451775,3,6,65,7299,0.492824053,133.082016,6,1.200000048
