"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
1119.3,18.31667,68.41667,"Europe",8,12,96,72,1019,961,1614,804,-3,55,1967,12,1967,7,7
873.4,18.31667,68.41667,"Europe",8,12,96,72,1019,961,1614,804,-3,55,1967,12,1967,7,7
1322.5,18.31667,68.41667,"Europe",8,12,96,72,1019,961,1614,804,-3,55,1967,12,1967,7,7
1200,18.31666667,68.41666667,"Europe",8,12,96,72,1019,961,1614,804,-3,55,1967,12,1967,7,7
1168.2,18.2,68.35,"Europe",9,12,79,78,704,1035,342,797,-3,56,1801,5,1801,7,7
921.6,18.2,68.35,"Europe",9,12,79,78,704,1035,342,797,-3,56,1801,5,1801,7,7
1193.9,18.2,68.35,"Europe",9,12,79,78,704,1035,342,797,-3,56,1801,5,1801,7,7
1000,18.5,68.35,"Europe",8,12,73,74,846,897,571,675,-3,56,1783,6,1783,9,9
960,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
1238,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
1127,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
762,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
1117,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
1151,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
581,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
581,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
605,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
678,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
626,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
668,18.82,68.35,"Europe",5,12,94,62,1660,779,2266,514,-2,55,2168,6,2168,NA,NA
1109.8,18.81173333,68.34412778,"Europe",5,12,80,67,1660,750,3178,527,-2,55,1860,7,1860,NA,NA
