"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
793.6,18.81173333,68.34412778,"Europe",5,12,80,67,1660,750,3178,527,-2,55,1860,7,1860,NA,NA
1112.9,18.81173333,68.34412778,"Europe",5,12,80,67,1660,750,3178,527,-2,55,1860,7,1860,NA,NA
1200,19.08333333,68.28333333,"Europe",5,12,74,59,1046,873,2007,550,-2,53,1981,6,1981,7,NA
1505.24,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
1388.2,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
1470.05,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
256.46,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
1450.57,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
323.91,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
1137.86,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
1440.83,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
446.15,-133.5836,68.0644,"North America",5,7,314,60,2951,30,2548,253,-8,55,1050,0,1050,15,9
56.5,33.61488889,67.66355556,"Europe",12,7,112,71,954,563,1740,622,-3,54,1793,11,1793,24,24
551,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
587,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
742,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
688,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
536,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
614,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
464,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
520,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
1285,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
525,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
660,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
1310,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
770,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
988,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
129,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
171,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
759,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
671,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
653,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
673,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
731,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
696,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
300,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
597,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
622,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
634,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
667,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
820,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
848,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
779,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
933,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
951,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
130,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
380,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
934,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
729,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
687,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
644,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
600,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
558,34.67,67.64,"Europe",9,7,79,62,2379,247,2001,514,-2,51,2100,4,2100,24,24
1286.64,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1448.14,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
794.79,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1872.28,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1112.01,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1059.27,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
778.43,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1438,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
904.13,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
259.76,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
1280.08,-136.9522,66.5199,"North America",3,12,259,58,2256,383,2514,317,-7,53,1184,1,1184,9,9
240,-136.7166,66.3666,"North America",5,12,246,70,1527,589,2319,324,-7,51,1224,3,1224,7,7
220,-136.7166,66.3666,"North America",5,12,246,70,1527,589,2319,324,-7,51,1224,3,1224,7,7
90,-136.7166,66.3666,"North America",5,12,246,70,1527,589,2319,324,-7,51,1224,3,1224,7,7
551.97,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
1366,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
857.61,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
248.2,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
813.9,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
183.49,-137.4433,66.163,"North America",3,12,257,66,1879,475,2932,333,-8,53,1151,2,1151,7,7
916.6666667,17.81666667,66.03333333,"Europe",9,7,85,NA,1874,426,1785,558,0,47,2063,0,NA,24,24
1077.95,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
892.62,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
1201.71,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
448.3,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
847.02,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
306.28,-137.6238,66.0272,"North America",3,12,241,63,2359,460,3326,330,-8,53,1084,2,1084,7,7
547.58106,-14.733,65.083,"Europe",2,7,107,65,1140,359,1946,1017,2,56,1724,4,1724,24,24
550,100.18,64.28,"Europe",2,7,195,65,2198,282,1631,379,-9,54,1758,4,1758,9,NA
285,100.18,64.28,"Europe",2,7,195,65,2198,282,1631,379,-9,54,1758,4,1758,9,NA
273,100.18,64.28,"Europe",2,7,195,65,2198,282,1631,379,-9,54,1758,4,1758,9,NA
664,20.30777778,64.07611111,"Europe",8,7,106,61,1298,140,5315,655,2,45,2174,1,2174,24,24
660,20.30777778,64.07611111,"Europe",8,7,106,61,1298,140,5315,655,2,45,2174,1,2174,24,24
654,20.33638889,64.05472222,"Europe",8,7,106,61,1383,140,5315,655,2,45,2174,1,2174,24,24
650,20.33638889,64.05472222,"Europe",8,7,106,61,1383,140,5315,655,2,45,2174,1,2174,24,24
790,20.60666667,63.99694444,"Europe",8,7,97,60,1320,79,5454,647,3,44,2396,1,2396,24,24
650,20.34,63.90194444,"Europe",8,7,129,65,1298,71,5489,641,3,44,2259,1,2259,24,24
732,20.48111111,63.79638889,"Europe",44,7,117,66,1248,24,3443,619,3,44,2225,1,2225,24,24
730,20.48111111,63.79638889,"Europe",44,7,117,66,1248,24,3443,619,3,44,2225,1,2225,24,24
639,20.4925,63.79527778,"Europe",44,7,117,66,1248,24,3443,619,3,44,2225,1,2225,24,24
570,20.4925,63.79527778,"Europe",44,7,117,66,1248,24,3443,619,3,44,2225,1,2225,24,24
640,20.4925,63.79527778,"Europe",44,7,117,66,1248,24,3443,619,3,44,2225,1,2225,24,24
937,19.96416667,63.66805556,"Europe",8,44,140,63,1244,10,5534,647,4,44,2260,0,2260,24,24
940,19.96416667,63.66805556,"Europe",8,44,140,63,1244,10,5534,647,4,44,2260,0,2260,24,24
878.41,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
2933.24,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
715.77,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
3288.35,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
596.22,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
3444.21,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
279.29,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
318.04,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
539.04,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
3112.17,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
2025.56,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
222.54,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
401.8,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
317.71,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
220.96,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
1656.92,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
219.63,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
536.83,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
264.89,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
176.95,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
263.82,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
176.95,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
88.03,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
308.41,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
219.85,30.15,61.03,"Europe",8,7,177,66,1671,7,4670,607,4,51,1994,0,1994,24,24
901.9,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
31.79,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
327.5,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
219.9,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
477.1,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
226.6,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
204.6,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
246.5,30.8963,59.8848,"Europe",3,7,177,57,1688,28,4058,645,4,54,2034,0,2034,24,24
891.9,30.98333333,59.86666667,"Europe",3,7,182,59,1572,25,4032,646,4,56,1767,0,1767,24,24
720.5,30.98333333,59.86666667,"Europe",3,7,182,59,1572,25,4032,646,4,56,1767,0,1767,24,24
31.79,30.98333333,59.86666667,"Europe",3,7,182,59,1572,25,4032,646,4,56,1767,0,1767,24,24
327.5,30.98333333,59.86666667,"Europe",3,7,182,59,1572,25,4032,646,4,56,1767,0,1767,24,24
1219.46,56.57,57.38,"Europe",5,5,257,75,2945,205,4500,565,1,56,802,1,802,2,2
455.87,56.57,57.38,"Europe",5,5,257,75,2945,205,4500,565,1,56,802,1,802,2,2
394.24,56.57,57.38,"Europe",5,5,257,75,2945,205,4500,565,1,56,802,1,802,2,2
2374.82,56.57,57.38,"Europe",5,5,257,75,2945,205,4500,565,1,56,802,1,802,2,2
596.91,54.6,57.2,"Europe",1,5,228,84,2800,156,5160,542,3,57,822,2,822,2,2
467.26,54.6,57.2,"Europe",1,5,228,84,2800,156,5160,542,3,57,822,2,822,2,2
459.03,54.6,57.2,"Europe",1,5,228,84,2800,156,5160,542,3,57,822,2,822,2,2
533.66,54.6,57.2,"Europe",1,5,228,84,2800,156,5160,542,3,57,822,2,822,2,2
549.84,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
397.83,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
843.95,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
893.09,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
248.08,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
2321.27,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
861.08,51.36,56.96,"Europe",5,5,224,76,2478,95,5106,567,3,56,861,1,861,2,2
139.5,8.33,56.54,"Europe",1,5,206,100,1524,30,31187,811,8,57,840,1,840,NA,7
759.7,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
676.8,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
558.9,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
528.3,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
489,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
694.2,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
624.4,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
537,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
493.4,85.43,56.3,"Europe",5,9,253,89,2007,224,4897,551,0,55,628,1,628,21,2
105.4,8.31,56.28,"Europe",1,5,158,98,2109,4,6727,823,9,57,910,0,910,24,NA
612.62,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
946.6,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
199.2,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
124.75,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
836.51,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
265.41,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
386.1,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
217.66,50.35,56.23,"Europe",1,5,218,89,2720,174,4096,564,3,57,995,1,995,2,2
114,9.47,56.08,"Europe",1,5,84,85,1333,93,6020,767,7,55,994,1,994,24,24
98,9.47,56.08,"Europe",1,5,84,85,1333,93,6020,767,7,55,994,1,994,24,24
34,9.47,56.08,"Europe",1,5,84,85,1333,93,6020,767,7,55,994,1,994,24,24
500.73,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
836.51,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
771.55,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
364.79,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
800.06,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
192.18,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
260.51,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
390.91,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
419.41,50.59,56.07,"Europe",1,5,211,82,2614,187,4276,576,3,59,1329,0,1329,2,2
600,-120.4666,55.9666,"North America",3,7,257,102,2731,725,5967,476,2,60,356,1,356,19,19
600,-120.4666,55.9666,"North America",3,7,257,102,2731,725,5967,476,2,60,356,1,356,19,19
432,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
458,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
830,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
405,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
431,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
392,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
518,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
425,37.536,55.709,"Europe",5,5,NA,NA,2418,161,65535,674,5,53,NA,1,NA,2,2
879.1,84.006,55.558,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
708.8,84.006,55.558,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
700,84.006,55.558,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
851.4,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
676.8,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
663.7,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
659.3,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
628.7,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
956.2,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
938.7,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
899.4,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
694.2,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
689.9,84,55.55,"Europe",5,9,289,94,2626,170,4195,472,1,62,913,1,913,21,21
1269.21,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
1476.64,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
1137.47,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
825.11,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
808.73,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
1124.3,50.72,55.51,"Europe",5,5,266,91,2448,143,4801,581,3,59,871,1,871,2,2
731.01,56.667,55.5,"Europe",5,5,284,95,2045,305,4945,575,2,56,589,3,589,2,7
343.56,56.667,55.5,"Europe",5,5,284,95,2045,305,4945,575,2,56,589,3,589,2,7
385.75,56.667,55.5,"Europe",5,5,284,95,2045,305,4945,575,2,56,589,3,589,2,7
979.39,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
963.33,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
731.13,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
731.82,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
821.31,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
730.44,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
730.97,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
1004.14,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
1091.55,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
1456.31,103.6,54.8,"Europe",6,7,174,69,1095,705,4173,421,-3,60,814,5,814,7,2
266.61,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
398.5,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
401.1,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
359.95,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
410.4,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
268.91,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
264.19,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
219.87,24.05,54.53,"Europe",6,5,126,96,1640,85,5602,616,7,58,911,1,911,2,2
646.75,54.5,54.5,"Europe",5,5,315,98,2483,201,3091,463,3,68,886,1,886,21,21
516.99,54.5,54.5,"Europe",5,5,315,98,2483,201,3091,463,3,68,886,1,886,21,21
1095.9,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
908.2,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
416.1,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
323.5,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
319.2,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
921.3,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
873.2,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
611.3,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
593.8,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
563.2,85.75,54.39,"Europe",3,9,270,97,3172,313,4655,510,1,60,626,1,626,21,21
450,-4.51667,54.34667,"Europe",6,62,180,92,1099,8,11061,822,9,62,1146,0,1146,NA,NA
530,-4.515,54.32833,"Europe",8,5,185,88,1099,204,9805,1104,8,56,1161,6,1161,NA,7
1039.2,85.17,54.18,"Europe",6,6,204,100,1677,345,5469,513,1,55,466,2,466,2,2
864.5,85.17,54.18,"Europe",6,6,204,100,1677,345,5469,513,1,55,466,2,466,2,2
768.5,85.17,54.18,"Europe",6,6,204,100,1677,345,5469,513,1,55,466,2,466,2,2
646.2,85.17,54.18,"Europe",6,6,204,100,1677,345,5469,513,1,55,466,2,466,2,2
