"p_avg","LONGITUDE","LATITUDE","CACO3","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
5.55,-138.996948,64.053055,180,1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
4.08,-138.996948,64.053055,180,1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
41.2955,-138.996948,64.053055,180,1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
4.08,-138.996944,64.053056,180,1,7,124,77,1891,539,3787,327,-5,58,1358,1,1358,7,7
3.1,-138.278061,64.066948,180,5,7,135,65,1191,871,3042,381,-5,58,1354,11,1354,7,7
0.4,-124.358536,40.468941,917,3,6,281,116,1909,268,13297,1759,11,52,1212,12,1212,NA,NA
1.12,-124.320999,40.541115,0,3,6,274,116,2135,123,11261,1572,11,53,923,9,923,NA,NA
19.8,-124.293121,40.376026,917,3,6,294,113,1285,248,13154,1880,11,54,980,12,980,3,NA
4.815,-124.280556,48.02,25,3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
14.6395,-124.280556,48.020001,25,3,6,230,90,2228,210,8445,2982,9,48,1292,5,1292,24,24
16.9,-124.276596,40.586159,0,3,6,274,116,2135,123,11261,1572,11,53,923,9,923,7,NA
5.699999809,-124.264565,40.602348,0,3,6,253,115,2135,123,15624,1460,12,55,662,7,662,7,7
4.025,-124.264565,40.602348,0,3,6,253,115,2135,123,15624,1460,12,55,662,7,662,7,7
0.17,-124.264458,40.569717,0,3,6,253,115,2135,123,15624,1460,12,55,662,7,662,7,7
32.6,-124.25267,40.578827,0,3,6,253,115,2135,123,15624,1460,12,55,662,7,662,7,7
22.6,-124.190987,40.262852,917,3,6,244,109,1570,235,12484,1915,12,53,2021,11,2021,16,3
0.4,-124.18441,40.447895,917,3,6,273,106,1233,363,12264,1751,11,53,1638,13,1638,3,16
3.05,-124.175797,40.543964,0,1,6,259,111,2302,92,11407,1343,12,56,1477,3,1477,7,7
0.16,-124.149101,40.453705,917,3,6,292,112,1737,288,11504,1639,11,55,1305,11,1305,3,3
3.02325,-124.147222,40.706472,0,1,6,235,122,1983,72,11278,1160,12,56,1120,6,1120,7,7
0.19,-124.130348,40.468498,917,3,6,292,112,1737,288,11504,1639,11,55,1305,11,1305,3,3
0.4,-124.130005,40.424557,917,3,6,292,112,1249,288,11504,1639,11,55,1305,11,1305,3,3
3.982,-124.120556,48.08,25,3,6,184,84,2571,334,9033,2771,8,49,1171,9,1171,24,7
3.0845,-124.120552,48.080002,25,3,6,184,84,2571,334,9033,2771,8,49,1171,9,1171,24,7
15.10000038,-124.117806,40.242912,917,3,6,240,109,1557,359,11729,1935,12,54,1751,12,1751,16,3
14.8,-124.117806,40.242912,917,3,6,240,109,1557,359,11729,1935,12,54,1751,12,1751,16,3
62.8,-124.111702,40.555759,0,1,6,259,111,2065,92,11407,1343,12,56,1477,3,1477,7,7
1.7,-124.10788,40.961662,0,1,6,258,NA,2122,1,6387,1142,12,59,1116,0,NA,NA,NA
6.285,-124.105556,48.009167,25,3,6,160,76,2844,415,8468,2913,8,48,1201,10,1201,24,24
17.31,-124.105553,48.009167,25,3,6,160,76,2844,415,8468,2913,8,48,1201,10,1201,24,24
38.1,-124.094856,40.543034,0,1,6,259,111,2065,92,11407,1343,12,56,1477,3,1477,3,7
0.085,-124.074844,40.33514,917,3,6,263,107,1326,518,11161,1772,11,54,1300,12,1300,16,16
0.075,-124.067314,40.871975,0,1,6,259,114,1862,128,10852,1231,12,57,1038,7,1038,3,3
0.14,-124.057411,40.995834,0,3,6,260,106,1791,177,10524,1347,11,54,1274,7,1274,3,3
0.14,-124.050064,40.75491,0,3,6,284,114,1582,199,10546,1285,12,56,1321,7,1321,3,3
4.9,-124.02652,40.932198,0,1,6,256,111,1862,92,10962,1229,12,56,1194,4,1194,3,3
