"p_avg","LONGITUDE","LATITUDE","CACO3","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
2.55,-124.015442,40.51136,0,3,6,241,110,1606,251,11020,1529,12,55,1530,12,1530,3,3
3.885,-123.983612,47.976971,0,3,6,162,82,2407,636,8164,2671,7,48,1030,12,1030,24,24
4.815,-123.983611,47.976972,0,3,6,162,82,2407,636,8164,2671,7,48,1030,12,1030,24,24
0.1,-123.978508,40.729652,0,3,6,287,105,1136,534,11002,1527,11,54,1331,9,1331,3,3
3.8288,-123.968083,41.327194,0,3,6,289,103,1338,382,10267,1737,11,53,2262,11,2262,3,3
8.2205,-123.953613,40.161415,0,3,6,259,109,1380,491,15459,1831,12,57,1409,11,1409,16,16
4.4217,-123.950056,41.327556,0,3,6,289,103,1338,382,10267,1737,11,53,2262,11,2262,3,3
0.075,-123.937576,40.497601,0,3,6,233,110,1482,223,11123,1458,12,55,1438,9,1438,3,3
0.100000001,-123.935554,40.747742,0,3,6,287,105,1136,534,11002,1527,11,54,1331,9,1331,3,3
0.1,-123.935554,40.747742,0,3,6,287,105,1136,534,11002,1527,11,54,1331,9,1331,3,3
8.515,-123.931519,41.502396,0,3,6,284,101,1484,400,9725,1885,11,53,1651,14,1651,3,3
0.9,-123.924194,40.652935,0,3,6,295,107,1158,511,16411,1546,11,54,1391,11,1391,3,3
3.933,-123.918892,46.140278,NA,51,51,257,NA,2300,1,4220,1855,11,51,1149,0,NA,NA,NA
3.933,-123.918889,46.140278,NA,51,51,257,NA,2300,1,4220,1855,11,51,1149,0,NA,NA,NA
23.6,-123.918333,45.188056,0,3,6,299,NA,2323,8,9530,2362,10,50,1816,1,NA,NA,NA
29.168,-123.915278,40.38,0,3,6,248,109,1230,240,11811,1565,12,56,1875,11,1875,3,3
5.0505,-123.910833,45.040833,0,3,6,294,96,1819,124,9273,2524,10,48,2127,7,2127,4,4
3.1492,-123.908333,45.041667,0,3,6,314,99,1819,231,9781,2610,10,49,1852,6,1852,4,7
0.3,-123.906418,41.456303,0,8,6,291,102,1322,535,17245,1731,11,53,1581,15,1581,3,3
1.185,-123.906349,40.725929,0,3,6,270,112,1318,513,10308,1455,11,56,1225,11,1225,3,3
4.374,-123.903972,47.516444,0,0,6,236,79,2087,247,63074,3249,9,44,1419,3,1419,24,NA
3.8355,-123.903969,47.516445,0,0,6,236,79,2087,247,63074,3249,9,44,1419,3,1419,24,NA
2.8531,-123.902778,45.045833,0,3,6,314,99,1819,231,9781,2610,10,49,1852,6,1852,4,7
3.1985,-123.89917,47.351387,66,2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
3.7615,-123.899167,47.351389,66,2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
7,-123.892778,45.189417,0,2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
5.452000093,-123.892776,45.189415,0,2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
3.84,-123.892776,45.189415,0,2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
15.39999962,-123.892776,45.189415,0,2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
6.383333333,-123.892776,45.189415,0,2,6,304,100,1889,182,11878,2464,10,50,1746,7,1746,7,7
0.2,-123.880722,40.423023,0,3,6,262,109,1230,335,13316,1554,12,57,1824,12,1824,3,3
4.57,-123.863278,47.588778,0,3,6,166,84,2373,607,8372,3103,8,45,1144,16,1144,24,24
4.08,-123.861168,47.58736,0,3,6,166,84,2373,607,8372,3103,8,45,1144,16,1144,24,24
4.08,-123.861167,47.587361,0,3,6,166,84,2373,607,8372,3103,8,45,1144,16,1144,24,24
3.59,-123.849444,47.392778,66,2,6,221,89,2122,263,8257,3183,9,45,1658,7,1658,4,4
0.085,-123.847938,39.832012,19,3,6,250,103,1723,182,7153,1710,12,55,1980,11,1980,3,3
3.835,-123.845556,47.391944,66,2,6,221,89,2122,263,8257,3183,9,45,1658,7,1658,4,4
3.492,-123.84,45.7825,53,3,6,231,93,2170,196,8924,2340,10,49,1554,7,1554,7,7
2.619,-123.839996,45.782501,53,3,6,231,93,2170,196,8924,2340,10,49,1554,7,1554,7,7
3.835,-123.835,47.365556,66,2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
2.285,-123.834999,47.365555,66,2,6,221,89,2452,263,8257,3183,9,45,1658,7,1658,4,4
17.89245,-123.831947,40.316387,0,3,6,248,104,1247,287,11037,1590,12,57,1926,11,1926,3,19
3.786,-123.829445,46.086945,NA,1,6,261,98,2256,20,15500,1882,11,51,1151,2,1151,7,NA
3.786,-123.829444,46.086944,NA,1,6,261,98,2256,20,15500,1882,11,51,1151,2,1151,7,NA
0.3,-123.817833,40.975307,0,3,6,272,103,1043,789,9936,1512,11,54,1208,13,1208,3,3
4.08,-123.798058,45.462776,0,2,6,234,94,2692,182,8998,2327,10,51,1660,1,1660,4,4
4.08,-123.798056,45.462778,0,2,6,234,94,2692,182,8998,2327,10,51,1660,1,1660,4,4
0.6,-123.789467,40.661007,0,3,6,223,112,1327,823,11346,1576,11,55,1471,11,1471,19,19
0.73,-123.777512,40.927952,0,3,6,255,110,1120,777,10085,1501,11,54,1529,14,1529,3,3
0.225,-123.776497,40.991329,0,3,6,272,103,1043,789,9936,1512,11,54,1208,13,1208,3,3
11.87099981,-123.776389,40.119167,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
14.64,-123.776389,40.119167,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
9.02425,-123.776389,40.119167,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
17.45455,-123.775,40.1175,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
0.400000006,-123.764206,41.249565,0,8,6,260,104,1283,668,13301,1549,11,53,1549,12,1549,3,3
0.25,-123.764206,41.249565,0,8,6,260,104,1283,668,13301,1549,11,53,1549,12,1549,3,3
0.400000006,-123.757416,40.113785,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
0.25,-123.757416,40.113785,0,3,6,235,127,1459,358,13807,1681,12,58,912,10,912,3,3
0.400000006,-123.752052,40.277241,0,3,6,242,107,1272,336,11491,1535,12,57,1835,11,1835,19,19
0.37,-123.752052,40.277241,0,3,6,242,107,1272,336,11491,1535,12,57,1835,11,1835,19,19
0.2,-123.752052,40.277241,0,3,6,242,107,1272,336,11491,1535,12,57,1835,11,1835,19,19
0.75,-123.751923,41.015209,0,3,6,272,103,1043,789,9936,1512,11,54,1208,13,1208,3,3
3.59,-123.730278,47.368889,66,2,6,204,75,2178,321,8548,3044,9,46,1335,8,1335,4,4
0.300000012,-123.719421,40.114056,0,3,6,261,119,1390,599,8979,1651,12,58,983,11,983,3,19
0.195,-123.719421,40.114056,0,3,6,261,119,1390,599,8979,1651,12,58,983,11,983,3,19
110.360997,-123.718889,40.0975,0,3,6,261,119,1390,599,8979,1651,12,58,983,11,983,19,19
0.575,-123.712433,40.390671,0,3,6,235,120,1264,760,10644,1597,11,57,1055,9,1055,19,19
5.763825,-123.709444,40.103056,0,3,6,261,119,1390,599,8979,1651,12,58,983,11,983,3,19
0.1,-123.6856,41.008797,0,3,6,244,112,1044,613,12208,1383,11,56,1334,13,1334,19,19
0.225,-123.669601,40.783531,0,12,6,228,108,1332,992,9233,1528,10,55,1283,14,1283,7,19
0.135,-123.652542,39.36301,28,3,6,204,123,1484,192,14117,1212,12,53,914,8,914,3,3
0.400000006,-123.638672,41.101986,0,3,6,229,104,1279,517,9268,1378,12,56,1608,12,1608,7,19
0.295,-123.638672,41.101986,0,3,6,229,104,1279,517,9268,1378,12,56,1608,12,1608,7,19
0.400000006,-123.619904,41.087452,0,3,6,218,106,1279,869,9069,1390,10,56,1765,17,1765,19,3
0.3,-123.619904,41.087452,0,3,6,218,106,1279,869,9069,1390,10,56,1765,17,1765,19,3
3.639,-123.610278,47.440556,66,3,6,157,80,2303,756,7865,2790,7,48,1131,20,1131,24,24
3.6635,-123.610275,47.440556,66,3,6,157,80,2303,756,7865,2790,7,48,1131,20,1131,24,24
0.14,-123.609741,41.174583,0,3,6,233,104,1285,812,9004,1384,11,57,1573,16,1573,7,3
3.7125,-123.600833,46.146111,NA,3,6,228,96,2127,252,8263,2332,10,50,1316,4,1316,7,7
3.7125,-123.60083,46.146111,NA,3,6,228,96,2127,252,8263,2332,10,50,1316,4,1316,7,7
0.09,-123.591438,41.08746,0,3,6,218,106,1279,869,9069,1390,10,56,1765,17,1765,3,3
0.025,-123.559959,41.09071,0,3,6,218,106,1176,869,9069,1390,10,56,1765,17,1765,3,3
4.0065,-123.553337,47.414722,66,1,6,165,80,2079,436,8082,2721,8,49,1403,5,1403,24,NA
4.08,-123.553333,47.414722,66,1,6,165,80,2079,436,8082,2721,8,49,1403,5,1403,24,NA
2.22,-123.538658,41.216999,0,3,6,275,107,1291,1111,9310,1387,9,59,1216,17,1216,19,19
0.085,-123.527161,39.029701,28,3,6,234,115,1013,335,13344,1202,12,57,948,9,948,16,19
5.5765,-123.506668,47.458889,66,2,6,128,81,2067,787,7052,2678,7,49,1116,20,1116,24,24
4.1878,-123.413612,44.566002,0,2,9,347,107,1653,261,8818,1873,10,55,1045,9,1045,19,3
10.4295,-123.375,45.289444,46,4,6,211,89,1638,551,9413,2336,9,51,1282,7,1282,7,4
22.7,-123.352325,45.573967,0,3,6,221,97,1664,462,8342,2123,9,53,1003,6,1003,7,7
5.9665,-123.349389,45.124583,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
7.460999813,-123.349388,45.124584,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
5.9665,-123.349388,45.124584,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
8.885,-123.348236,38.6605,0,3,6,195,125,1344,251,16197,1098,13,58,876,10,876,3,3
6.12085,-123.347328,45.937298,0,3,6,322,105,1728,259,8171,1959,9,53,1000,5,1000,7,7
6.1233,-123.346111,45.9375,0,3,6,322,105,1728,259,8171,1959,9,53,1000,5,1000,7,7
3.933000023,-123.339722,45.150749,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
3.737,-123.339722,45.150749,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
3.737,-123.339722,45.15075,46,1,9,352,120,1658,89,8633,1306,11,56,693,1,693,3,3
8.409,-123.325378,45.526745,0,4,6,215,93,1567,465,8489,2085,9,52,1345,7,1345,7,7
9.715,-123.324167,45.526944,0,4,6,215,93,1567,465,8489,2085,9,52,1345,7,1345,7,7
0.85,-123.323044,38.598824,0,3,6,178,125,1229,99,14212,1058,12,56,1186,2,1186,NA,NA
0.8975,-123.318611,47.391945,59,2,6,176,87,1653,356,8084,2140,9,51,910,7,910,24,24
5.109,-123.312279,45.146195,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
5.109,-123.312278,45.146194,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
6.6623,-123.305115,45.152805,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
6.6623,-123.305111,45.152806,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
3.736999977,-123.300003,45.160858,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
3.5606,-123.300003,45.160858,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,3,3
3.5606,-123.3,45.160858,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,16,3
15.585,-123.298286,38.657333,0,3,6,195,125,1168,251,16197,1098,13,58,876,10,876,19,3
3.296,-123.289333,45.155417,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,16,3
3.394000012,-123.289329,45.155418,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,16,3
3.296,-123.289329,45.155418,46,1,9,352,120,2197,89,8633,1306,11,56,693,1,693,16,3
9.815,-123.283608,47.438889,59,2,6,152,88,1653,640,7744,2343,8,50,1129,16,1129,7,24
2.415,-123.283241,38.57494,0,3,6,178,125,1229,99,14212,1058,12,56,1186,2,1186,19,NA
0.25,-123.277527,39.632198,26,3,6,258,122,1161,700,13358,1318,12,58,746,11,746,19,19
0.825,-123.271454,38.555649,0,3,6,178,125,1229,99,14212,1058,12,56,1186,2,1186,19,NA
7.8971,-123.270561,40.565125,0,1,6,205,120,1105,926,9162,1157,11,60,683,6,683,19,19
7.8971,-123.269444,40.565278,0,1,6,205,120,1105,926,9162,1157,11,60,683,6,683,19,19
34.6315,-123.266667,44.466667,0,1,9,342,127,2747,72,6806,1149,12,56,430,0,430,19,19
34.9522,-123.264809,45.158135,46,1,9,437,134,2197,52,6844,1140,11,57,430,1,430,16,16
4.6484,-123.255,40.565278,0,1,6,205,120,1105,926,9162,1157,11,60,683,6,683,19,19
4.6484,-123.254997,40.565277,0,1,6,205,120,1105,926,9162,1157,11,60,683,6,683,19,19
39.801,-123.25,40.256111,0,8,6,165,113,1126,1142,10329,1341,10,59,862,12,862,19,19
70.7935,-123.249444,40.256111,0,8,6,165,113,1126,1142,10329,1341,10,59,862,12,862,19,19
2.465,-123.242233,38.541687,0,8,6,209,130,1003,279,13863,1120,13,57,581,8,581,19,19
4.6925,-123.239639,45.383861,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
5.06,-123.239639,45.383862,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
4.6925,-123.239639,45.383862,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
4.7954,-123.237361,45.379111,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
4.7954,-123.237358,45.379112,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
5.0894,-123.234528,45.381416,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
5.0894,-123.234528,45.381417,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
47.5429985,-123.217303,44.625984,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
45.3282,-123.217303,44.625984,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
2.38,-123.217285,40.530003,0,1,6,205,120,1180,926,9162,1157,11,60,683,6,683,19,19
36.5515,-123.21684,44.62616,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
19.88005,-123.21682,44.36068,0,1,9,378,123,2281,87,6572,1238,12,57,405,0,405,16,16
36.14725,-123.21682,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
34.23625,-123.21681,44.62585,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
36.674,-123.21681,44.62595,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.5245,-123.21671,44.62585,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
35.645,-123.21671,44.62604,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
33.93,-123.21671,44.62615,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
33.44,-123.21669,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
32.08025,-123.2166,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
29.4955,-123.21659,44.62585,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.7205,-123.21658,44.62615,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
32.93775,-123.21656,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
27.1925,-123.21649,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
27.30275,-123.21648,44.62585,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.2795,-123.21646,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.0835,-123.21646,44.62615,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
33.2685,-123.21637,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
27.86625,-123.21635,44.62584,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
40.53275,-123.21635,44.62616,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
32.8765,-123.21632,44.62595,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
33.9055,-123.21625,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
40.82675,-123.21625,44.62616,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.3195,-123.21624,44.62586,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
31.627,-123.21623,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.696,-123.21614,44.62586,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
31.284,-123.21614,44.62606,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
31.66375,-123.21611,44.62617,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
33.03575,-123.2161,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.108,-123.21603,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.77275,-123.21601,44.62617,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
31.9455,-123.21599,44.62597,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.8585,-123.21598,44.62586,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.72375,-123.2159,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
27.69475,-123.21588,44.62616,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
26.9475,-123.21587,44.62586,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
31.39425,-123.21587,44.62596,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
29.373,-123.2158,44.62605,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.25825,-123.21578,44.62616,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
30.07125,-123.21576,44.62595,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
28.001,-123.21575,44.62585,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
40.63399925,-123.215629,44.625984,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
37.9145,-123.215629,44.625984,0,1,9,355,124,1954,87,6687,1213,11,56,491,1,491,19,19
9.732,-123.199837,45.419361,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
12.165,-123.199833,45.419361,46,3,9,323,117,1889,139,6981,1373,11,54,869,3,869,19,19
0.8975,-123.196388,47.531113,406,2,6,149,85,1633,1016,5347,2491,6,50,945,22,945,24,24
0.9,-123.191414,38.59483,0,8,6,209,130,1003,279,13863,1120,13,57,581,8,581,19,19
9.4,-123.191414,38.59483,0,8,6,209,130,1003,279,13863,1120,13,57,581,8,581,19,19
4.900000095,-123.191406,38.598415,0,8,6,209,130,1003,279,13863,1120,13,57,581,8,581,19,19
3,-123.191406,38.598415,0,8,6,209,130,1003,279,13863,1120,13,57,581,8,581,19,19
17.9715,-123.181763,45.5523,0,1,9,317,115,1865,231,8934,1642,10,56,683,5,683,19,19
5.403,-123.169472,45.141833,46,2,9,326,134,2157,61,7859,1115,11,58,397,2,397,16,16
5.403,-123.169472,45.141834,46,2,9,326,134,2157,61,7859,1115,11,58,397,2,397,16,16
9.38,-123.167496,40.557282,0,3,6,191,123,1397,927,7819,1095,11,61,623,9,623,19,19
2.599999905,-123.165245,38.623642,0,8,6,224,133,951,355,15270,1142,13,59,693,10,693,16,19
1.7,-123.165245,38.623642,0,8,6,224,133,951,355,15270,1142,13,59,693,10,693,16,19
20.35,-123.165115,40.555447,0,3,6,191,123,1532,927,7819,1095,11,61,623,9,623,19,19
19.4188,-123.149391,45.326557,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
16.265,-123.149389,45.326556,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
23.90715,-123.147141,45.327137,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
23.1505,-123.147139,45.327139,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
6.295125,-123.138969,45.041191,46,2,9,361,127,1733,111,7294,1202,11,58,536,3,536,16,16
4.186,-123.137778,45.041389,46,2,9,361,127,1733,111,7294,1202,11,58,536,3,536,16,16
7.167,-123.137222,40.646667,0,3,6,189,116,1103,1160,9145,1185,10,60,804,12,804,19,19
7.16455,-123.137222,40.646667,0,3,6,189,116,1103,1160,9145,1185,10,60,804,12,804,19,19
10.1805,-123.134445,47.837223,406,3,6,148,84,1588,1432,4718,2549,4,53,982,20,982,24,24
4.031,-123.134444,47.837222,406,3,6,148,84,1588,1432,4718,2549,4,53,982,20,982,24,24
75.135,-123.13427,40.568333,0,3,6,191,123,1532,927,7819,1095,11,61,623,9,623,19,19
4.824,-123.133308,45.356083,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
3.951,-123.133306,45.356083,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
17.316375,-123.120918,45.29139,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,16,19
14.7281,-123.120917,45.291389,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,16,19
4.668,-123.118057,45.610554,0,1,9,352,121,2651,78,6341,1299,11,56,497,2,497,19,19
4.668,-123.118056,45.610556,0,1,9,352,121,2651,78,6341,1299,11,56,497,2,497,19,19
42.3,-123.1175,45.600555,0,1,9,352,121,2651,78,6341,1299,11,56,497,2,497,19,19
51.61,-123.1175,45.600555,0,1,9,352,121,2651,78,6341,1299,11,56,497,2,497,19,19
42.3,-123.1175,45.600556,0,1,9,352,121,2651,78,6341,1299,11,56,497,2,497,19,19
79.9075,-123.115361,45.210833,46,1,9,269,136,2050,53,6839,1063,11,58,453,0,453,16,16
27.2325,-123.114083,45.210472,46,1,9,269,136,2050,53,6839,1063,11,58,453,0,453,16,16
27.2325,-123.114082,45.210472,46,1,9,269,136,2050,53,6839,1063,11,58,453,0,453,16,16
47.2,-123.098611,45.534722,0,3,9,336,125,2154,77,7686,1241,11,56,564,2,564,16,19
47.2,-123.09861,45.534721,0,3,9,336,125,2154,77,7686,1241,11,56,564,2,564,16,19
5.2,-123.098236,38.676689,0,8,13,198,121,951,396,15405,1140,13,59,780,11,780,19,16
6.2164,-123.096139,45.362139,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
7.02,-123.096138,45.362141,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
6.2164,-123.096138,45.362141,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
8,-123.095085,45.332024,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
8.23275,-123.095085,45.332024,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
6.922,-123.094536,45.331745,46,3,9,361,129,1855,84,6954,1150,11,56,519,2,519,19,19
12.263,-123.09333,45.762501,0,3,6,249,99,1452,391,8171,1921,9,54,967,6,967,7,19
16.2075,-123.089165,45.702778,0,2,9,269,99,1738,243,12536,1624,10,55,824,6,824,7,19
13.9032,-123.087593,45.397026,46,2,9,323,121,1959,163,8401,1304,11,55,633,4,633,19,19
5.739325,-123.085648,45.348415,46,3,9,259,125,1855,130,7983,1219,11,55,604,3,604,19,19
4.9756,-123.084444,45.348611,46,3,9,259,125,1855,130,7983,1219,11,55,604,3,604,19,19
