"x","y","p_avg","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
16.55117,51.42094,37,12.26099968,550.9302979,8.564736366,520.076355,134.4298859,6.234903812,1,11,65,65535,0.491181504,134.7095947,6,3.20000004768372,19,20
16.561265,65.00587,48.2,52.69999981,619.7072144,-0.10457176,504.454895,87.20271301,4.836920261,9,3,65,65535,3.146993363,488.2307739,0,1,0,NA
16.56665,47.43188,39,13.61600041,642.8572388,9.809874535,377.6415405,228.4806671,6.639011383,1,10,65,65535,0.789254634,221.9769287,6,3.20000004768372,0,0
16.56873,64.86048,50.8,52.69999981,630.8753052,0.274965286,540.3126221,64.27968597,4.716529369,9,3,65,65535,2.428704655,439.7409668,4,1,0,90
16.57378,60.93118,10,52.69999981,632.8239136,4.899634361,551.4160767,94.77874756,4.663672447,9,3,65,65535,1.01320525,108.7669678,4,1,0,0
16.57908,50.80508,46.2,10.75600028,578.0141602,8.023984909,329.8820496,183.5995178,6.201912403,8,10,65,5673,2.159892664,288.9872437,6,1,0,0
16.59847,48.09748,31.5,17.31400013,614.6194458,9.978892326,344.1596375,226.2642212,7.102108479,5,9,65,65535,0.97273421,198.6199799,5,1.20000004768372,0,165
16.61286,58.183122,10,15.03780484,590.65271,6.621694088,528.6795044,201.8543549,4.998651981,9,6,65,65535,0.565644324,27.21784592,5,1,NA,NA
16.64575,50.27903,53,12.81100035,638.5963745,6.436869144,413.9002991,150.742691,5.565093517,9,11,65,65535,4.482059361,546.1796875,4,1,112,341
16.6514,61.66919,13.8,52.69999981,705.1258545,3.99704504,589.3676147,69.29183197,4.628817558,9,3,65,65535,2.650001756,146.7449646,4,1,0,0
16.65406,52.51546,59.7,28.3100009,524.4869385,8.52162838,740.4194946,76.63111115,5.797319412,1,2,65,65535,0.340367924,80.7719574,5,3.20000004768372,34,0
16.71198,47.11594,12.8,13.61600041,642.8572388,9.809874535,377.6415405,228.4806671,6.639011383,1,10,65,65535,0.789254634,221.9769287,6,3.20000004768372,0,0
16.71483,52.33166,42.1,14.0170002,509.9475098,8.578215599,715.2498169,77.65224457,6.01794672,1,10,65,65535,0.275617639,83.43756866,5,3.20000004768372,34,0
16.75143,58.19428,11.9,15.03780484,590.65271,6.621694088,528.6795044,201.8543549,4.998651981,9,6,65,65535,0.565644324,27.21784592,5,1,NA,NA
16.75559,40.45061,57.8,7.558490634,653.0456543,15.98690224,328.5391235,283.2199707,7.407673359,1,12,65,65535,3.404602436,136.6323395,7,3.20000004768372,NA,0
16.770413,63.963608,20.5,52.69999981,636.3805542,1.670607686,544.9970093,72.00583649,4.661804199,9,3,65,65535,2.433777318,280.3577881,0,1,0,90
16.78258,48.86316,40.5,15.95600009,592.6375122,9.656256676,336.2466125,224.8719482,6.880408287,1,9,65,65535,1.482582424,207.5546112,5,3.20000004768372,0,60
16.78802,52.61614,57.1,28.3100009,524.4869385,8.52162838,740.4194946,76.63111115,5.797319412,1,2,65,65535,0.340367924,80.7719574,5,3.20000004768372,34,0
16.79187,50.90195,37.8,10.75600028,578.0141602,8.023984909,329.8820496,183.5995178,6.201912403,8,10,65,5673,2.159892664,288.9872437,6,1,0,0
16.796042,64.071258,37.7,52.69999981,649.7666626,0.648649335,539.1176147,66.97658539,4.759496689,9,3,65,4664,2.198277268,378.2530823,4,1,0,90
16.8235,51.11663,69.8,12.26099968,550.9302979,8.564736366,520.076355,134.4298859,6.234903812,1,11,65,65535,0.491181504,134.7095947,6,3.20000004768372,19,20
16.85682,47.61263,32.7,68.43600273,596.7191772,9.995934486,377.8846436,227.4890442,6.800194263,5,9,65,65535,0.911692938,194.5112305,0,1.20000004768372,18,250
