LONGITUDE,LATITUDE,p_avg,SOC,SAND,CLAY,DEPTH,MAT,MAP,PH,NPP,SLOPE,ELEVATION,BIOMES,BEDROCK,SOIL_TYPE,WRB_SOIL_TYPE
168.61,69.8,771.85,27.5094,427.5510204,210,21,-14,140,7.3,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,1917.43,38.4183,427.5510204,210,1.5,-14,140,6.1,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,764.87,34.782,427.5510204,210,1.5,-14,140,6.4,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,638.33,22.9245,427.5510204,210,6.5,-14,140,6.1,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,654.16,18.5504,427.5510204,210,2.5,-14,140,7.6,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,882.2,17.8126,427.5510204,210,9,-14,140,6.4,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,766,16.9694,427.5510204,210,8.5,-14,140,7.4,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,584.66,5.0065,427.5510204,210,17.5,-14,140,6.1,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,638.74,5.3754,427.5510204,210,22.5,-14,140,6.5,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,620.21,5.3754,427.5510204,210,50,-14,140,7.3,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,697.59,4.3741,427.5510204,210,40,-14,140,6.5,1122.19104,0,60,1,1,1,Cryosols
168.61,69.8,757.25,3.5309,427.5510204,210,42.5,-14,140,6.1,1122.19104,0,60,1,1,1,Cryosols
-149.6,68.63333,990,258.4,366.875,199.25,10.01,-11,224,5.35875,2098.358887,0,715,1,5,1,Crysols
-149.72,68.63,800,185.3184713,374.1401274,202.4203822,10,-11.2,224,5.092993631,2098.358887,14,692,1,5,1,Cambisols
-149.72,68.63,600,185.3184713,374.1401274,202.4203822,10,-11.2,224,5.092993631,2098.358887,14,692,1,5,1,Cambisols
18.31667,68.41667,1119.3,266,470.8074534,120,5,-2,1000,4.65,1111.568237,18,591,1,5,3,Cambisols
18.31667,68.41667,873.4,296,470.8074534,120,5,-2,1000,4.38,1111.568237,18,591,1,5,3,Cambisols
18.31667,68.41667,1322.5,171,470.8074534,120,5,-2,1000,6.49,1111.568237,18,591,1,5,3,Cambisols
18.31666667,68.41666667,1200,171,470.8074534,120.0621118,5,-5,260,6.2,1111.568237,18,591,1,5,3,Cambisols
18.2,68.35,1168.2,266,472.75,160,5,-5,904.5,4.66,1111.568237,17,1118,1,5,3,Podzols
18.2,68.35,921.6,296,472.75,160,5,-5,904.5,4.62,1111.568237,17,1118,1,5,3,Podzols
18.2,68.35,1193.9,171,472.75,160,5,-5,904.5,6.35,1111.568237,17,1118,1,5,3,Podzols
18.5,68.35,1000,266,464.6052632,155,5,-2.5,809,4.42,1111.568237,15,1021,1,5,3,Cambisols
18.82,68.35,960,324.8,483.9310345,90,10.01,0.05,310,5.3,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,1238,406,483.9310345,90,10.01,0.05,310,6.4,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,1127,348,483.9310345,90,10.01,0.05,310,5.5,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,762,249.4,483.9310345,90,10.01,0.05,310,5.5,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,1117,348,483.9310345,90,10.01,0.05,310,5.3,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,1151,464,483.9310345,90,10.01,0.05,310,5.9,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,581,545.2,483.9310345,90,10.01,0.05,310,4.5,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,581,527.8,483.9310345,90,10.01,0.05,310,4.5,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,605,498.8,483.9310345,90,10.01,0.05,310,4.6,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,678,435,483.9310345,90,10.01,0.05,310,4.6,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,626,504.6,483.9310345,90,10.01,0.05,310,5,1525.982666,7,393,0,8,13,Cambisols
18.82,68.35,668,469.8,483.9310345,90,10.01,0.05,310,5.3,1525.982666,7,393,0,8,13,Cambisols
18.81173333,68.34412778,1109.8,36,777.1855011,100.2132196,10,-2.5,809,4.3,1525.982666,10,422,0,8,13,Cambisols
18.81173333,68.34412778,793.6,21,744.5255475,91.76225235,10,-2.5,809,5.5,1525.982666,10,422,0,8,13,Cambisols
18.81173333,68.34412778,1112.9,22,754.4409613,91.95402299,10,-2.5,809,5.7,1525.982666,10,422,0,8,13,Cambisols
19.08333333,68.28333333,1200,296,475.6862745,144.1830065,5,-2,1000,4.86,1624.32251,10,1073,1,8,11,Cambisols
-133.5836,68.0644,1505.24,33.27,377.0588235,237.1895425,2.5,-8.366666723,247.2,6.57,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,1388.2,34.95,377.0588235,237.1895425,5,-8.366666723,247.2,5.84,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,1470.05,36.68,377.0588235,237.1895425,2.5,-8.366666723,247.2,7.2,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,256.46,3.85,377.0588235,237.1895425,5,-8.366666723,247.2,6.32,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,1450.57,29.76,377.0588235,237.1895425,2.5,-8.366666723,247.2,7.1,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,323.91,4.82,377.0588235,237.1895425,5,-8.366666723,247.2,6.79,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,1137.86,30.92,377.0588235,237.1895425,2.5,-8.366666723,247.2,6.11,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,1440.83,30.94,377.0588235,237.1895425,2.5,-8.366666723,247.2,5.76,1884.845581,0,15,1,5,1,Histosols
-133.5836,68.0644,446.15,9.12,377.0588235,237.1895425,2.5,-8.366666723,247.2,7.31,1884.845581,0,15,1,5,1,Histosols
