Line-ID,LATITUDE,LONGITUDE
LANTEO255,18.35,-99.841
LANTEO264,19.407,-99.627
LANTEO277,19.958,-102.516
LANTEO279,20.053,-101.255
LANTEO290,19.035,-97.442
LANTEO292,19.159,-98.185
LANTEO297,18.35,-99.85
LANTEO298,18.35,-99.85
LANTEO299,18.33,-100.32
LANTEO300,17.42,-99.5
