gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
92082353	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Very wet heavy soil, sorghum field W edge of Panindicuro on road to Penjamilio		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.96667	-101.75			1990.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461649				CC_BY_4_0					2023-05-30T03:54:36.246Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082352	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Heavy black soil, in unweeded sorghum field, Penjamillo		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	20.16667	-101.86667			1750.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461648				CC_BY_4_0					2023-05-30T03:54:30.217Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082351	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Place called bathtubs (depressions in rock filled with water), about 4km down stream from Arroyo Tarahumare, Arroyo Tejamanil, Guadalupe y Calvo.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	26.23333	-106.96667			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461647				CC_BY_4_0					2023-05-30T03:54:30.294Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082350	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Stoney fields, few plants in maize field, most along stream, protected by willows. Arroyo Tarahumare, Guadalupe y Calvo.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	26.26667	-106.96667			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461646				CC_BY_4_0					2023-05-30T03:54:30.017Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082348	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Along cement lined irrigation canals over railroad bridge, about 20km from Durango on road to Zacatecas, Puente Gavilanes		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	24.01667	-104.48333			1950.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461645				CC_BY_4_0					2023-05-30T03:54:30.406Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082345	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Wet areas along canals and dikes, Hacienda Alcalde near Francisco Villa, 3km off Durango-Zacatecas Road between Puente Gavilanes and Fuente Dalilia, about 15km S of Durango		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	24.18333	-104.4			1950.0								5290051	5290049	OCCURRENCE	USA020	USA020	1461644				CC_BY_4_0					2023-05-30T03:54:30.617Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082308	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Mountainous depression, farmland, Nabogame community, 10km E of Santa Rosalia, Chihuahua.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	26.25	-106.91667			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1406966				CC_BY_4_0					2023-05-30T03:54:30.693Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082280	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Amatlan, 7 km from Tepoztlan.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	18.96667	-99.03333			1650.0								5290051	5290049	OCCURRENCE	USA020	USA020	1404453				CC_BY_4_0					2023-05-30T03:54:22.385Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92082278	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Temamatla, Tenango del Aire.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.16667	-98.85			2250.0								5290051	5290049	OCCURRENCE	USA020	USA020	1404452				CC_BY_4_0					2023-05-30T03:54:22.409Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081946	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Three kilometers NE of Alcalde, a pueblito 20km ENE (by air)  of Durango.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	24.06667	-104.51667			2050.0								5290051	5290049	OCCURRENCE	USA020	USA020	1373335				CC_BY_4_0					2023-05-30T03:54:22.446Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
