gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912501260	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000632872	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays L. subsp. parviglumis H.H.Iltis & Doebley	L.	MX	Ca. 24 Km. (by air) W of Teloloapan on road from Iguala to Arcelia (Km 100), 7.8 Km. W of Acapetlahuaya turn off.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	18.33	-100.0	0.2		1100.0				1977-09-22T00:00:00	22	9	1977	5678457	5290052	PRESERVED_SPECIMEN	K	Herbarium	K000632872	379			CC_BY_4_0		Iltis, H.H.; Doebley, J.F.	ISOTYPE		2023-04-18T13:22:41.573Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
900150997	b4a37621-7556-4705-9349-ede261feebe4	urn:catalog:fcnym.unlp.edu.ar:herb:005870	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays parviglumis	Iltis Doebley	MX	Potrero El Rodeo, 1-2 km al NE del edjido San Vicente, 10 km al SW de Degollado, 2-3 km al N del Rio Lerma	Jalisco	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862													5678457	5290052	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	herb	005870	005870			CC_BY_4_0		Guzmán, Gastón; Puga & Puga			2023-01-25T08:26:25.608Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
476432124	d6fa86b9-8906-4622-9ebc-24d393c9ac12		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis	H.H. Iltis & Doebley	MX		Otra zona o región	PRESENT		a4d6cc6b-4c62-4015-ad7b-1ba69847a616	0.0	0.0											5678457	5290052	LIVING_SPECIMEN	OTS	Wilson Botanical Garden - Las Cruces Biological Station	19900065		-		CC_BY_4_0		Zahawi, Zak			2023-01-25T09:36:17.777Z		ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;INSTITUTION_MATCH_NONE
437993666	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00740705	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays L. var. parviglumis H.H. Iltis & Doebley	H.H. Iltis & Doebley	MX			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e					1100.0				1978-09-22T00:00:00	22	9	1978	5678457	5290052	PRESERVED_SPECIMEN	MNHN	P	P00740705				CC_BY_4_0		Iltis, H.H.;Doebley, J.	ISOTYPE		2023-05-31T17:23:49.837Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY
4069642321	d8cd16ba-bb74-4420-821e-083f2bac17c2	AY514500	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis		MX			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													5678457	5290052	PRESERVED_SPECIMEN			PI384064 (USDA/NCRPIS)				CC_BY_4_0					2023-04-29T12:31:00.626Z		CONTINENT_DERIVED_FROM_COUNTRY
4061782320	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101476395	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis Iltis & Doebley	Iltis & Doebley	MX	Ca. 24 km (by air) W of Teloloapan on road from Iguala to Arcelia, 7-8 km W of Acapetlahuaya turn off.	Guerrero	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	18.385	-100.130556			1100.0				1977-09-22T00:00:00	22	9	1977	5678457	5290052	PRESERVED_SPECIMEN	US	Tropicos	101476395	Iltis 379			CC_BY_4_0	Missouri Botanical Garden	Hugh H. Iltis;John F. Doebley			2023-05-29T20:28:28.144Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION
4061449538	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:102029701	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis Iltis & Doebley	Iltis & Doebley	MX	Plaza de Gallos.	México	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	18.85	-100.233056			950.0				1932-09-17T00:00:00	17	9	1932	5678457	5290052	PRESERVED_SPECIMEN	GBH	Tropicos	102029701	Hinton 1758	J.F. Doebley (WIS)	1980-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	George B. Hinton			2023-05-29T20:28:44.739Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION
4053187318	d8cd16ba-bb74-4420-821e-083f2bac17c2	AY514585	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis		MX			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													5678457	5290052	PRESERVED_SPECIMEN			Site3 (H.H. Iltis)				CC_BY_4_0					2023-04-29T12:31:32.621Z		CONTINENT_DERIVED_FROM_COUNTRY
4042783801	780977d6-1cdb-4804-904f-9303cce8b4a1	3540507	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis		MX			PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f													5678457	5290052	PRESERVED_SPECIMEN	KUN		380414				CC_BY_NC_4_0					2023-03-05T17:01:25.868Z		COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4042572902	780977d6-1cdb-4804-904f-9303cce8b4a1	3540700	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays	parviglumis	SUBSPECIES	Zea mays subsp. parviglumis Iltis & Doebley	Zea mays subsp. parviglumis		MX			PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f									1980-10-02T00:00:00	2	10	1980	5678457	5290052	PRESERVED_SPECIMEN	KUN		380413				CC_BY_NC_4_0		H.H.Iltis etc.			2023-03-05T17:01:36.881Z		COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
