"LONGITUDE","LATITUDE","p_avg","GEO3major","data","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
-119.3926024,34.932211,28,"North America","train",3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
-119.3926024,34.932211,49,"North America","train",3,13,281,143,1008,1098,3742,473,14,73,183,6,183,6,6
-118.9766667,34.9555556,10,"North America","train",1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
-118.9766667,34.9555556,15,"North America","train",1,9,140,144,4975,340,3374,285,17,73,161,2,161,6,6
-116.3453064,34.3222771,12,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
-116.3453064,34.3222771,27,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
-116.3453064,34.3222771,41,"North America","train",1,14,106,146,13648,792,61557,158,19,83,24,1,24,6,6
-116.3128052,34.3269463,21,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
-116.3028641,34.3469429,11,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
-116.3028641,34.3469429,14,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
-116.3028641,34.3469429,15,"North America","train",1,14,115,147,16884,768,65535,150,19,83,35,2,35,6,6
-116.2636108,34.263195,7,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
-116.2636108,34.263195,16,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
-116.2636108,34.263195,27,"North America","train",1,14,87,150,15481,811,1064,160,19,82,26,1,26,19,19
-116.2324982,34.2883339,5,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
-116.2324982,34.2883339,19,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
-116.2324982,34.2883339,23,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,19,19
-116.2172241,34.3563881,8,"North America","train",1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
-116.2172241,34.3563881,10,"North America","train",1,14,80,149,17527,698,65535,129,19,83,24,2,24,6,6
-116.2086105,34.2788887,22,"North America","train",1,14,89,151,16716,703,65535,129,19,83,14,1,14,19,19
-116.1911087,34.3010292,7,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
-116.1911087,34.3010292,15,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
-116.1911087,34.3010292,16,"North America","train",1,14,89,151,17527,703,65535,129,19,83,14,1,14,26,19
-116.1661148,34.3044434,10,"North America","train",1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
-116.1661148,34.3044434,17,"North America","train",1,14,89,151,14661,703,65535,129,19,83,14,1,14,26,19
-116.140564,34.31558228,15,"North America","train",1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
-116.140564,34.31558228,20,"North America","train",1,14,154,147,14661,628,61623,117,20,85,17,1,17,26,6
-116.1380692,34.32141495,18,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
-116.1380692,34.32141495,19,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
-116.1380692,34.32141495,20,"North America","train",9,14,136,146,14661,703,4649,132,20,84,55,3,55,26,26
-106.762886,34.7714996,0.9,"North America","train",1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
-106.762886,34.7714996,35.7,"North America","train",1,14,200,151,9102,1489,29914,239,13,79,86,0,86,6,6
-106.7000275,32.5569992,8.4,"North America","train",1,14,130,160,11244,1323,1255,275,15,80,69,0,69,6,6
-106.1222229,34.8113899,1,"North America","train",1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
-106.1222229,34.8113899,31,"North America","train",1,9,267,143,3491,1886,1751,336,11,76,107,0,107,19,16
-106.0555573,34.8013878,22,"North America","train",1,9,267,143,5263,1886,1751,336,11,76,107,0,107,16,16
-105.6972198,34.7986107,15,"North America","train",1,9,190,143,2956,1993,1672,337,10,77,118,1,118,19,19
-105.6972198,34.7986107,46,"North America","train",1,9,190,143,2956,1993,1672,337,10,77,118,1,118,19,19
-104.5883331,33.3441658,1,"North America","train",6,14,219,143,10482,1154,1548,330,16,78,131,1,131,6,6
-104.4111099,33.2966652,1,"North America","train",1,14,243,145,5565,1084,2126,337,16,78,133,0,133,6,6
-104.3991699,33.246666,1,"North America","train",1,14,243,145,6239,1084,2126,337,16,78,133,0,133,6,6
-103.6972198,29.9205551,60,"North America","train",1,14,244,135,390,1295,1457,407,17,77,194,2,194,17,17
