"","LONGITUDE","LATITUDE","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
"29",-81.5,33.8,1,9,141,138,1064,136,8348,1198,17,52,469,1,469,1,1
"30",-81.4,33.8,1,9,134,141,1269,141,7463,1198,17,51,453,1,453,1,1
"31",-81.3,33.8,1,9,132,139,1163,136,6547,1196,17,52,442,1,442,1,1
"32",-81.2,33.8,1,9,166,141,1302,126,7817,1192,17,53,424,1,424,1,1
"33",-81.1,33.8,1,9,119,140,1440,107,7337,1186,17,52,369,1,369,1,1
"34",-81,33.8,5,9,263,142,1107,74,13981,1175,17,52,561,1,561,1,1
"35",-80.9,33.8,1,9,486,141,1246,50,7694,1170,17,50,653,1,653,1,1
"36",-80.8,33.8,1,9,353,143,1142,44,7746,1170,17,50,662,0,662,1,1
"37",-80.7,33.8,1,9,287,143,1110,43,8272,1171,17,50,547,0,547,1,1
"38",-80.6,33.8,1,9,344,143,1148,35,8877,1170,17,50,534,0,534,1,1
"39",-80.5,33.8,1,9,369,140,1113,63,8728,1180,17,50,483,0,483,1,1
"40",-80.4,33.8,1,9,244,143,1202,53,8428,1194,17,50,559,0,559,1,1
"41",-80.3,33.8,5,9,224,144,1357,43,8231,1196,17,51,467,0,467,1,1
"42",-80.2,33.8,5,9,250,141,1366,39,8355,1197,17,50,573,0,573,1,1
"43",-80.1,33.8,5,9,284,142,1453,34,8394,1199,17,50,518,0,518,1,1
"44",-80,33.8,5,9,302,139,1024,31,8508,1204,17,50,557,0,557,1,1
"45",-79.9,33.8,5,9,217,139,1139,28,10501,1209,17,50,538,0,538,1,1
"46",-79.8,33.8,5,9,197,140,1043,25,8110,1215,17,49,646,0,646,1,1
"47",-79.7,33.8,5,9,191,140,1094,22,8510,1223,17,48,554,0,554,1,1
"48",-79.6,33.8,1,9,179,138,1247,20,8455,1234,17,49,587,0,587,1,1
"49",-79.5,33.8,5,9,194,137,1135,19,9694,1248,17,49,770,0,770,1,1
"50",-79.4,33.8,1,9,225,138,1113,9,9686,1274,17,48,814,0,814,1,1
"51",-79.3,33.8,1,9,217,137,1223,6,7631,1287,17,49,702,0,702,1,1
"52",-79.2,33.8,1,9,125,137,1507,9,8566,1303,17,49,780,0,780,1,1
"53",-79.1,33.8,1,9,140,137,1379,9,8370,1316,18,48,703,0,703,1,1
"54",-79,33.8,1,9,194,134,1193,8,20976,1322,18,48,830,0,830,1,1
"55",-78.9,33.8,1,9,192,132,1065,10,11118,1326,17,48,791,0,791,1,1
"56",-78.8,33.8,1,9,162,133,1239,6,17458,1332,17,48,843,0,843,1,1
"57",-78.7,33.8,1,9,165,130,1468,1,65535,1339,18,49,691,0,691,1,1
"92",-84.1,33.9,8,5,208,132,1459,294,65535,1345,16,53,486,1,486,1,1
"94",-83.9,33.9,9,5,194,135,1551,305,8579,1327,16,54,440,1,440,1,1
"95",-83.8,33.9,9,5,184,133,1566,286,9273,1309,16,53,365,2,365,1,1
"96",-83.7,33.9,8,5,201,134,1413,271,10486,1296,16,53,419,1,419,1,1
"97",-83.6,33.9,8,5,197,132,1137,254,7520,1285,16,53,376,1,376,1,1
"98",-83.5,33.9,8,5,181,132,984,229,5811,1268,16,53,438,1,438,1,1
"99",-83.4,33.9,8,5,188,133,1064,215,10318,1257,17,52,377,1,377,1,1
"100",-83.3,33.9,8,5,208,136,1046,217,7323,1253,16,53,416,1,416,1,1
"101",-83.2,33.9,8,5,213,137,1112,215,7362,1246,16,53,449,1,449,1,1
"102",-83.1,33.9,9,5,214,136,1081,201,10295,1237,16,53,464,1,464,1,1
"103",-83,33.9,9,5,232,135,976,179,6090,1224,16,53,458,1,458,1,1
"104",-82.9,33.9,8,5,213,132,904,159,8426,1214,16,53,488,1,488,1,1
"105",-82.8,33.9,8,5,204,136,947,150,7239,1209,16,53,483,1,483,1,1
"106",-82.7,33.9,8,5,204,139,1078,156,8922,1207,16,54,384,1,384,1,1
"107",-82.6,33.9,9,5,213,139,1002,138,7787,1197,17,53,435,1,435,1,1
"108",-82.5,33.9,8,5,226,134,1060,128,8261,1192,17,52,450,1,450,19,19
"109",-82.4,33.9,8,5,235,135,1047,130,9068,1194,17,53,494,1,494,1,1
"110",-82.3,33.9,8,5,187,136,1014,145,7950,1200,16,52,462,1,462,1,1
"111",-82.2,33.9,8,5,181,137,1000,140,8185,1200,16,53,449,1,449,1,1
"112",-82.1,33.9,8,5,178,135,1021,141,8432,1196,16,52,454,1,454,1,1
"113",-82,33.9,8,5,158,137,896,137,7708,1189,16,52,457,1,457,1,1
"114",-81.9,33.9,8,5,180,137,844,149,8053,1189,16,52,439,1,439,1,1
"115",-81.8,33.9,8,5,178,139,899,160,10617,1196,16,53,381,1,381,1,1
"116",-81.7,33.9,8,5,158,138,990,169,8138,1204,16,54,462,1,462,1,1
"117",-81.6,33.9,9,5,196,139,962,171,7159,1207,16,51,449,1,449,1,1
"118",-81.5,33.9,1,9,175,140,1254,159,7539,1203,17,52,470,1,470,1,1
"119",-81.4,33.9,1,9,133,140,1322,153,7783,1201,17,52,423,1,423,1,1
"120",-81.3,33.9,1,9,161,141,1218,130,8524,1191,17,53,427,2,427,1,1
"121",-81.2,33.9,1,9,202,142,1104,102,7055,1181,17,54,352,2,352,1,1
"122",-81.1,33.9,1,9,119,137,1158,75,7467,1172,17,54,380,1,380,19,19
"123",-81,33.9,1,9,268,142,1192,52,8205,1165,17,52,459,1,459,1,1
"124",-80.9,33.9,1,9,291,142,1078,57,7681,1167,17,51,549,0,549,1,1
"125",-80.8,33.9,1,9,222,142,1058,68,7586,1172,17,50,410,0,410,1,1
"126",-80.7,33.9,1,9,166,142,1007,71,7915,1179,17,50,445,0,445,1,1
"127",-80.6,33.9,1,9,200,145,1263,42,7786,1174,17,51,455,0,455,1,1
"128",-80.5,33.9,1,9,335,145,1108,60,7825,1184,17,51,502,1,502,1,1
"129",-80.4,33.9,1,9,205,145,1151,52,58900,1198,17,50,469,0,469,1,1
"130",-80.3,33.9,5,9,214,144,967,44,8464,1197,17,50,627,0,627,1,1
"131",-80.2,33.9,1,9,270,143,1373,41,9924,1193,17,49,445,0,445,1,1
"132",-80.1,33.9,5,9,325,144,1148,40,15351,1193,17,47,484,0,484,1,1
"133",-80,33.9,5,9,236,141,1325,37,8166,1195,17,50,488,0,488,1,1
"134",-79.9,33.9,5,9,230,141,1337,33,8029,1198,17,48,469,0,469,1,1
"135",-79.8,33.9,5,9,238,141,1386,28,8231,1201,17,49,519,0,519,1,1
"136",-79.7,33.9,5,9,213,140,1257,24,8850,1208,17,49,682,0,682,1,1
"137",-79.6,33.9,5,9,214,141,1049,22,8335,1221,17,49,669,0,669,1,1
"138",-79.5,33.9,1,9,188,141,1105,19,8128,1233,17,49,538,0,538,1,1
"139",-79.4,33.9,1,9,175,137,1160,9,9198,1261,17,47,907,0,907,1,1
"140",-79.3,33.9,1,9,168,138,985,9,10746,1273,17,47,808,0,808,1,1
"141",-79.2,33.9,1,9,144,139,1371,17,8526,1287,17,49,640,0,640,1,1
"142",-79.1,33.9,1,9,129,139,1359,17,8924,1297,17,50,642,0,642,1,1
"143",-79,33.9,1,9,125,137,1484,12,8687,1300,17,49,833,0,833,1,1
"144",-78.9,33.9,1,9,161,136,1531,9,8845,1302,17,48,919,0,919,1,1
"145",-78.8,33.9,1,9,146,136,1030,8,9262,1310,17,49,705,0,705,1,1
"146",-78.7,33.9,1,9,177,135,1081,6,10913,1322,17,48,801,0,801,1,1
"147",-78.6,33.9,1,9,157,133,1020,1,9399,1337,17,48,815,0,815,1,1
"148",-78.5,33.9,1,9,149,132,1172,4,16846,1353,17,49,655,0,655,1,1
"149",-78.4,33.9,1,9,226,126,1051,4,4497,1394,17,51,792,0,792,1,1
"150",-78.3,33.9,50,50,281,124,1297,5,65535,1417,17,50,795,0,795,1,1
"151",-78.2,33.9,50,50,300,123,1083,5,62211,1443,17,50,711,0,711,1,1
"152",-78.1,33.9,1,9,309,123,1317,5,7994,1467,17,50,810,0,810,3,3
"153",-78,33.9,52,52,291,123,1434,2,65535,1482,18,52,888,0,888,1,1
"182",-84,34,9,5,184,133,1503,321,65535,1365,16,53,412,2,412,1,1
"183",-83.9,34,8,5,188,135,1576,320,6872,1352,16,53,475,1,475,1,1
"184",-83.8,34,9,5,186,130,1517,296,8181,1331,16,53,441,1,441,1,1
"185",-83.7,34,9,5,196,133,1551,272,28162,1313,16,53,423,2,423,1,1
"186",-83.6,34,8,5,197,132,1500,252,9958,1301,16,54,382,1,382,1,1
"187",-83.5,34,8,5,215,133,1270,231,7881,1285,16,54,434,1,434,1,1
"188",-83.4,34,8,5,195,133,1142,226,9284,1277,16,53,449,1,449,1,1
"189",-83.3,34,8,5,196,133,1148,233,7993,1273,16,52,426,1,426,1,1
"190",-83.2,34,8,5,204,136,1132,209,10247,1254,16,53,385,1,385,1,1
"191",-83.1,34,8,5,194,135,1116,194,8352,1240,16,53,417,1,417,1,1
"192",-83,34,9,5,208,135,998,178,7631,1228,16,53,449,1,449,1,1
"193",-82.9,34,9,5,212,136,943,161,7881,1219,16,53,435,1,435,1,1
"194",-82.8,34,8,5,212,138,1031,147,9374,1212,16,53,441,1,441,1,1
"195",-82.7,34,8,5,199,138,1075,146,6939,1206,16,53,462,1,462,1,1
"196",-82.6,34,8,5,215,139,1087,139,6954,1200,16,53,493,1,493,1,1
"197",-82.5,34,8,5,228,138,973,136,8092,1192,16,53,448,1,448,1,1
"198",-82.4,34,9,5,225,136,1008,145,8320,1196,16,53,444,1,444,1,1
"199",-82.3,34,9,5,223,135,1022,154,7368,1196,16,53,468,1,468,1,1
"200",-82.2,34,8,5,224,137,1021,156,7859,1198,16,52,496,1,496,1,1
"201",-82.1,34,8,5,176,136,1067,160,9180,1197,16,52,479,1,479,1,1
"202",-82,34,8,5,168,137,954,156,10717,1193,16,52,394,1,394,1,1
"203",-81.9,34,8,5,181,138,934,158,10454,1193,16,52,454,1,454,1,1
"204",-81.8,34,8,5,178,138,945,151,8210,1194,16,53,466,1,466,1,1
"205",-81.7,34,8,5,172,139,974,143,10236,1196,16,54,443,1,443,19,1
"206",-81.6,34,8,5,168,138,876,143,8521,1197,16,52,468,1,468,1,19
"207",-81.5,34,8,5,208,141,850,143,8149,1197,17,51,481,1,481,1,1
"210",-81.2,34,8,5,234,140,1001,98,7975,1174,17,51,472,1,472,1,1
"213",-80.9,34,1,9,144,142,1037,86,17962,1173,17,52,441,1,441,1,1
"214",-80.8,34,1,9,133,141,1018,96,9292,1180,17,52,361,1,361,1,1
"215",-80.7,34,1,9,154,142,927,88,8348,1180,17,51,379,1,379,1,1
"216",-80.6,34,1,9,252,142,1272,44,7530,1173,17,52,523,0,523,1,1
"217",-80.5,34,1,9,148,144,1149,53,8860,1183,17,52,473,1,473,1,1
"218",-80.4,34,1,9,146,144,1200,54,7889,1193,17,50,564,0,564,1,1
"219",-80.3,34,5,9,168,143,1284,46,7752,1191,17,49,428,0,428,1,1
"220",-80.2,34,1,9,171,144,1444,45,7925,1187,17,50,465,0,465,1,1
"221",-80.1,34,5,9,285,142,1028,45,8274,1186,17,48,505,0,505,1,1
"222",-80,34,5,9,284,143,1343,42,8374,1185,17,49,553,0,553,1,1
"223",-79.9,34,1,9,255,139,1459,38,8547,1186,17,50,523,0,523,1,1
"224",-79.8,34,1,9,243,141,1213,32,8359,1187,17,49,460,0,460,1,1
"225",-79.7,34,5,9,291,142,1178,28,8648,1193,17,49,548,0,548,1,1
"226",-79.6,34,5,9,274,140,1163,28,11058,1207,17,49,669,0,669,1,1
"227",-79.5,34,5,9,197,141,1100,23,8286,1221,17,49,728,0,728,1,1
"228",-79.4,34,1,9,197,137,1012,12,7904,1249,17,49,673,0,673,1,1
"229",-79.3,34,5,9,143,139,1058,12,8915,1259,17,49,663,0,663,1,1
"230",-79.2,34,5,9,109,140,1312,21,8389,1270,17,49,611,0,611,1,1
"231",-79.1,34,5,9,119,141,1243,27,8665,1276,17,49,652,0,652,1,1
"232",-79,34,5,9,104,139,1381,25,8271,1278,17,50,593,0,593,1,1
"233",-78.9,34,5,9,121,137,1497,22,8498,1280,17,50,732,0,732,1,1
"234",-78.8,34,1,9,165,141,1340,18,10746,1288,17,49,648,0,648,1,1
"235",-78.7,34,1,9,163,138,1023,12,9734,1303,17,48,636,0,636,1,1
"236",-78.6,34,1,9,178,136,949,5,9578,1320,17,48,742,0,742,1,1
"237",-78.5,34,1,9,169,132,1079,9,11092,1341,17,48,702,0,702,1,1
"238",-78.4,34,1,9,193,129,1019,13,16655,1385,17,49,725,0,725,1,1
"239",-78.3,34,1,9,217,130,1034,12,14735,1407,17,50,645,0,645,1,1
"240",-78.2,34,1,9,261,126,970,12,17218,1431,17,51,995,0,995,1,1
"241",-78.1,34,1,9,278,126,1048,13,9333,1456,17,49,858,0,858,1,1
"242",-78,34,6,9,291,126,990,6,15869,1471,17,50,793,0,793,1,1
"268",-84.3,34.1,8,5,228,137,1438,331,65535,1396,16,53,401,1,401,1,1
"269",-84.2,34.1,8,5,228,132,1383,333,49505,1406,16,53,516,1,516,1,1
"270",-84.1,34.1,8,5,217,135,1520,328,7479,1397,16,53,435,2,435,3,1
"272",-83.9,34.1,9,5,195,133,1681,330,7735,1374,16,53,447,1,447,1,1
"273",-83.8,34.1,8,5,183,133,1573,292,7606,1350,16,53,438,2,438,1,1
"274",-83.7,34.1,9,5,194,134,1505,269,9807,1333,16,54,368,1,368,1,1
"275",-83.6,34.1,8,5,210,132,1563,247,8653,1322,16,55,402,1,402,1,1
"276",-83.5,34.1,8,5,205,136,1654,240,7681,1313,16,52,357,1,357,1,1
"277",-83.4,34.1,8,5,199,137,1645,244,8040,1307,16,52,396,1,396,1,1
"278",-83.3,34.1,8,5,203,136,1561,240,7152,1294,16,52,393,1,393,1,1
"279",-83.2,34.1,8,5,195,137,1401,215,10323,1269,16,53,411,1,411,1,1
"280",-83.1,34.1,8,5,233,138,1303,197,8098,1249,16,54,444,1,444,1,1
"281",-83,34.1,8,5,217,135,1065,180,7606,1234,16,53,418,2,418,1,1
"282",-82.9,34.1,9,5,206,134,1019,183,7402,1235,16,54,480,1,480,1,1
"283",-82.8,34.1,9,5,221,136,1017,175,9310,1230,16,53,459,1,459,1,1
"284",-82.7,34.1,8,5,241,134,1141,161,6791,1218,16,53,480,1,480,1,1
"285",-82.6,34.1,8,5,234,131,1272,156,27682,1210,16,53,595,1,595,1,1
"286",-82.5,34.1,8,5,222,136,1042,151,7949,1198,16,54,441,1,441,1,1
"287",-82.4,34.1,8,5,227,138,1135,162,7748,1199,16,54,468,1,468,1,1
"288",-82.3,34.1,9,5,236,134,1032,157,8081,1191,16,53,430,1,430,1,1
"289",-82.2,34.1,9,5,219,137,1042,170,10206,1193,16,53,438,1,438,1,1
"290",-82.1,34.1,8,5,206,137,1089,171,9556,1192,16,53,462,1,462,1,1
"291",-82,34.1,9,5,170,139,938,160,10890,1190,16,52,403,1,403,1,1
"292",-81.9,34.1,8,5,174,136,946,156,8242,1192,16,53,437,1,437,1,1
"293",-81.8,34.1,8,5,177,138,945,152,7881,1195,16,53,438,1,438,1,1
"294",-81.7,34.1,8,5,156,139,1020,144,8482,1197,16,53,447,1,447,19,1
"295",-81.6,34.1,8,5,156,139,974,134,8489,1197,16,53,384,1,384,1,19
"296",-81.5,34.1,8,5,285,140,899,125,30527,1191,17,51,484,1,484,1,1
"299",-81.2,34.1,8,5,281,142,929,99,65535,1170,17,51,486,1,486,1,1
"300",-81.1,34.1,8,5,209,143,869,88,17424,1165,17,51,434,1,434,1,1
"301",-81,34.1,8,9,199,144,1024,97,37948,1168,17,51,501,1,501,1,1
"304",-80.7,34.1,1,9,128,144,979,76,6824,1175,17,51,442,1,442,1,1
"305",-80.6,34.1,1,9,230,139,1310,46,7721,1171,17,51,652,1,652,1,1
"306",-80.5,34.1,1,9,173,142,969,56,8282,1180,17,51,389,1,389,1,1
"307",-80.4,34.1,1,9,130,143,1401,68,7954,1186,17,52,453,1,453,1,1
"308",-80.3,34.1,1,9,147,141,1196,54,8357,1182,17,51,420,0,420,1,1
"309",-80.2,34.1,1,9,145,145,1229,51,7777,1179,17,51,539,0,539,1,1
"310",-80.1,34.1,1,9,177,143,1202,48,8514,1178,17,50,434,0,434,1,1
"311",-80,34.1,5,9,221,139,1397,45,8112,1177,17,49,620,0,620,1,1
"312",-79.9,34.1,5,9,246,140,1190,42,8213,1177,17,50,532,0,532,1,1
"313",-79.8,34.1,5,9,305,140,1012,38,8385,1177,17,49,491,0,491,1,1
"314",-79.7,34.1,5,9,256,141,1067,32,8075,1180,17,48,696,0,696,1,1
"315",-79.6,34.1,5,9,279,140,1007,26,11506,1193,17,49,638,0,638,1,1
"316",-79.5,34.1,1,9,243,141,1164,17,8961,1209,17,48,709,0,709,1,1
"317",-79.4,34.1,5,9,169,141,1254,19,8722,1241,17,51,737,0,737,1,1
"318",-79.3,34.1,1,9,167,140,1277,18,15182,1247,17,50,770,0,770,1,1
"319",-79.2,34.1,1,9,221,139,1177,18,8649,1251,17,48,580,0,580,1,1
"320",-79.1,34.1,5,9,151,138,1359,24,7902,1257,17,47,753,0,753,1,1
"321",-79,34.1,5,9,119,138,1372,27,8833,1259,17,49,613,0,613,1,1
"322",-78.9,34.1,5,9,110,141,1198,29,8880,1262,17,51,559,0,559,1,1
"323",-78.8,34.1,1,9,132,139,1352,23,8788,1271,17,49,788,0,788,1,1
"324",-78.7,34.1,1,9,147,138,1453,14,8790,1287,17,48,686,0,686,1,1
"325",-78.6,34.1,1,9,144,139,1280,11,11121,1304,17,49,600,0,600,1,1
"326",-78.5,34.1,1,9,183,136,835,10,9157,1322,17,48,616,0,616,1,1
"327",-78.4,34.1,1,9,154,133,1036,17,17042,1368,17,49,629,0,629,1,1
"328",-78.3,34.1,1,9,171,131,1215,17,17097,1390,17,49,845,0,845,1,1
"329",-78.2,34.1,1,9,199,129,1202,15,16183,1413,17,50,870,0,870,1,1
"330",-78.1,34.1,1,9,235,129,990,12,10167,1433,17,50,696,0,696,1,1
"331",-78,34.1,1,9,236,129,1005,6,15096,1445,17,50,812,0,812,1,1
"357",-84.3,34.2,8,5,224,134,1492,349,8674,1426,15,53,413,1,413,1,1
"358",-84.2,34.2,8,5,242,134,1426,351,9824,1430,15,52,398,1,398,1,1
"362",-83.8,34.2,8,5,188,133,1574,322,8931,1380,16,52,425,2,425,1,1
"363",-83.7,34.2,8,5,201,132,1452,284,7574,1362,16,52,399,2,399,1,1
"364",-83.6,34.2,8,5,183,132,1499,265,8838,1354,16,53,408,2,408,1,1
"365",-83.5,34.2,8,5,204,134,1626,256,8972,1346,16,53,378,1,378,1,1
"366",-83.4,34.2,8,5,205,136,1652,250,9135,1336,16,53,407,1,407,1,1
"367",-83.3,34.2,8,5,192,134,1674,241,9089,1317,16,54,418,1,418,1,1
"368",-83.2,34.2,8,5,212,136,1692,220,9198,1290,16,53,378,1,378,1,1
"369",-83.1,34.2,8,5,200,131,1659,215,7302,1268,16,54,426,2,426,1,1
"370",-83,34.2,8,5,218,133,1440,209,7784,1256,16,55,429,1,429,1,1
"371",-82.9,34.2,8,5,221,133,1297,204,7902,1252,16,54,447,1,447,1,1
"372",-82.8,34.2,8,5,212,136,1235,189,8917,1243,16,53,416,1,416,1,1
"373",-82.7,34.2,0,5,243,138,1224,174,21676,1229,16,54,437,1,437,1,1
"374",-82.6,34.2,9,5,211,135,1189,170,7903,1219,16,54,477,1,477,1,1
"375",-82.5,34.2,8,5,212,134,1120,167,7943,1207,16,54,448,1,448,1,1
"376",-82.4,34.2,9,5,257,134,1164,180,10300,1206,16,54,505,1,505,1,1
"377",-82.3,34.2,9,5,251,135,1147,168,9315,1192,16,54,440,1,440,1,1
"378",-82.2,34.2,9,5,220,140,1203,184,13515,1192,16,53,361,1,361,1,1
"379",-82.1,34.2,8,5,224,136,1077,172,10000,1187,16,53,422,1,422,1,1
"380",-82,34.2,9,5,189,138,948,155,12394,1186,16,53,441,1,441,1,1
"381",-81.9,34.2,8,5,234,136,952,151,6215,1190,16,52,514,1,514,1,1
"382",-81.8,34.2,8,5,174,136,973,145,10960,1194,16,51,490,1,490,1,1
"383",-81.7,34.2,8,5,156,137,940,145,8066,1199,16,52,507,1,507,1,1
"384",-81.6,34.2,8,5,172,138,897,140,9040,1203,16,53,417,1,417,1,19
"385",-81.5,34.2,9,5,218,138,802,143,9780,1198,16,52,416,1,416,1,1
"386",-81.4,34.2,8,5,225,137,829,134,8870,1186,17,51,497,1,497,1,1
"387",-81.3,34.2,8,5,255,138,841,108,7737,1174,17,50,591,1,591,1,19
"388",-81.2,34.2,8,5,261,140,832,96,7880,1165,17,51,493,1,493,1,1
"389",-81.1,34.2,8,5,234,141,871,106,8099,1165,17,51,503,1,503,1,1
"390",-81,34.2,1,5,217,143,1052,125,7887,1173,17,51,430,1,430,1,1
"391",-80.9,34.2,1,9,176,142,1047,117,7076,1176,17,51,446,1,446,1,1
"392",-80.8,34.2,1,9,210,141,1107,98,8875,1175,17,52,449,1,449,1,1
"393",-80.7,34.2,1,9,115,146,1047,79,5879,1174,17,51,397,1,397,1,1
"394",-80.6,34.2,1,9,180,142,1159,50,8392,1172,17,52,450,1,450,1,1
"395",-80.5,34.2,1,9,203,140,1013,63,7843,1176,17,52,576,1,576,1,1
"396",-80.4,34.2,1,9,106,143,1176,78,7695,1177,17,51,380,1,380,1,1
"397",-80.3,34.2,1,9,86,145,1277,65,5973,1173,17,51,333,0,333,1,1
"398",-80.2,34.2,1,9,164,145,1362,57,8555,1173,17,52,572,0,572,1,1
"399",-80.1,34.2,1,9,137,142,1320,53,8131,1172,17,51,418,0,418,1,1
"400",-80,34.2,1,9,140,142,1413,49,8150,1172,17,50,425,0,425,1,1
"401",-79.9,34.2,5,9,138,144,1185,46,8111,1172,17,51,466,0,466,1,1
"402",-79.8,34.2,5,9,179,142,991,42,65535,1172,17,50,404,0,404,1,1
"403",-79.7,34.2,5,9,196,139,1022,35,7425,1175,17,50,528,0,528,1,1
"404",-79.6,34.2,5,9,288,143,1075,26,13307,1184,17,49,545,0,545,1,1
"405",-79.5,34.2,1,9,298,140,1133,13,8534,1197,17,48,737,0,737,1,1
"406",-79.4,34.2,5,9,165,140,1144,26,8064,1231,17,50,729,0,729,1,1
"407",-79.3,34.2,5,9,126,140,1225,26,7369,1235,17,51,629,0,629,1,1
"408",-79.2,34.2,1,9,138,142,1129,20,8903,1237,17,49,702,0,702,1,1
"409",-79.1,34.2,5,9,171,139,898,22,8570,1241,17,48,565,0,565,1,1
"410",-79,34.2,5,9,124,140,1255,28,8525,1247,17,50,717,0,717,1,1
"411",-78.9,34.2,1,9,104,138,1343,31,9602,1252,17,50,640,0,640,1,1
"412",-78.8,34.2,1,9,102,138,1344,26,8402,1261,17,49,526,0,526,1,1
"413",-78.7,34.2,1,9,147,136,1396,17,11921,1273,17,48,729,0,729,1,1
"414",-78.6,34.2,1,9,163,139,1306,13,11064,1288,17,48,752,0,752,1,1
"415",-78.5,34.2,1,9,195,136,1003,12,8415,1305,17,48,734,0,734,1,1
"416",-78.4,34.2,1,9,170,132,1002,18,9204,1349,17,48,848,0,848,1,1
"417",-78.3,34.2,1,9,169,132,1217,20,7949,1371,17,48,759,0,759,1,1
"418",-78.2,34.2,1,9,193,136,1105,17,12099,1390,17,48,797,0,797,1,1
"419",-78.1,34.2,1,9,146,128,987,11,11795,1405,17,49,691,0,691,1,1
"420",-78,34.2,1,9,193,124,1159,5,10284,1415,17,51,622,0,622,1,1
"446",-84.3,34.3,9,5,231,131,1770,340,7802,1447,15,52,463,2,463,3,1
"447",-84.2,34.3,8,5,244,134,1955,352,8533,1453,15,53,451,2,451,1,1
"448",-84.1,34.3,8,5,222,135,2045,368,9665,1455,15,53,435,1,435,1,1
"449",-84,34.3,8,5,221,127,1995,362,8846,1444,15,53,586,1,586,1,1
"450",-83.9,34.3,8,5,231,123,1877,354,7467,1423,15,52,614,2,614,1,1
"452",-83.7,34.3,8,5,225,131,1678,311,7912,1399,15,53,469,2,469,1,1
"453",-83.6,34.3,8,5,204,131,1616,277,9578,1387,16,52,408,2,408,1,1
"454",-83.5,34.3,9,5,207,132,1558,240,10373,1371,16,54,426,1,426,1,1
"455",-83.4,34.3,8,5,238,134,1533,232,10313,1356,16,53,427,1,427,1,1
"456",-83.3,34.3,8,5,219,137,1451,227,8191,1338,16,54,398,1,398,1,1
"457",-83.2,34.3,8,5,203,134,1454,226,8185,1318,16,53,433,1,433,1,1
"458",-83.1,34.3,8,5,216,135,1469,246,8472,1310,16,55,375,1,375,1,1
"459",-83,34.3,8,5,224,134,1523,241,7649,1294,16,54,392,1,392,1,1
"461",-82.8,34.3,8,5,239,134,1482,196,8130,1256,16,55,400,1,400,1,1
"462",-82.7,34.3,8,5,232,136,1451,189,7864,1245,16,54,434,1,434,1,1
"463",-82.6,34.3,8,5,204,136,1515,190,9397,1236,16,54,459,1,459,1,1
"464",-82.5,34.3,9,5,231,136,1416,180,9938,1217,16,53,471,1,471,1,1
"465",-82.4,34.3,8,5,233,138,1241,195,10100,1215,16,54,452,1,452,1,1
