"","LONGITUDE","LATITUDE","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
"2",-84.2,33.8,8,5,196,134,1504,304,65535,1323,16,53,423,1,423,1,1
"3",-84.1,33.8,9,5,153,132,1619,286,65535,1318,16,53,438,2,438,1,1
"4",-84,33.8,9,5,200,135,1473,287,7124,1313,16,53,368,1,368,1,1
"5",-83.9,33.8,9,5,202,135,1495,286,8363,1303,16,53,409,1,409,1,1
"6",-83.8,33.8,9,5,190,134,1393,270,9922,1290,16,53,402,1,402,1,1
"7",-83.7,33.8,8,5,191,132,1080,262,9285,1280,16,54,419,1,419,1,1
"8",-83.6,33.8,9,5,183,133,1012,247,7849,1269,16,54,446,1,446,1,1
"9",-83.5,33.8,8,5,181,137,1021,223,9438,1253,16,54,386,1,386,1,1
"10",-83.4,33.8,8,5,232,135,1141,210,8203,1245,16,54,431,1,431,1,1
"11",-83.3,33.8,8,5,226,135,1102,190,7536,1233,16,52,446,2,446,1,1
"12",-83.2,33.8,9,5,217,135,1071,211,7574,1238,16,52,424,2,424,1,1
"13",-83.1,33.8,9,5,205,135,1064,206,8453,1233,16,52,427,1,427,1,1
"14",-83,33.8,8,5,197,134,953,179,7007,1219,16,52,458,1,458,1,1
"15",-82.9,33.8,8,5,208,135,913,173,10163,1215,16,53,474,1,474,1,1
"16",-82.8,33.8,8,5,200,135,928,174,9242,1213,16,53,481,1,481,1,1
"17",-82.7,33.8,8,5,188,138,1024,166,10101,1208,16,54,413,1,413,1,1
"18",-82.6,33.8,9,5,210,137,978,148,8587,1200,17,53,469,1,469,1,1
"19",-82.5,33.8,8,5,221,131,987,131,8651,1197,17,52,518,1,518,1,1
"21",-82.3,33.8,8,5,193,135,1033,122,7911,1197,17,52,458,1,458,1,1
"22",-82.2,33.8,8,5,176,137,995,120,7301,1195,17,51,476,1,476,1,1
"23",-82.1,33.8,8,5,197,135,1029,127,7296,1192,16,52,457,1,457,1,1
"24",-82,33.8,8,5,173,138,879,139,7826,1189,16,51,453,1,453,1,1
"25",-81.9,33.8,8,5,153,138,983,160,12507,1191,16,52,456,1,456,1,1
"26",-81.8,33.8,1,9,173,139,1231,178,7788,1201,17,52,460,1,460,1,1
"27",-81.7,33.8,1,9,190,136,1248,176,9926,1206,17,53,472,1,472,1,1
"28",-81.6,33.8,1,9,175,139,1327,175,7564,1210,17,53,393,1,393,1,1
