"Taxa","Predictions"
"IS14446.70MUKAAXX.2.250006019",35.8662004761904
"IS14567.MRG.4.250047680",30.7846274603174
"IS21519.628NVAAXX.5.250006979",19.631246789795
"IS25522.MRG.4.250047691",16.2686227154741
"IS25523.MRG.4.250047692",16.2686227154741
"IS30898.B064FABXX.1.250009989",28.6489181965633
"IS31123.B064FABXX.1.250010001",15.6031326617827
"IS9168.70MUKAAXX.2.250006009",17.453403079756
"IS10068.C1AB3ACXX.7.250137465",14.3335487407364
"IS10189.C1AB3ACXX.7.250137466",16.7695572360972
"IS10191.C1AB3ACXX.7.250138387",19.0420840987901
"IS10876.628P7AAXX.7.250007049",17.95979679479
"IS10882.628P7AAXX.7.250007073",17.95979679479
"IS11119.628NVAAXX.5.250006899",22.8439783487721
"IS11374.70MUKAAXX.2.250006018",19.4011250263136
"IS11424.C1AB3ACXX.7.250138388",15.2374285949906
"IS11431.C1AB3ACXX.7.250138389",17.1714976984127
"IS11473.D0D0HACXX.5.250046338",29.8754243650793
"IS11619.D0D0HACXX.5.250046339",25.0285970130719
"IS11758.B064FABXX.1.250009960",25.5628556393498
"IS11919.D0D0HACXX.5.250046340",23.9529835468319
"IS11954.MRG.4.250047668",24.6412522118562
"IS11960.D0D0HACXX.5.250046081",24.6412522118562
"IS12031.C1AB3ACXX.7.250138390",21.7420269285714
"IS12106.C1AB3ACXX.7.250138391",32.2699294281764
"IS12110.70MUKAAXX.2.250006030",32.3529654789307
"IS12169.628NVAAXX.5.250006923",21.5030546767778
"IS12531.628NVAAXX.5.250006971",24.0156721428572
"IS12584.C1AB3ACXX.7.250138392",16.1470104945055
"IS12590.C1AB3ACXX.7.250138393",22.1123217849928
"IS13782.D0D0HACXX.5.250046354",16.6227455184598
"IS13791.628P7AAXX.7.250007099",16.6227455184598
"IS13827.70MUKAAXX.2.250006050",16.6227455184598
"IS13845.628NVAAXX.5.250006901",16.6227455184598
"IS13893.D0D0HACXX.5.250046355",16.6227455184598
"IS13919.D0D0HACXX.5.250046356",16.6227455184598
"IS13926.628NVAAXX.5.250006925",16.6227455184598
"IS13971.D0D0HACXX.5.250046357",16.6227455184598
"IS1398.628NVAAXX.5.250006961",35.0512702380952
"IS13989.628NVAAXX.5.250006949",16.6227455184598
"IS14010.D0D0HACXX.5.250046358",16.6227455184598
"IS14449.70MUKAAXX.2.250006046",35.8662004761904
"IS14478.70MUKAAXX.2.250006051",30.8928036383762
"IS14556.70MUKAAXX.2.250006075",29.3701022550823
"IS14564.MRG.4.250047679",35.8662004761904
"IS14635.C1AB3ACXX.7.250138422",35.9529390659106
"IS14719.MRG.4.250047681",27.5928457879096
"IS14724.C1AB3ACXX.7.250138424",18.378665043976
"IS14735.70MUKAAXX.2.250006039",21.7098248412698
"IS17149.C1AB3ACXX.7.250138425",21.4157845529733
"IS17185.C1AB3ACXX.7.250138426",21.1604244736217
"IS17195.C1AB3ACXX.7.250138427",13.6479223287823
"IS17196.C1AB3ACXX.7.250138428",19.255146923436
"IS18295.C1AB3ACXX.7.250138462",15.4992917460317
"IS18303.C1AB3ACXX.7.250138463",19.8015795097125
"IS18822.C1AB3ACXX.7.250138464",40.6929590512266
"IS19016.70MUKAAXX.2.250006066",42.8438832445332
"IS19026.628P7AAXX.7.250007103",42.8438832445332
"IS19041.70MUKAAXX.2.250006078",42.8438832445332
"IS19126.D0D0HACXX.5.250046083",42.8438832445332
"IS19132.628NVAAXX.5.250006905",42.8438832445332
"IS19153.MRG.4.250047481",42.8438832445332
"IS19262.D0D0HACXX.5.250046084",42.8438832445332
"IS19477.C1AB3ACXX.7.250138465",27.6705194627595
"IS19485.C1AB3ACXX.7.250138466",15.9502569454055
"IS19494.C1AB3ACXX.7.250138467",21.2195568799477
"IS19507.C1AB3ACXX.7.250138468",21.7643917950938
"IS19513.C1AB3ACXX.7.250138469",15.9231685042151
"IS19520.C1AB3ACXX.7.250138470",22.143726488862
"IS19946.C1AB3ACXX.7.250138479",19.614138387323
"IS19950.C1AB3ACXX.7.250138480",21.2600257936508
"IS19953.628P7AAXX.7.250007033",19.0422408188609
"IS19956.C1AB3ACXX.7.250138481",23.8936443751804
"IS19962.C1AB3ACXX.7.250138482",37.2566209535563
"IS19975.MRG.4.250047488",19.3223646100305
"IS19978.C1AB3ACXX.7.250137625",22.0335638578415
"IS19982.C1AB3ACXX.7.250137626",21.3796866067025
"IS19988.C1AB3ACXX.7.250137627",18.8265703829504
"IS19991.C1AB3ACXX.7.250137628",14.0491845466755
"IS19998.C1AB3ACXX.7.250137629",14.4810533670578
"IS20004.C1AB3ACXX.7.250137630",16.5145001300439
"IS20016.628P7AAXX.7.250007057",16.5169392954998
"IS20024.C1AB3ACXX.7.250137631",35.8134155751996
"IS20027.C1AB3ACXX.7.250137632",25.8382527447027
"IS20028.C1AB3ACXX.7.250137633",22.0888494050394
"IS20049.C1AB3ACXX.7.250137634",39.4463488888889
"IS20064.628P7AAXX.7.250007081",21.0205759175475
"IS20073.C1AB3ACXX.7.250137635",21.951738007992
"IS20087.C1AB3ACXX.7.250137636",17.7684466638917
"IS20105.C1AB3ACXX.7.250137637",23.236324086006
"IS20116.C1AB3ACXX.7.250137638",20.6741685729826
"IS20125.C1AB3ACXX.7.250137639",24.8481155551268
"IS20158.C1AB3ACXX.7.250137641",32.9341658441558
"IS20164.C1AB3ACXX.7.250137642",25.1032781746032
"IS20166.C1AB3ACXX.7.250137643",32.4972805714416
"IS20173.C1AB3ACXX.7.250137644",30.4997023935411
"IS20187.C1AB3ACXX.7.250137645",24.9305637157287
"IS20216.C1AB3ACXX.7.250137646",20.7972984080364
"IS20225.C1AB3ACXX.7.250137647",22.6425464141414
"IS20230.C1AB3ACXX.7.250137648",21.2532481096681
"IS20234.C1AB3ACXX.7.250137649",18.5685741092884
"IS20243.C1AB3ACXX.7.250137650",26.9439709793997
"IS20250.C1AB3ACXX.7.250137651",27.1980297080044
"IS20261.C1AB3ACXX.7.250137652",18.899883031746
